p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.245879310246671	0.310686095171942	0.180519646603144	-0.00664955280330994	0.999951689164461	0.975647830966543	0.999936886454661
Acaryochloris	0.762413264808962	0.871053410689882	0.765455152668828	0.00202462704544694	0.999951689164461	0.977685065086755	0.999936886454661
Acetoanaerobium	0.396388270208807	0.452794605105432	0.478539632124205	-0.00536525304046734	0.999951689164461	0.975647830966543	0.999936886454661
Acetobacter	0.808953880913822	0.978979206705944	0.583948845067836	-0.00126750358378821	0.999951689164461	0.996545976213207	0.999936886454661
Acetobacterium	0.418225646764311	0.737902065861315	0.53903386699385	-0.00375920040385739	0.999951689164461	0.975647830966543	0.999936886454661
Acetohalobium	0.0949721973884187	0.308071685576601	0.562955423455227	-0.0101554629653365	0.999951689164461	0.975647830966543	0.999936886454661
Acetomicrobium	0.489035084264916	0.744275528184474	0.356858965592525	-0.00544330569699944	0.999951689164461	0.977685065086755	0.999936886454661
Acholeplasma	0.52860448189229	0.405509938203649	0.564661083331769	-0.00375932153574655	0.999951689164461	0.975647830966543	0.999936886454661
Achromobacter	0.873585590713324	0.380528682658297	0.687722499449783	-0.0010285226477995	0.999951689164461	0.975647830966543	0.999936886454661
Acidaminococcus	0.278501733664597	0.727948559555682	0.586805557740526	-0.00984445051954113	0.999951689164461	0.975647830966543	0.999936886454661
Acidianus	0.187111756591258	0.24121673405451	0.262478634991838	-0.0099224836935341	0.999951689164461	0.975647830966543	0.999936886454661
Acidibrevibacterium	0.892699878467778	0.876104397169831	0.751730702062716	-0.00117710935390241	0.999951689164461	0.977685065086755	0.999936886454661
Acidiferrobacter	0.555579292303547	0.452113718188898	0.899490549013013	0.00486985126354311	0.999951689164461	0.975647830966543	0.999936886454661
Acidihalobacter	0.415842066031274	0.369498991478	0.841412697356011	0.00533175184035831	0.999951689164461	0.975647830966543	0.999936886454661
Acidilobus	0.125988380744382	0.953650077416992	0.793838152773195	-0.0111799096633971	0.999951689164461	0.99395148369604	0.999936886454661
Acidimicrobium	0.909056220548092	0.970198776510484	0.887865733468161	-0.000969615781137635	0.999951689164461	0.995482405035386	0.999936886454661
Acidiphilium	0.214318346903456	0.214505297902698	0.437272915151196	0.00952243752463348	0.999951689164461	0.975647830966543	0.999936886454661
Acidipropionibacterium	0.942014179223377	0.335782194076388	0.707497133649958	-0.000481812209175254	0.999951689164461	0.975647830966543	0.999936886454661
Acidisarcina	0.749247748433527	0.929057214170405	0.750224170482228	-0.00222691544204131	0.999951689164461	0.98736464023555	0.999936886454661
Acidithiobacillus	0.474381067902434	0.753924267887584	0.852012688338627	-0.00427023281256539	0.999951689164461	0.977685065086755	0.999936886454661
Acidobacterium	0.146845874371449	0.06559560844829	0.355737776512141	0.0102736136776108	0.999951689164461	0.975647830966543	0.999936886454661
Acidothermus	0.36031283175091	0.784770670078851	0.403971393221871	-0.0068125964433979	0.999951689164461	0.977685065086755	0.999936886454661
Acidovorax	0.951131877345196	0.433521617534857	0.71864634035962	0.0004148971149318	0.999951689164461	0.975647830966543	0.999936886454661
Aciduliprofundum	0.459419285766356	0.816442981418685	0.823636982456229	0.00522108862779788	0.999951689164461	0.977685065086755	0.999936886454661
Acinetobacter	0.81300951131301	0.439596056548862	0.391641768548806	-0.00104488418112562	0.999951689164461	0.975647830966543	0.999936886454661
Actinoalloteichus	0.85682428759163	0.524904395478471	0.643037483489615	0.00140240985848754	0.999951689164461	0.975647830966543	0.999936886454661
Actinobacillus	0.647957559486124	0.212293841499918	0.228939791497005	-0.00257894862410064	0.999951689164461	0.975647830966543	0.999936886454661
Actinobaculum	0.387397584653876	0.804379177401917	0.23304752602968	-0.00567297621329092	0.999951689164461	0.977685065086755	0.999936886454661
Actinomadura	0.318698532399398	0.0658181845067535	0.197359679490868	0.00758962073791793	0.999951689164461	0.975647830966543	0.999936886454661
Actinomyces	0.685188726268716	0.628818983831483	0.899457683092404	-0.00364522277780414	0.999951689164461	0.975647830966543	0.999936886454661
Actinoplanes	0.965202567537325	0.374946243426173	0.637091951544109	-0.000305467130411851	0.999951689164461	0.975647830966543	0.999936886454661
Actinopolymorpha	0.999951689164461	0.348139945308233	0.72983883170206	-4.73756196647439e-07	0.999951689164461	0.975647830966543	0.999936886454661
Actinopolyspora	0.494535969907307	0.447751529510492	0.509799579296802	0.00578642284709098	0.999951689164461	0.975647830966543	0.999936886454661
Actinosynnema	0.634219839315061	0.0975020377783918	0.235146763590206	0.00413149141117791	0.999951689164461	0.975647830966543	0.999936886454661
Actinotignum	0.752028602297311	0.750650659780774	0.834187985592916	-0.00304241266703071	0.999951689164461	0.977685065086755	0.999936886454661
Adlercreutzia	0.596958574496436	0.491581151082315	0.683853177112988	0.00855725854320921	0.999951689164461	0.975647830966543	0.999936886454661
Advenella	0.542214793097298	0.293408193627362	0.267699827348687	-0.00326274994784066	0.999951689164461	0.975647830966543	0.999936886454661
Aequorivita	0.400418184101346	0.625156629182403	0.876722301005996	0.00426327211286461	0.999951689164461	0.975647830966543	0.999936886454661
Aeribacillus	0.353998874740268	0.196039420814484	0.167857625510949	-0.00507523415369272	0.999951689164461	0.975647830966543	0.999936886454661
Aerococcus	0.343540297758026	0.438347555034807	0.471371465485065	-0.00438455693928384	0.999951689164461	0.975647830966543	0.999936886454661
Aeromicrobium	0.912156854243319	0.375849579514214	0.754694733325203	0.000800740416154549	0.999951689164461	0.975647830966543	0.999936886454661
Aeromonas	0.46730976411614	0.717522707483791	0.952236420827182	-0.00447456038881643	0.999951689164461	0.975647830966543	0.999936886454661
Aeropyrum	0.465161818836083	0.803886709706099	0.722790267276162	-0.00508301891634175	0.999951689164461	0.977685065086755	0.999936886454661
Aerosticca	0.80480281072364	0.35375233542546	0.519957626569314	0.00237534316885637	0.999951689164461	0.975647830966543	0.999936886454661
Afipia	0.834876982620896	0.609767716521084	0.550557115221515	0.00184209004121465	0.999951689164461	0.975647830966543	0.999936886454661
Agarilytica	0.0693134124393028	0.168820158694998	0.376621222749051	-0.0123504982467534	0.999951689164461	0.975647830966543	0.999936886454661
Agarivorans	0.354460860303169	0.65318827585639	0.361571694049638	-0.00620793158072595	0.999951689164461	0.975647830966543	0.999936886454661
