p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella	0.297098753960894	0.960643190286169	0.51174816324162	0.00285476530124847	0.995935788803052	0.999665527160146	0.999065245993994
Acaryochloris	0.890298888489815	0.832405881126288	0.303098985377341	-0.000424370908188908	0.995935788803052	0.999665527160146	0.999065245993994
Acetoanaerobium	0.45832294918554	0.566980614294378	0.762139865225462	0.001940519224846	0.995935788803052	0.999665527160146	0.999065245993994
Acetobacter	0.435477572058591	0.747540119873623	0.885125716995604	0.00158735327772604	0.995935788803052	0.999665527160146	0.999065245993994
Acetobacterium	0.362663373772523	0.813362311106068	0.993956447889841	0.00166698900326271	0.995935788803052	0.999665527160146	0.999065245993994
Acetohalobium	0.713822296775802	0.520521010123896	0.82608363467103	0.000937737072938633	0.995935788803052	0.999665527160146	0.999065245993994
Acetomicrobium	0.261515574034079	0.645835901969701	0.971148537939584	0.00307764667881613	0.995935788803052	0.999665527160146	0.999065245993994
Acholeplasma	0.312610883025933	0.536456978318256	0.576176624231047	0.00276791787604247	0.995935788803052	0.999665527160146	0.999065245993994
Achromobacter	0.646899724086858	0.408337094518537	0.33084045648702	0.00115144989243336	0.995935788803052	0.999665527160146	0.999065245993994
Acidaminococcus	0.327905110447926	0.206116225785768	0.686863482408629	0.00419096307017302	0.995935788803052	0.999665527160146	0.999065245993994
Acidianus	0.698782935131125	0.634974106227752	0.484841629764543	0.00110931434528895	0.995935788803052	0.999665527160146	0.999065245993994
Acidibrevibacterium	0.42804032585389	0.246693643495765	0.355216330556055	0.00264577100014371	0.995935788803052	0.999665527160146	0.999065245993994
Acidiferrobacter	0.681852681066257	0.560190753389118	0.982445738757307	0.00123852008228463	0.995935788803052	0.999665527160146	0.999065245993994
Acidihalobacter	0.269884384102969	0.472584943592664	0.62498200608796	0.00319553213325199	0.995935788803052	0.999665527160146	0.999065245993994
Acidilobus	0.0195778319409557	0.444472357288595	0.736354434503945	0.00731112819278286	0.995935788803052	0.999665527160146	0.999065245993994
Acidimicrobium	0.940147150924733	0.495371153658556	0.458332171772049	0.000276862662184276	0.997168637472054	0.999665527160146	0.999065245993994
Acidiphilium	0.55686356477373	0.853957316741677	0.798199204214384	0.0017027769331127	0.995935788803052	0.999665527160146	0.999065245993994
Acidipropionibacterium	0.986140589189831	0.338510783336976	0.175382361141137	4.44554985749923e-05	0.99920661556431	0.999665527160146	0.999065245993994
