p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.551792494921716	0.240818937327184	0.265923184978466	-0.0103572335816507	0.997403797276269	0.999979702918875	0.999936721692569
Acidaminococcales	0.00456908643344806	0.580144189278806	0.44568288781448	-0.123547874573946	0.546005828797043	0.999979702918875	0.999936721692569
Acidiferrobacterales	0.9967486364385	0.75389731910667	0.810919727725827	7.41905798877244e-05	0.997403797276269	0.999979702918875	0.999936721692569
Acidilobales	0.198949432321224	0.0412352811553815	0.0304433019848061	-0.0270483931852367	0.997403797276269	0.999979702918875	0.999936721692569
Acidimicrobiales	0.974105319365411	0.795760314929905	0.857364434057589	-0.000687399495998023	0.997403797276269	0.999979702918875	0.999936721692569
Acidithiobacillales	0.805748213020342	0.526756737330056	0.595407150248831	-0.00421061276999394	0.997403797276269	0.999979702918875	0.999936721692569
Acidobacteriales	0.500197176563713	0.932042792472347	0.976015987253878	-0.011164785700241	0.997403797276269	0.999979702918875	0.999936721692569
Acidothermales	0.409565873304935	0.995249132098936	0.927769900306302	0.0168382538527882	0.997403797276269	0.999979702918875	0.999936721692569
Actinomycetales	0.65516113479319	0.852333827578532	0.820292424457282	-0.0105611697944994	0.997403797276269	0.999979702918875	0.999936721692569
Actinopolysporales	0.971363623900396	0.632612433184768	0.644805806406088	-0.00084462848105174	0.997403797276269	0.999979702918875	0.999936721692569
Aeromonadales	0.59302810063476	0.867170630518379	0.986335763003583	-0.00839540191200506	0.997403797276269	0.999979702918875	0.999936721692569
Alteromonadales	0.62094399205574	0.672913740106864	0.633456114424865	-0.00624948376906963	0.997403797276269	0.999979702918875	0.999936721692569
Anaerolineales	0.585629310467524	0.754571791429611	0.877554212640054	-0.00895926841263272	0.997403797276269	0.999979702918875	0.999936721692569
Aquificales	0.891760538887224	0.56830138942406	0.625795439056306	-0.00223869266629042	0.997403797276269	0.999979702918875	0.999936721692569
