p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.832992849160484	0.690952099321458	0.733503800684421	0.00637493716746082	0.949973673910465	0.96872834087471	0.94437376908818
Acidaminococcales	0.00265698066848898	0.301542521347647	0.381808457412666	-0.249604460610123	0.635018379768866	0.96872834087471	0.94179665748115
Acidiferrobacterales	0.495806039789817	0.446267873400029	0.362622055513744	-0.0232196402016722	0.858628291906573	0.96872834087471	0.94179665748115
Acidilobales	0.317563312240666	0.16832424358501	0.16958438387462	0.0384152663388624	0.858628291906573	0.96872834087471	0.94179665748115
Acidimicrobiales	0.444701679922442	0.908971942827172	0.816725737059534	-0.0312967708907854	0.858628291906573	0.983468181278173	0.94659445253961
Acidithiobacillales	0.962802792562152	0.74329778154459	0.681232292664434	0.00147862210245394	0.988066266336936	0.96872834087471	0.94179665748115
Acidobacteriales	0.173763965705689	0.972766244826685	0.874877761246207	-0.0406067128271162	0.858628291906573	0.987912323849858	0.96966024582729
Acidothermales	0.912911731774823	0.916339166037626	0.86419342216158	0.00440340811461945	0.972069724947843	0.983468181278173	0.96966024582729
Actinomycetales	0.686854152876366	0.506114154096071	0.481750546030318	0.0196647553094772	0.949973673910465	0.96872834087471	0.94179665748115
Actinopolysporales	0.233539409931949	0.997388156957531	0.908802908223067	-0.0536276172052409	0.858628291906573	0.999381747580226	0.96966024582729
Aeromonadales	0.560415945549191	0.574286463764741	0.482604682807471	-0.0175201142498662	0.868638676677723	0.96872834087471	0.94179665748115
Alteromonadales	0.906443884162143	0.54459056745625	0.517262901618259	-0.00267882709484806	0.972069724947843	0.96872834087471	0.94179665748115
Anaerolineales	0.117430229341893	0.922949900276846	0.778862140976214	-0.0487038683549358	0.858628291906573	0.983468181278173	0.94437376908818
Aquificales	0.492959697876885	0.317601115435775	0.324892445330239	0.0186720359240594	0.858628291906573	0.96872834087471	0.94179665748115
Archaeoglobales	0.602255303885236	0.779996273136773	0.754195972893558	0.0153101762091316	0.877676936759581	0.96872834087471	0.94437376908818
Ardenticatenales	0.466653754199188	0.566246025322246	0.488436528659488	-0.03627590982651	0.858628291906573	0.96872834087471	0.94179665748115
Bacillales	0.668218525093569	0.499851245178476	0.478956339973293	0.0100491448986217	0.933942850861772	0.96872834087471	0.94179665748115
Bacteriovoracales	0.49097464628453	0.332841120805173	0.349361127617567	0.0219348442160638	0.858628291906573	0.96872834087471	0.94179665748115
Bacteroidales	0.163320046811706	0.850101944641503	0.755448242585818	-0.0788994314215862	0.858628291906573	0.96872834087471	0.94437376908818
Bacteroidetes Order II. Incertae sedis	0.268037248766274	0.682843799647317	0.578783031590329	-0.0403071229981907	0.858628291906573	0.96872834087471	0.94179665748115
Bdellovibrionales	0.758679744083989	0.512606397292059	0.463125460923158	-0.00802604208038945	0.949973673910465	0.96872834087471	0.94179665748115
Bifidobacteriales	0.106766166350954	0.547693577490012	0.444062253193674	0.133789078584772	0.858628291906573	0.96872834087471	0.94179665748115
Brachyspirales	0.827172478083903	0.682646175019985	0.718329846619689	-0.00689442442854971	0.949973673910465	0.96872834087471	0.94437376908818
Bradymonadales	0.227849944178446	0.801586451282273	0.667122051140713	-0.0447442524530925	0.858628291906573	0.96872834087471	0.94179665748115
Bryobacterales	0.731852681640495	0.975511750747141	0.887635072145419	-0.0117066854774952	0.949973673910465	0.987912323849858	0.96966024582729
Bunyavirales	0.392707789389001	0.561906425869001	0.700685906781898	0.0398954629828674	0.858628291906573	0.96872834087471	0.94437376908818
Burkholderiales	0.346184956812867	0.58099175811718	0.478133233921318	-0.0295926282380629	0.858628291906573	0.96872834087471	0.94179665748115
Caldilineales	0.66666167801568	0.433727018448035	0.348765649057119	-0.0173529469121047	0.933942850861772	0.96872834087471	0.94179665748115
Calditrichales	0.465677598367147	0.601503281635803	0.56543077444	-0.0263151574864511	0.858628291906573	0.96872834087471	0.94179665748115
Campylobacterales	0.55756795726409	0.82161315092901	0.850830340741706	0.02013054619419	0.868638676677723	0.96872834087471	0.968325959225084
Candidatus Brocadiales	0.1613705128704	0.0790162572527843	0.076110767629065	-0.0466299623249802	0.858628291906573	0.96872834087471	0.94179665748115
Candidatus Nanopelagicales	0.515427516058344	0.777064963248049	0.732296593039793	-0.0205662627356088	0.858628291906573	0.96872834087471	0.94437376908818
Cardiobacteriales	0.0868504012259868	0.648202867446219	0.800032348039119	-0.0606368045130591	0.858628291906573	0.96872834087471	0.94437376908818
Catenulisporales	0.326976151106349	0.273967623926702	0.183910932572919	-0.044435335507465	0.858628291906573	0.96872834087471	0.94179665748115
Caulobacterales	0.397522332035239	0.495870366689796	0.404876991363232	-0.0273116546140237	0.858628291906573	0.96872834087471	0.94179665748115
Cellvibrionales	0.571317655663767	0.719269584873384	0.660212437570058	-0.0146130448125369	0.868638676677723	0.96872834087471	0.94179665748115
Chitinophagales	0.627406096880168	0.634411542758307	0.662334030200967	0.0107516481032496	0.903313597315422	0.96872834087471	0.94179665748115
Chlamydiales	0.203525723252155	0.690539940784471	0.755834473792944	0.0404418924725754	0.858628291906573	0.96872834087471	0.94437376908818
Chlorobiales	0.565521105890751	0.578135645072228	0.507728740289728	-0.0165209779386829	0.868638676677723	0.96872834087471	0.94179665748115
Chloroflexales	0.192588713073245	0.848398189926526	0.935410567190807	-0.0430528327980038	0.858628291906573	0.96872834087471	0.974278463821061
Chromatiales	0.463089404373539	0.649150051063986	0.560297900513292	-0.023312485872834	0.858628291906573	0.96872834087471	0.94179665748115
Chroococcales	0.315601996531774	0.244383348013482	0.233926971775983	0.027634069805507	0.858628291906573	0.96872834087471	0.94179665748115
Chroococcidiopsidales	0.768952879087562	0.772455060769866	0.812650156024431	-0.0106651216007314	0.949973673910465	0.96872834087471	0.94659445253961
Chrysiogenales	0.82656447665943	0.32627295157484	0.280222539576743	0.00748216478371932	0.949973673910465	0.96872834087471	0.94179665748115
Chthonomonadales	0.912009249119439	0.460046617270743	0.409338149171861	-0.00400994707079211	0.972069724947843	0.96872834087471	0.94179665748115
Clostridiales	0.358228421134545	0.926624447206578	0.928792398474939	0.0162227223570414	0.858628291906573	0.983468181278173	0.974278463821061
Coprothermobacterales	0.442397683164458	0.394893109635304	0.335981525612102	-0.0362095814463373	0.858628291906573	0.96872834087471	0.94179665748115
