p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.434112506212126	0.813127395127712	0.761592880349041	-0.0250395640691255	0.920232632454558	0.94284442920966	0.944174298741447
Acidaminococcales	0.227032021961783	0.510911853586378	0.438707096535294	-0.0842524785848301	0.920232632454558	0.888400983858131	0.899257758543169
Acidiferrobacterales	0.9213018004606	0.420987195134815	0.376262171342888	0.0026756118617043	0.977998318519933	0.885430206180128	0.899206126795764
Acidilobales	0.845408291245756	0.157087869253782	0.123388217745608	0.00637163016302286	0.952335664026737	0.885430206180128	0.899206126795764
Acidimicrobiales	0.963006406908459	0.732964823377658	0.71664420940957	0.00144940474787509	0.979398005323922	0.94284442920966	0.944174298741447
Acidithiobacillales	0.3414751686966	0.51106047146135	0.521535955803906	-0.0264101451435526	0.920232632454558	0.888400983858131	0.899257758543169
Acidobacteriales	0.487609235675585	0.346259064935349	0.356156160151772	-0.0180232282713434	0.920232632454558	0.885430206180128	0.899206126795764
Acidothermales	0.767198777001272	0.218524947323862	0.243551622017963	-0.00798900076076766	0.952335664026737	0.885430206180128	0.899206126795764
Actinomycetales	0.449147064258549	0.689620081939361	0.670788485271365	-0.0230497859468039	0.920232632454558	0.94284442920966	0.944174298741447
Actinopolysporales	0.219975953191613	0.0733099029314539	0.0667781275215471	-0.0435498195365973	0.920232632454558	0.885430206180128	0.899206126795764
Aeromonadales	0.372689527423007	0.283460144159415	0.295260515308546	-0.0230223650919382	0.920232632454558	0.885430206180128	0.899206126795764
Alteromonadales	0.253022079355317	0.360354736869947	0.390225103084064	-0.0244365118870881	0.920232632454558	0.885430206180128	0.899206126795764
Anaerolineales	0.538976732972456	0.294101641818648	0.296823456572376	-0.0152876463390971	0.920232632454558	0.885430206180128	0.899206126795764
Aquificales	0.451962081842788	0.907636444327339	0.898480630277767	-0.0228618720720906	0.920232632454558	0.951425921904535	0.953750838505552
Archaeoglobales	0.205879910165716	0.981745194759937	0.976281102148413	-0.0309858209789643	0.920232632454558	0.985875722526026	0.988691455141825
Ardenticatenales	0.835281646068973	0.180002568509222	0.164036280552497	-0.00600388957286746	0.952335664026737	0.885430206180128	0.899206126795764
Bacillales	0.291170217950364	0.535438895002521	0.562974250408314	-0.0217045970933575	0.920232632454558	0.888400983858131	0.899257758543169
Bacteriovoracales	0.560196065927549	0.861362313217064	0.827239337642095	-0.0180276107483718	0.920232632454558	0.94284442920966	0.944174298741447
Bacteroidales	0.91705642573918	0.739276846088905	0.725087850023589	0.00508925419309293	0.977998318519933	0.94284442920966	0.944174298741447
Bacteroidetes Order II. Incertae sedis	0.505289714678232	0.35615840602775	0.371115670716118	-0.0196438965250435	0.920232632454558	0.885430206180128	0.899206126795764
Bdellovibrionales	0.0613601732139567	0.182225813113379	0.22109305894714	-0.0423963465945828	0.920232632454558	0.885430206180128	0.899206126795764
