p-variable	slope	adjusted.p-variable
Acholeplasmatales	0.972239828588292	0.0311137039240254	0.976324869884881
Acidaminococcales	0.0706800744037452	5.0289174033478	0.201101640267799
Acidiferrobacterales	0.0503456078699296	1.74973955238286	0.163210471257379
Acidilobales	0.756919950111965	-0.363350477539447	0.873931729839418
Acidimicrobiales	0.0516945896730791	2.24514668248526	0.163210471257379
Acidithiobacillales	0.288456855244211	1.0046857584262	0.462692539619909
Acidobacteriales	0.115359909446602	1.40760440024609	0.285131038203462
Acidothermales	0.299927083315323	1.17060207108384	0.476088109420609
Actinomycetales	0.828027484608976	0.262338355187737	0.903646432975093
Actinopolysporales	0.0110543498415144	2.96038863826256	0.10443784628115
Aeromonadales	0.0459865705772292	1.69592550296758	0.157039876723625
Alteromonadales	0.868098600639009	0.110838889737909	0.913989275562657
Anaerolineales	0.0207132820863093	1.96797642805531	0.123074650816466
Aquificales	0.861077596453441	-0.140490792044583	0.910608608638816
Archaeoglobales	0.447399036829192	-0.654570462886126	0.607547555694187
Ardenticatenales	0.0117291060874835	3.68782793629939	0.10443784628115
Bacillales	0.876075492478069	-0.103409294875287	0.914595939050986
Bacteriovoracales	0.25173512163074	-0.996823403002808	0.435044331933387
Bacteroidales	0.0836567817894867	2.94430390723643	0.229815756869969
Bacteroidetes Order II. Incertae sedis	0.0177201607976016	2.42403468964483	0.120379749190722
Bdellovibrionales	0.491278186861342	0.550625593038588	0.652308259221448
Bifidobacteriales	0.0208206900861028	-5.24395882125785	0.123074650816466
Brachyspirales	0.468309007064948	-0.664601531209017	0.632349450217641
Bradymonadales	0.0075861412350829	2.68498732498832	0.102356511443896
Bryobacterales	0.39039177349802	0.853828204187919	0.568924596744066
Bunyavirales	0.0377321314141457	-2.63369128597589	0.145451280773884
Burkholderiales	0.033313938105736	1.88426878956912	0.137900074514476
Caldilineales	0.246536841100204	1.29385583071732	0.433252242815799
Calditrichales	0.434907096255648	0.770512851717261	0.604462859268374
Campylobacterales	0.790762033183274	-0.273560097963507	0.895697279292903
Candidatus Brocadiales	0.681050789290415	0.389117205496154	0.817945420303563
Candidatus Nanopelagicales	0.744318632944122	-0.277030718744202	0.864290351651731
Cardiobacteriales	0.0265367446250565	2.06626879257352	0.125572551967505
Catenulisporales	0.00334711819429921	3.72853579127762	0.102356511443896
Caulobacterales	0.0181325145224518	2.18631198681715	0.120379749190722
Cellvibrionales	0.1290076558785	1.17265764293018	0.296469516874629
Chitinophagales	0.826523720054291	-0.142171045344427	0.903646432975093
Chlamydiales	0.196974290469011	-1.04653810587805	0.385875864115522
Chlorobiales	0.266871473392038	0.878802799166792	0.449171000990824
Chloroflexales	0.121618069936532	1.41976755461344	0.287789294206249
Chromatiales	0.041663443489191	1.83593681190993	0.148620343192786
Chroococcales	0.778934820869889	-0.208968573947539	0.886502010418588
Chroococcidiopsidales	0.331254215557234	-1.10147816737483	0.504265971453368
Chrysiogenales	0.0537026464541414	1.95875472040308	0.164550416699228
Chthonomonadales	0.140733927420861	1.46073927558801	0.308581730766843
Clostridiales	0.773988334033343	0.136778758522791	0.885087137961574
Coprothermobacterales	0.239636421461502	1.56903144124166	0.425182981399601
Coriobacteriales	0.153476554227985	3.18990988134113	0.321762249653407
Corynebacteriales	0.125544619117312	1.47890921673662	0.291312271544053
Cytophagales	0.372007726190681	0.641401590602478	0.548826213330696
Deferribacterales	0.918266285606111	-0.0826178242629017	0.937538587500817
