p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.467132974688152	0.40668389477807	0.401903571213441	-0.000673383187092744	0.766374068502924	0.879600807724684	0.913620377254587
Acidaminococcales	0.201987997889483	0.878490555915203	0.905579289814504	-0.00292764365488759	0.766374068502924	0.967554114579418	0.975159765199617
Acidiferrobacterales	0.0551473508278317	0.808671440434432	0.909709664947363	0.0016099020956897	0.766374068502924	0.964849423104162	0.975159765199617
Acidilobales	0.359115069061215	0.25114672802017	0.204088837502282	-0.000886247311591217	0.766374068502924	0.879600807724684	0.913620377254587
Acidimicrobiales	0.123866006383499	0.420286574660145	0.47074907423028	0.00147099185397629	0.766374068502924	0.879600807724684	0.913620377254587
Acidithiobacillales	0.638756462320055	0.422369770300007	0.457510572986197	0.00040025809485993	0.843440853560735	0.879600807724684	0.913620377254587
Acidobacteriales	0.232490512399997	0.411915275878003	0.444291382984295	0.000956055354154654	0.766374068502924	0.879600807724684	0.913620377254587
Acidothermales	0.073171586921926	0.990083151128564	0.940412851979174	0.00138412640333695	0.766374068502924	0.990083151128564	0.981478915384378
Actinomycetales	0.668396570422507	0.0677466649201467	0.0791362519760273	-0.000368411416480967	0.858853657693437	0.879600807724684	0.913620377254587
Actinopolysporales	0.379532902162916	0.527438843030481	0.600581950645881	0.000925624648378841	0.766374068502924	0.879600807724684	0.913620377254587
Aeromonadales	0.451941176998696	0.410578064075885	0.430229144518793	0.000568659517140067	0.766374068502924	0.879600807724684	0.913620377254587
Alteromonadales	0.647302773188606	0.416098153707998	0.420821542550705	0.000284737919716909	0.845384496131567	0.879600807724684	0.913620377254587
Anaerolineales	0.380738753393105	0.951889100474598	0.972132039434879	0.00065681765878982	0.766374068502924	0.986145732897181	0.987983058222188
Aquificales	0.791019336778626	0.322976905689027	0.360665965667077	0.00021943852405159	0.944936407666174	0.879600807724684	0.913620377254587
Archaeoglobales	0.862851883395983	0.175430827952007	0.212589940903945	-0.000123160715520621	0.950329954523686	0.879600807724684	0.913620377254587
Ardenticatenales	0.170477366910418	0.166892143006329	0.200310304012689	0.00125798683230642	0.766374068502924	0.879600807724684	0.913620377254587
Bacillales	0.763294566009194	0.469830430802488	0.48412549484957	0.000182193608311217	0.93552513474973	0.879600807724684	0.913620377254587
Bacteriovoracales	0.602082857576463	0.495500866035439	0.50653667620103	0.000460226737840702	0.821082419422982	0.879600807724684	0.913620377254587
Bacteroidales	0.289335664668339	0.316754197181519	0.313713906456209	0.00146033075930547	0.766374068502924	0.879600807724684	0.913620377254587
Bacteroidetes Order II. Incertae sedis	0.535300338509967	0.365652507432182	0.376715733864942	0.000536726514501536	0.795776781568392	0.879600807724684	0.913620377254587
Bdellovibrionales	0.733117458116615	0.340679555798628	0.331529362411698	0.000220086601588004	0.907850116527829	0.879600807724684	0.913620377254587
Bifidobacteriales	0.448335049531217	0.541394286172615	0.441036640865682	-0.0014288094955379	0.766374068502924	0.879600807724684	0.913620377254587
Brachyspirales	0.933744232852279	0.59253443532918	0.612702046442034	-7.69231109481435e-05	0.98688302696297	0.879600807724684	0.913620377254587
Bradymonadales	0.198146876027683	0.797403631410846	0.720965396188361	0.0010772004808361	0.766374068502924	0.964849423104162	0.936229333790517
Bryobacterales	0.653352630537357	0.0801999798681889	0.0744714372362007	0.000379475683568642	0.848648253795806	0.879600807724684	0.913620377254587
Bunyavirales	0.109613998880884	0.0901033659743932	0.0880703144882773	0.00169515204375213	0.766374068502924	0.879600807724684	0.913620377254587
Burkholderiales	0.351796745520592	0.235671973523207	0.271839770236833	0.000743594829572845	0.766374068502924	0.879600807724684	0.913620377254587
Caldilineales	0.304152433439213	0.982019600123553	0.938387325895814	0.000964900047751621	0.766374068502924	0.986145732897181	0.981478915384378
Calditrichales	0.034003722112818	0.818996679990584	0.799952600008926	0.00154267114340527	0.766374068502924	0.964849423104162	0.963467482217796
Campylobacterales	0.806709898373159	0.284202500389273	0.280668078662826	0.000219372202838164	0.944936407666174	0.879600807724684	0.913620377254587
Candidatus Brocadiales	0.187268480643012	0.902872486332486	0.709770216301761	0.00105568365193403	0.766374068502924	0.973438546130549	0.936229333790517
