p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.602463215652345	0.687513152568392	0.685033513683769	-0.0862596677918778	0.957596019650317	0.869394938962146	0.864273277052459
Acidaminococcales	0.163020294457364	0.81998977640718	0.81442288991495	-0.629785257313949	0.957596019650317	0.911523518889842	0.909565750886323
Acidiferrobacterales	0.919346812542654	0.549219977620347	0.554763426889828	0.0161093324767857	0.997693303500233	0.869394938962146	0.864273277052459
Acidilobales	0.167459632055518	0.862682679109789	0.885436003328407	-0.260576281418754	0.957596019650317	0.924579194202868	0.933456174538127
Acidimicrobiales	0.618280268051953	0.396350416396559	0.394935864812859	-0.0914519778995108	0.957596019650317	0.869394938962146	0.864273277052459
Acidithiobacillales	0.164610432612421	0.72869140156486	0.72518595191268	-0.227671027386695	0.957596019650317	0.870786224870008	0.871011740906278
Acidobacteriales	0.331076893366226	0.85429065822804	0.848530412078325	-0.151442865646734	0.957596019650317	0.920952542449337	0.91693454460901
Acidothermales	0.533264434048921	0.844182870682979	0.864247386870727	-0.0897763640764114	0.957596019650317	0.920952542449337	0.922121095812963
Actinomycetales	0.37179320168222	0.851303526282998	0.845883549776077	-0.144371589116638	0.957596019650317	0.920952542449337	0.91693454460901
Actinopolysporales	0.631229287745411	0.558324554922018	0.567791460893043	0.0941675957755644	0.957596019650317	0.869394938962146	0.864273277052459
Aeromonadales	0.424543411624779	0.551308241972348	0.547077792988289	-0.111690929099397	0.957596019650317	0.869394938962146	0.864273277052459
Alteromonadales	0.52064683329554	0.46490848638168	0.459489562227138	-0.0741280540816427	0.957596019650317	0.869394938962146	0.864273277052459
Anaerolineales	0.459268745959926	0.552505012148966	0.547898180836433	-0.102666188841268	0.957596019650317	0.869394938962146	0.864273277052459
Aquificales	0.651684804348176	0.534203533892213	0.53807283866919	-0.0674981407971042	0.957596019650317	0.869394938962146	0.864273277052459
Archaeoglobales	0.371648768250072	0.364355730095574	0.376059490102274	0.123744482329332	0.957596019650317	0.869394938962146	0.864273277052459
Ardenticatenales	0.457972560989194	0.955800936876039	0.955544381353771	-0.137224690562438	0.957596019650317	0.984639758247299	0.986529649298675
Bacillales	0.57062865284749	0.444764718268505	0.441959373240349	-0.063830013052883	0.957596019650317	0.869394938962146	0.864273277052459
Bacteriovoracales	0.776484949795413	0.628888464986029	0.628119877586634	0.0461310628078452	0.957596019650317	0.869394938962146	0.864273277052459
Bacteroidales	0.757850275694656	0.43794336691447	0.437102333634603	0.0692598423168926	0.957596019650317	0.869394938962146	0.864273277052459
Bacteroidetes Order II. Incertae sedis	0.566556281641466	0.252676600250896	0.249336138240344	-0.0920440196137478	0.957596019650317	0.869394938962146	0.864273277052459
Bdellovibrionales	0.368738983158955	0.602565065410107	0.592473479395057	-0.107277565015247	0.957596019650317	0.869394938962146	0.864273277052459
Bifidobacteriales	0.66080686898437	0.519983765181234	0.533839089668504	0.153324203578179	0.957596019650317	0.869394938962146	0.864273277052459
Brachyspirales	0.889277279385907	0.427432552319044	0.428590555082418	-0.0225493985271955	0.993164812024447	0.869394938962146	0.864273277052459
Bradymonadales	0.957110408310387	0.271515506306873	0.27429739337508	-0.00849786378927453	0.999237503118318	0.869394938962146	0.864273277052459
Bryobacterales	0.741143885385925	0.336617853532355	0.327952126314417	-0.0556543887658389	0.957596019650317	0.869394938962146	0.864273277052459
Bunyavirales	0.588971292172529	0.399276971805036	0.40118218961232	-0.0997919113314032	0.957596019650317	0.869394938962146	0.864273277052459
Burkholderiales	0.460161777181888	0.991484390989648	0.993043062404043	-0.114261262086797	0.957596019650317	0.995650291792125	0.996979423975564
Caldilineales	0.530425555850293	0.389675675113816	0.39236420396823	-0.110598094193598	0.957596019650317	0.869394938962146	0.864273277052459
Calditrichales	0.641721378949498	0.912745684551973	0.903950272929305	-0.0623902037854011	0.957596019650317	0.948461820034441	0.939322240130886
Campylobacterales	0.239025195879422	0.742995614050558	0.752212985302264	-0.199309408612439	0.957596019650317	0.879088870089521	0.88519921238206
Candidatus Brocadiales	0.886036759684656	0.887071258458139	0.858562948399757	-0.0214720334810256	0.993164812024447	0.933964893266498	0.920163877432923
Candidatus Nanopelagicales	0.90048340894583	0.267050344134665	0.264277923950818	-0.0175308707936864	0.997693303500233	0.869394938962146	0.864273277052459
Cardiobacteriales	0.335397846745173	0.69364144915321	0.684082341917906	-0.141401100762072	0.957596019650317	0.870786224870008	0.864273277052459
Catenulisporales	0.734900773697029	0.200311298377966	0.200999304722814	0.0602522300293023	0.957596019650317	0.869394938962146	0.864273277052459
Caulobacterales	0.610979237509828	0.493240858627605	0.488607235174054	-0.0815673522676932	0.957596019650317	0.869394938962146	0.864273277052459
Cellvibrionales	0.573297782249425	0.487103403643844	0.485858170934714	-0.0782631923001245	0.957596019650317	0.869394938962146	0.864273277052459
Chitinophagales	0.616634098946882	0.533444139986505	0.532020356359087	-0.0557242770431665	0.957596019650317	0.869394938962146	0.864273277052459
Chlamydiales	0.540238239194012	0.534898629544772	0.522350610488416	-0.0903205959150012	0.957596019650317	0.869394938962146	0.864273277052459
Chlorobiales	0.553904122533031	0.302351742187922	0.298567280430849	-0.0771650986317055	0.957596019650317	0.869394938962146	0.864273277052459
Chloroflexales	0.298547462524877	0.672835018279067	0.662616001485489	-0.154134818419041	0.957596019650317	0.869394938962146	0.864273277052459
Chromatiales	0.496699741939368	0.613542513000415	0.610837494484267	-0.102045851283767	0.957596019650317	0.869394938962146	0.864273277052459
Chroococcales	0.522744854911922	0.482268732812293	0.479434346674916	-0.0733992234135459	0.957596019650317	0.869394938962146	0.864273277052459
Chroococcidiopsidales	0.823437596013103	0.41746963124172	0.421212847924172	0.041586209984777	0.960007733888447	0.869394938962146	0.864273277052459
Chrysiogenales	0.94077777678376	0.303050373833386	0.311744522860768	-0.0117874129421828	0.999237503118318	0.869394938962146	0.864273277052459
Chthonomonadales	0.84642466015165	0.236351731665015	0.232246770304039	-0.0352597969536418	0.977842939391602	0.869394938962146	0.864273277052459
Clostridiales	0.152758693017094	0.726442032646914	0.754051984057481	-0.0970268941726246	0.957596019650317	0.870786224870008	0.88519921238206
Coprothermobacterales	0.106332117073835	0.429033711165815	0.433834582373546	-0.394156524124294	0.957596019650317	0.869394938962146	0.864273277052459
Coriobacteriales	0.664128518683656	0.697928388628208	0.70530559290809	-0.142357777141005	0.957596019650317	0.870786224870008	0.871011740906278
Corynebacteriales	0.656576054715868	0.592546573159557	0.589277285727191	-0.0694699647790637	0.957596019650317	0.869394938962146	0.864273277052459
Cytophagales	0.683548071749356	0.277037394217051	0.273606239597794	-0.0497463825160195	0.957596019650317	0.869394938962146	0.864273277052459
Deferribacterales	0.663493882857675	0.737818722203883	0.738514394824049	-0.0516027705569198	0.957596019650317	0.877306838839443	0.882524701814739
Dehalococcoidales	0.292977578750991	0.0816908820923	0.0820671356893997	-0.16908488277113	0.957596019650317	0.869394938962146	0.864273277052459
Deinococcales	0.577791391200849	0.455031793577269	0.453454324612026	-0.0953818054092938	0.957596019650317	0.869394938962146	0.864273277052459
Desulfarculales	0.758009019482034	0.426894260193719	0.42298274544653	-0.0588763556098704	0.957596019650317	0.869394938962146	0.864273277052459
Desulfobacterales	0.456774203888675	0.625337290103667	0.622503362867475	-0.101159061046518	0.957596019650317	0.869394938962146	0.864273277052459
Desulfovibrionales	0.256606130849344	0.529540403140421	0.545983646309067	0.307896510675142	0.957596019650317	0.869394938962146	0.864273277052459
Desulfurellales	0.11800145469989	0.975487514268577	0.981647162828387	-0.227356176724576	0.957596019650317	0.995295130650426	0.996979423975564
Desulfurobacteriales	0.66847928623147	0.457937595950208	0.452396200235766	-0.0569557681528018	0.957596019650317	0.869394938962146	0.864273277052459
Desulfurococcales	0.594756991411026	0.295549886851713	0.303489299937062	-0.0712699868875129	0.957596019650317	0.869394938962146	0.864273277052459
Desulfuromonadales	0.530963860850523	0.509199628957999	0.504941266702399	-0.0962559483090087	0.957596019650317	0.869394938962146	0.864273277052459
Dictyoglomales	0.754444105594141	0.548231600981434	0.551048225159527	-0.0528821992797501	0.957596019650317	0.869394938962146	0.864273277052459
Eggerthellales	0.938766998988208	0.775920822776322	0.773998712770293	0.0190237716904285	0.999237503118318	0.895869935476044	0.893650687691305
Egibacterales	0.392789013642082	0.594000894451615	0.593589058666727	-0.160653590288971	0.957596019650317	0.869394938962146	0.864273277052459
Egicoccales	0.871015488268123	0.0685226064027185	0.0686207184070438	0.0307443230231967	0.98660048197195	0.869394938962146	0.864273277052459
Elusimicrobiales	0.470324666154636	0.679115713576369	0.667942465111344	-0.114325757243204	0.957596019650317	0.869394938962146	0.864273277052459
Emcibacterales	0.279334492082599	0.68722302077648	0.687439645339843	-0.16768781458189	0.957596019650317	0.869394938962146	0.864273277052459
Endomicrobiales	0.702978079993692	0.138611743296895	0.141622526200283	-0.0626358449272897	0.957596019650317	0.869394938962146	0.864273277052459
Enterobacterales	0.239720292131441	0.706923817981518	0.67509894950626	-0.207548294990935	0.957596019650317	0.870786224870008	0.864273277052459
Entomoplasmatales	0.752602908465936	0.355099696163221	0.360061569672317	0.0576740306336973	0.957596019650317	0.869394938962146	0.864273277052459
Erysipelotrichales	0.60713440720421	0.460886019874753	0.465415534065368	-0.098630630893475	0.957596019650317	0.869394938962146	0.864273277052459
Eurotiales	0.677920555709288	0.361335558073784	0.364218337396877	-0.0540772414786145	0.957596019650317	0.869394938962146	0.864273277052459
Euzebyales	0.509955686108978	0.302876051221361	0.303373829343361	-0.129766340318177	0.957596019650317	0.869394938962146	0.864273277052459
Fibrobacterales	0.344239794669456	0.432781921015983	0.428723273910242	-0.176456871340552	0.957596019650317	0.869394938962146	0.864273277052459
Fimbriimonadales	0.808239153102339	0.425169092392337	0.43427672107188	-0.0343134620817747	0.957596019650317	0.869394938962146	0.864273277052459
Flavobacteriales	0.62577915083223	0.286325018069135	0.284179717590225	-0.0553689382222279	0.957596019650317	0.869394938962146	0.864273277052459
Frankiales	0.748607918300431	0.549886726659095	0.549672767192466	-0.0529463113393982	0.957596019650317	0.869394938962146	0.864273277052459
Fusobacteriales	0.968833852678551	0.577647786864997	0.581040279909016	-0.00581053484458538	0.999237503118318	0.869394938962146	0.864273277052459
Gemmatales	0.694721478734679	0.347951480772956	0.350758003215621	-0.0650805733861577	0.957596019650317	0.869394938962146	0.864273277052459
Gemmatimonadales	0.614797010402661	0.564034842111572	0.560114298206343	-0.0875089886989821	0.957596019650317	0.869394938962146	0.864273277052459
Geodermatophilales	0.695650877738923	0.34467104210968	0.341558848315237	-0.0702283244280779	0.957596019650317	0.869394938962146	0.864273277052459
Gloeobacterales	0.48189257470349	0.412163992912282	0.409091050451414	-0.127341483010435	0.957596019650317	0.869394938962146	0.864273277052459
Gloeoemargaritales	0.116421464528584	0.506431334317289	0.49922937322023	-0.238149653914987	0.957596019650317	0.869394938962146	0.864273277052459
Glomerellales	0.96105823842664	0.960981323881092	0.957635475469844	-0.00711698014592763	0.999237503118318	0.985727624066872	0.986529649298675
Glycomycetales	0.375796795035054	0.331532135776125	0.330217990897288	-0.173255276504017	0.957596019650317	0.869394938962146	0.864273277052459
Halanaerobiales	0.998957325452468	0.753279724112552	0.755567528560419	0.000175010323288944	0.999237503118318	0.882518892465196	0.88519921238206
Halobacteriales	0.62610072929848	0.46809339657718	0.465794834438499	-0.0861377412497849	0.957596019650317	0.869394938962146	0.864273277052459
Haloferacales	0.846918361732475	0.796680043428697	0.794796392843944	-0.031218348635689	0.977842939391602	0.903197972890466	0.899042073792769
Helotiales	0.5725712536928	0.45908184152027	0.457740998137344	-0.080173652420555	0.957596019650317	0.869394938962146	0.864273277052459
Holosporales	0.236039721804546	0.797003473320271	0.788891023100341	-0.198584679071791	0.957596019650317	0.903197972890466	0.899042073792769
Hydrogenophilales	0.323251093163819	0.165907327831032	0.173972127786226	0.186324043089884	0.957596019650317	0.869394938962146	0.864273277052459
Hypocreales	0.407798809839131	0.39445016028953	0.387143664788557	-0.0949112409982617	0.957596019650317	0.869394938962146	0.864273277052459
Ignavibacteriales	0.72741332288959	0.561227937262155	0.562133606440955	-0.0539645620688467	0.957596019650317	0.869394938962146	0.864273277052459
Immundisolibacterales	0.863455016429241	0.884284527432286	0.886160977736165	-0.0329126752740234	0.982694042507564	0.933964893266498	0.933456174538127
Isosphaerales	0.91903485140173	0.47861585190981	0.482226031351751	-0.0182469411658993	0.997693303500233	0.869394938962146	0.864273277052459
Jiangellales	0.985988109039798	0.686776049202537	0.69069538040594	-0.00345563419937731	0.999237503118318	0.869394938962146	0.864273277052459
Kineosporiales	0.693612890639234	0.728325702701515	0.724598151894436	-0.0897737313608385	0.957596019650317	0.870786224870008	0.871011740906278
Kiritimatiellales	0.785883903840511	0.705042343920367	0.709805132996147	-0.0558068241802782	0.957596019650317	0.870786224870008	0.871011740906278
Kosmotogales	0.245639495672644	0.673587254081519	0.673631379792007	-0.15028245786054	0.957596019650317	0.869394938962146	0.864273277052459
Ktedonobacterales	0.165848063506628	0.562163320187314	0.553706496813577	-0.236621482066335	0.957596019650317	0.869394938962146	0.864273277052459
Lactobacillales	0.91178252462048	0.978995712015377	0.989725773561616	-0.0210165249006875	0.997693303500233	0.995295130650426	0.996979423975564
