p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.760211464451097	0.445883478867793	0.355227392626624	-0.0024763530558012	0.999086012344818	0.997873080079109	0.997164305363868
Acidaminococcales	0.434359204453446	0.116397819219	0.0910191302555705	-0.0151750994027665	0.999086012344818	0.997873080079109	0.997164305363868
Acidiferrobacterales	0.619394199707669	0.876688517484062	0.844283608394239	0.00352771322971592	0.999086012344818	0.997873080079109	0.997164305363868
Acidilobales	0.904034425453345	0.360562502264165	0.146002825627489	-0.0010407451477389	0.999086012344818	0.997873080079109	0.997164305363868
Acidimicrobiales	0.939233590304957	0.945785858180447	0.877388157560392	0.000600904406349306	0.999086012344818	0.997873080079109	0.997164305363868
Acidithiobacillales	0.995855539019875	0.794860588408671	0.6603174193754	3.51194012379431e-05	0.999086012344818	0.997873080079109	0.997164305363868
Acidobacteriales	0.962849916428327	0.943880588770165	0.757149862856737	-0.000312420410677447	0.999086012344818	0.997873080079109	0.997164305363868
Acidothermales	0.802699566192265	0.322557736402735	0.695774625587136	-0.00162575910941471	0.999086012344818	0.997873080079109	0.997164305363868
Actinomycetales	0.939225664626558	0.0619148757940884	0.0595146623555993	0.000552193149764837	0.999086012344818	0.997873080079109	0.997164305363868
Actinopolysporales	0.167765469469201	0.525828328601661	0.588888189278442	-0.0124352805036372	0.999086012344818	0.997873080079109	0.997164305363868
Aeromonadales	0.768439897398213	0.618021707018567	0.814365382216158	-0.00188279723662126	0.999086012344818	0.997873080079109	0.997164305363868
Alteromonadales	0.738043255217076	0.885529329449465	0.891205614945567	-0.00181346738185164	0.999086012344818	0.997873080079109	0.997164305363868
Anaerolineales	0.873804985453353	0.586776418973492	0.800459347976172	-0.00096516625074241	0.999086012344818	0.997873080079109	0.997164305363868
Aquificales	0.68099368981766	0.580255966697741	0.593172049418608	-0.00297608601444964	0.999086012344818	0.997873080079109	0.997164305363868
Archaeoglobales	0.597643670147217	0.869381552351625	0.709633762183426	-0.00346049011059798	0.999086012344818	0.997873080079109	0.997164305363868
Ardenticatenales	0.430770169573979	0.972607620900386	0.976797886741928	0.00590070808930222	0.999086012344818	0.997873080079109	0.997164305363868
Bacillales	0.907343359178167	0.893046622852895	0.748675063757011	-0.000614314402630269	0.999086012344818	0.997873080079109	0.997164305363868
Bacteriovoracales	0.401086385341058	0.885300342513455	0.997164305363868	-0.00665347394878809	0.999086012344818	0.997873080079109	0.997164305363868
Bacteroidales	0.353559210001979	0.385845280266777	0.364657139540591	-0.0104712405185812	0.999086012344818	0.997873080079109	0.997164305363868
Bacteroidetes Order II. Incertae sedis	0.931428098672762	0.53016076810712	0.718473642274297	0.000630827720259219	0.999086012344818	0.997873080079109	0.997164305363868
Bdellovibrionales	0.468703546616436	0.785262888350079	0.957852704224632	-0.00415072943768553	0.999086012344818	0.997873080079109	0.997164305363868
Bifidobacteriales	0.688804933432734	0.153414661687225	0.284278950240061	-0.00652105109867094	0.999086012344818	0.997873080079109	0.997164305363868
Brachyspirales	0.386045749990776	0.51418429723815	0.473513969501608	-0.00701275229290822	0.999086012344818	0.997873080079109	0.997164305363868
Bradymonadales	0.982810648343566	0.809908244224294	0.859214431102071	-0.00014054255132023	0.999086012344818	0.997873080079109	0.997164305363868
Bryobacterales	0.879499470448153	0.232848961253104	0.430329541033794	-0.00109112540308222	0.999086012344818	0.997873080079109	0.997164305363868
Bunyavirales	0.812999337531135	0.82665153505558	0.835641915034588	0.00217771781179603	0.999086012344818	0.997873080079109	0.997164305363868
Burkholderiales	0.87128814023178	0.997871002919232	0.894911252003821	-0.00107947499146117	0.999086012344818	0.997873080079109	0.997164305363868
Caldilineales	0.781913863926995	0.62092147350734	0.566086203943572	0.0020141804881989	0.999086012344818	0.997873080079109	0.997164305363868
Calditrichales	0.654162494646207	0.456697506926078	0.521332516062434	0.00284941391485943	0.999086012344818	0.997873080079109	0.997164305363868
Campylobacterales	0.300637213921739	0.285475644544282	0.226540771498144	0.00839018047139546	0.999086012344818	0.997873080079109	0.997164305363868
Candidatus Brocadiales	0.896108080129882	0.538317888020726	0.924521032929412	-0.000904016968567498	0.999086012344818	0.997873080079109	0.997164305363868
Candidatus Nanopelagicales	0.215384381723005	0.615221447830833	0.423817696603528	-0.00871485350718304	0.999086012344818	0.997873080079109	0.997164305363868
Cardiobacteriales	0.556561412334873	0.633449941976937	0.873006873116793	-0.00435233823642508	0.999086012344818	0.997873080079109	0.997164305363868
Catenulisporales	0.93338473276258	0.916354150674198	0.945599198007203	0.000660221768104529	0.999086012344818	0.997873080079109	0.997164305363868
Caulobacterales	0.972980171679948	0.948952192668842	0.816508168805871	0.000234871657358364	0.999086012344818	0.997873080079109	0.997164305363868
Cellvibrionales	0.783273805205664	0.296703380718484	0.340298859854608	-0.00169530175157871	0.999086012344818	0.997873080079109	0.997164305363868
Chitinophagales	0.980639485219037	0.195088307403409	0.214863994751724	0.000124741458081296	0.999086012344818	0.997873080079109	0.997164305363868
Chlamydiales	0.700677059352772	0.440968768076641	0.667182743951513	0.00285814541854975	0.999086012344818	0.997873080079109	0.997164305363868
