p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.146441047975925	0.7222235681478	0.555934069850938	-2.66462992695848e-05	0.989181118945234	0.998910678085202	0.987008515605953
Acidaminococcales	0.0170464825420248	0.858149944396878	0.556421188377337	-9.9567422415743e-05	0.989181118945234	0.998910678085202	0.987008515605953
Acidiferrobacterales	0.89620375519913	0.664837283869865	0.526880221515133	2.04406038385348e-06	0.989181118945234	0.998910678085202	0.987008515605953
Acidilobales	0.198571137412352	0.977346061464817	0.524038391914118	-2.27605234548311e-05	0.989181118945234	0.998910678085202	0.987008515605953
Acidimicrobiales	0.625344767846305	0.900735931801496	0.935131648412175	-8.73480943256184e-06	0.989181118945234	0.998910678085202	0.987008515605953
Acidithiobacillales	0.365825998570555	0.965971634818501	0.924440025737993	-1.42975918924861e-05	0.989181118945234	0.998910678085202	0.987008515605953
Acidobacteriales	0.648855754979225	0.921298818558019	0.998552792099229	-6.71948596176311e-06	0.989181118945234	0.998910678085202	0.999682104565092
Acidothermales	0.678612502118774	0.328563232304737	0.605372228272015	6.12001059579401e-06	0.989181118945234	0.998910678085202	0.987008515605953
Actinomycetales	0.914344234634678	0.398525277739468	0.60481024447778	1.82590514966183e-06	0.989181118945234	0.998910678085202	0.987008515605953
Actinopolysporales	0.780513098197575	0.148584329809904	0.0927173158276654	5.45804962750306e-06	0.989181118945234	0.998910678085202	0.987008515605953
Aeromonadales	0.4995953857997	0.725876235746426	0.841558423763137	-9.93823193968596e-06	0.989181118945234	0.998910678085202	0.987008515605953
Alteromonadales	0.269949723067288	0.837682187729337	0.936338683480495	-1.34030424633487e-05	0.989181118945234	0.998910678085202	0.987008515605953
Anaerolineales	0.624529104285901	0.510126090875001	0.608445226227918	-6.9447247693918e-06	0.989181118945234	0.998910678085202	0.987008515605953
Aquificales	0.263422530457507	0.741951313059345	0.769367511566906	-1.85701179229692e-05	0.989181118945234	0.998910678085202	0.987008515605953
Archaeoglobales	0.634570876941597	0.719534388477036	0.522085458561822	-6.2052656384963e-06	0.989181118945234	0.998910678085202	0.987008515605953
Ardenticatenales	0.558097901106845	0.714643559217417	0.563161013116061	9.6384021079481e-06	0.989181118945234	0.998910678085202	0.987008515605953
Bacillales	0.225909335018158	0.956318537459053	0.794962563299868	-1.4199981232641e-05	0.989181118945234	0.998910678085202	0.987008515605953
Bacteriovoracales	0.459177157050786	0.442493350158224	0.581520423366662	-1.26269600394862e-05	0.989181118945234	0.998910678085202	0.987008515605953
Bacteroidales	0.577264398649166	0.309526338592126	0.304705173338175	1.53903152605992e-05	0.989181118945234	0.998910678085202	0.987008515605953
Bacteroidetes Order II. Incertae sedis	0.474137447986963	0.879638871995728	0.968202282085614	-1.1962379508968e-05	0.989181118945234	0.998910678085202	0.987008515605953
Bdellovibrionales	0.147372620616339	0.839943688519972	0.816256672037635	-1.86085864256279e-05	0.989181118945234	0.998910678085202	0.987008515605953
Bifidobacteriales	0.436529868939418	0.586975623717108	0.910637175389212	2.78498097749703e-05	0.989181118945234	0.998910678085202	0.987008515605953
Brachyspirales	0.0649935687704864	0.450060928883882	0.344049314444224	-3.42373474212246e-05	0.989181118945234	0.998910678085202	0.987008515605953
Bradymonadales	0.684360927228755	0.221317877782558	0.150798721579348	6.0864067659134e-06	0.989181118945234	0.998910678085202	0.987008515605953
Bryobacterales	0.739139459429823	0.429756435250257	0.689003861245715	-5.23144482356784e-06	0.989181118945234	0.998910678085202	0.987008515605953
Bunyavirales	0.811781558554913	0.66702360507067	0.751986771249309	-5.04249061347165e-06	0.989181118945234	0.998910678085202	0.987008515605953
