p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.160991435931256	0.824369674792019	0.673395576027423	-0.0155997202712336	0.730349433439826	0.95821050354859	0.998102231718534
Acidaminococcales	0.0236376354790529	0.677700869635053	0.933387169574714	-0.0605095595362806	0.701932915089536	0.95821050354859	0.998102231718534
Acidiferrobacterales	0.698293549572533	0.366432866086976	0.337655579456325	-0.0038198904427453	0.882730401742251	0.95821050354859	0.998102231718534
Acidilobales	0.26950669901899	0.673094543012049	0.892345134241136	-0.0131210549015831	0.744577345422766	0.95821050354859	0.998102231718534
Acidimicrobiales	0.33517296003126	0.450154056970565	0.543551181576512	-0.0111636131742855	0.744577345422766	0.95821050354859	0.998102231718534
Acidithiobacillales	0.19405271524302	0.538659713923327	0.63385194210063	-0.0130376465652668	0.730349433439826	0.95821050354859	0.998102231718534
Acidobacteriales	0.366090730109765	0.56922377961918	0.696021289016403	-0.00861836973707539	0.744577345422766	0.95821050354859	0.998102231718534
Acidothermales	0.868844391255347	0.343546153176635	0.623879447573259	-0.00154732848964103	0.965831672139665	0.95821050354859	0.998102231718534
Actinomycetales	0.53113010471196	0.835279274399995	0.941177784841351	0.00660152789696264	0.797658034429912	0.95821050354859	0.998102231718534
Actinopolysporales	0.899042639378673	0.112687372901643	0.0882061016833336	-0.00155090465716364	0.972205620489849	0.95821050354859	0.998102231718534
Aeromonadales	0.361614163790891	0.584975596567704	0.708634055339394	-0.00830537626011451	0.744577345422766	0.95821050354859	0.998102231718534
Alteromonadales	0.154882634695596	0.674579972920795	0.900706809744918	-0.0106645419744691	0.730349433439826	0.95821050354859	0.998102231718534
Anaerolineales	0.290246639496378	0.26388722817817	0.370213587157033	-0.00934369524961058	0.744577345422766	0.95821050354859	0.998102231718534
Aquificales	0.182412290553411	0.861162052276051	0.889505653204578	-0.0133434210598775	0.730349433439826	0.95821050354859	0.998102231718534
Archaeoglobales	0.659857620430602	0.741490409101404	0.585712079376645	-0.00371816739607214	0.861781263841059	0.95821050354859	0.998102231718534
Ardenticatenales	0.954030694678615	0.550812857592966	0.50537428291084	0.000633559787042472	0.992696707258851	0.95821050354859	0.998102231718534
Bacillales	0.141629550183587	0.773309316025676	0.953961826267963	-0.0106576627342203	0.730349433439826	0.95821050354859	0.998102231718534
Bacteriovoracales	0.329714434129091	0.423353564268802	0.552582956159015	-0.0102157742967237	0.744577345422766	0.95821050354859	0.998102231718534
