p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acholeplasmatales	0.274640750246388	0.733244431166665	0.575628371280658	-5.97754618464892e-05	0.996532404834075	0.995946264422641	0.999650078617644
Acidaminococcales	0.0101293918684061	0.744524482753734	0.341085817043948	-0.000320832861609928	0.996532404834075	0.995946264422641	0.999650078617644
Acidiferrobacterales	0.658399529273555	0.912398571483672	0.712030299792944	2.05994295832566e-05	0.996532404834075	0.995946264422641	0.999650078617644
Acidilobales	0.421358706370968	0.815402440127725	0.460678686439399	-4.21088784761371e-05	0.996532404834075	0.995946264422641	0.999650078617644
Acidimicrobiales	0.959370700682139	0.730876993227039	0.800284666985314	2.67220777286031e-06	0.996532404834075	0.995946264422641	0.999650078617644
Acidithiobacillales	0.495335800592955	0.895146987418788	0.839820084189045	-3.20935558913636e-05	0.996532404834075	0.995946264422641	0.999650078617644
Acidobacteriales	0.928556894045689	0.891019854994061	0.878884967635849	-3.91237759075901e-06	0.996532404834075	0.995946264422641	0.999650078617644
Acidothermales	0.523875991953554	0.844323726490374	0.960217031223331	2.78780625354508e-05	0.996532404834075	0.995946264422641	0.999650078617644
Actinomycetales	0.859684271485885	0.543293854149385	0.765135180053841	8.95314772342924e-06	0.996532404834075	0.995946264422641	0.999650078617644
Actinopolysporales	0.35906514414515	0.13193400563492	0.0742478635343938	5.37294335506489e-05	0.996532404834075	0.995946264422641	0.999650078617644
Aeromonadales	0.804102132322594	0.911031362078311	0.974014186202227	-1.0874283524599e-05	0.996532404834075	0.995946264422641	0.999650078617644
Alteromonadales	0.453360020475049	0.729779733165908	0.942322208357415	-2.71588890454647e-05	0.996532404834075	0.995946264422641	0.999650078617644
Anaerolineales	0.812224822503858	0.683906184553018	0.772155628048454	-1.00627511543235e-05	0.996532404834075	0.995946264422641	0.999650078617644
Aquificales	0.55711396353182	0.665095837997201	0.717515198771379	-2.89803507625471e-05	0.996532404834075	0.995946264422641	0.999650078617644
Archaeoglobales	0.985610980962649	0.634836639716956	0.465280328150111	-7.0018637615894e-07	0.996532404834075	0.995946264422641	0.999650078617644
Ardenticatenales	0.25546635912153	0.732964634896783	0.47769382244513	5.51183574020779e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bacillales	0.411505476433461	0.951719625519284	0.890751254481187	-2.86454781276507e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bacteriovoracales	0.604528308577342	0.406840364762582	0.553233009407637	-2.65096144025672e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bacteroidales	0.721259612261348	0.502906140699314	0.512095449777931	2.95032154983409e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bacteroidetes Order II. Incertae sedis	0.722300959318591	0.977586717172983	0.877906369474899	-1.76114218369067e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bdellovibrionales	0.185784167519903	0.701884821816167	0.91775040543291	-5.05794427930192e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bifidobacteriales	0.375485419198603	0.438201848267757	0.619241407629733	9.46740579379e-05	0.996532404834075	0.995946264422641	0.999650078617644
Brachyspirales	0.115688326454605	0.524773643777457	0.386117757504789	-8.70621314853521e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bradymonadales	0.394753650863706	0.399306168913452	0.253625736694712	3.82218797613348e-05	0.996532404834075	0.995946264422641	0.999650078617644
Bryobacterales	0.850984230279702	0.266294533047096	0.405090804153145	8.69635985341534e-06	0.996532404834075	0.995946264422641	0.999650078617644
Bunyavirales	0.980966129234601	0.859398034273861	0.840166059107899	-1.50841589348022e-06	0.996532404834075	0.995946264422641	0.999650078617644
Burkholderiales	0.772622300281843	0.765007073820901	0.645495398581971	1.29142288337268e-05	0.996532404834075	0.995946264422641	0.999650078617644
Caldilineales	0.906012515809446	0.766788860795635	0.91179704688419	-6.10288468821717e-06	0.996532404834075	0.995946264422641	0.999650078617644
Calditrichales	0.409691680188078	0.876700577922273	0.836843726847602	3.41928371115649e-05	0.996532404834075	0.995946264422641	0.999650078617644
Campylobacterales	0.956043898918626	0.338434467730789	0.33072591062466	-2.77273805340523e-06	0.996532404834075	0.995946264422641	0.999650078617644
Candidatus Brocadiales	0.771807391220091	0.939591543404041	0.636707688961597	-1.311768367337e-05	0.996532404834075	0.995946264422641	0.999650078617644
Candidatus Nanopelagicales	0.0842986857378285	0.987363093595135	0.631170388166754	-8.30297533589604e-05	0.996532404834075	0.999136746361834	0.999650078617644
Cardiobacteriales	0.208086009033451	0.912136520085778	0.607092561916265	-6.06313159568054e-05	0.996532404834075	0.995946264422641	0.999650078617644
Catenulisporales	0.625576279241374	0.732254559861059	0.895008835002448	2.48147330957637e-05	0.996532404834075	0.995946264422641	0.999650078617644
Caulobacterales	0.786894871442955	0.754714498877976	0.757206138267309	1.24191165080395e-05	0.996532404834075	0.995946264422641	0.999650078617644
Cellvibrionales	0.985450386144562	0.551949160115799	0.550155119230123	7.32971170967667e-07	0.996532404834075	0.995946264422641	0.999650078617644
Chitinophagales	0.889116028096779	0.257859588783678	0.307847243174995	-4.85236344751902e-06	0.996532404834075	0.995946264422641	0.999650078617644
Chlamydiales	0.669291492349161	0.919627166269279	0.572194962627374	2.08936989429719e-05	0.996532404834075	0.995946264422641	0.999650078617644
Chlorobiales	0.933925805210316	0.586100767957913	0.668992881197306	-3.36124996373018e-06	0.996532404834075	0.995946264422641	0.999650078617644
Chloroflexales	0.496061869528392	0.938781469239874	0.723827542569369	-3.07317828990094e-05	0.996532404834075	0.995946264422641	0.999650078617644
Chromatiales	0.895332890533826	0.819210218109466	0.842227814608285	-5.84318985919089e-06	0.996532404834075	0.995946264422641	0.999650078617644
Chroococcales	0.333514636634146	0.84980939409235	0.695414245007001	-3.47211085858966e-05	0.996532404834075	0.995946264422641	0.999650078617644
Chroococcidiopsidales	0.569040971177095	0.347899776514961	0.267072356142294	3.0122983424647e-05	0.996532404834075	0.995946264422641	0.999650078617644
Chrysiogenales	0.751717936488578	0.920189442215213	0.716937502175407	1.49609665786889e-05	0.996532404834075	0.995946264422641	0.999650078617644
Chthonomonadales	0.526199876822146	0.305956864243736	0.329553934630789	3.2811071722256e-05	0.996532404834075	0.995946264422641	0.999650078617644
Clostridiales	0.478554039064429	0.739086816425456	0.331689435831862	-1.61124873369694e-05	0.996532404834075	0.995946264422641	0.999650078617644
Coprothermobacterales	0.84974336048354	0.941679678363053	0.898162212617972	1.33910908457669e-05	0.996532404834075	0.995946264422641	0.999650078617644
Coriobacteriales	0.884246938399796	0.846344714050955	0.789882987031598	1.20007810381154e-05	0.996532404834075	0.995946264422641	0.999650078617644
Corynebacteriales	0.492511002907996	0.775205764032393	0.668762538566706	3.02422369353895e-05	0.996532404834075	0.995946264422641	0.999650078617644
Cytophagales	0.661602745418018	0.445457276498118	0.598191569787087	-1.65189757548223e-05	0.996532404834075	0.995946264422641	0.999650078617644
Deferribacterales	0.468777801522382	0.94003449677585	0.862081615926244	-2.74976802178102e-05	0.996532404834075	0.995946264422641	0.999650078617644
Dehalococcoidales	0.819593047932192	0.999136746361834	0.794798660279147	1.20602334250167e-05	0.996532404834075	0.999136746361834	0.999650078617644
Deinococcales	0.607210284486231	0.885267268451025	0.752523858760076	2.46663817965208e-05	0.996532404834075	0.995946264422641	0.999650078617644
Desulfarculales	0.648852686739769	0.644286075182261	0.801965689485476	-2.37628336430914e-05	0.996532404834075	0.995946264422641	0.999650078617644
Desulfobacterales	0.736016893967388	0.465113281546244	0.438800958898765	1.34569705561949e-05	0.996532404834075	0.995946264422641	0.999650078617644
Desulfovibrionales	0.460896698322986	0.869295418728207	0.994660306296429	-6.39636166522731e-05	0.996532404834075	0.995946264422641	0.999650078617644
Desulfurellales	0.252736478024602	0.641347915849194	0.870772713586963	-5.56997924367684e-05	0.996532404834075	0.995946264422641	0.999650078617644
Desulfurobacteriales	0.256179444155515	0.787928906993342	0.550774982590007	-5.36251772443137e-05	0.996532404834075	0.995946264422641	0.999650078617644
Desulfurococcales	0.400275436913997	0.546153187742863	0.709509121087712	-3.41860596259567e-05	0.996532404834075	0.995946264422641	0.999650078617644
Desulfuromonadales	0.768837518263193	0.941980423361981	0.993657794684934	1.30251710424299e-05	0.996532404834075	0.995946264422641	0.999650078617644
Dictyoglomales	0.277305524980155	0.960183334630331	0.859350214075765	-6.26496302928173e-05	0.996532404834075	0.995946264422641	0.999650078617644
Eggerthellales	0.561229945533229	0.865464628804226	0.991179475718963	5.35053104349405e-05	0.996532404834075	0.995946264422641	0.999650078617644
Egibacterales	0.614522196999092	0.794699733813873	0.794421761145695	-2.76729975062242e-05	0.996532404834075	0.995946264422641	0.999650078617644
