p-variable	slope	adjusted.p-variable
Acholeplasmatales	0.342455206793727	0.00149067172585409	0.53987048931158
Acidaminococcales	0.0367709946329865	0.00972923544294946	0.53987048931158
Acidiferrobacterales	0.429362595175072	0.00101532409684656	0.572844824065148
Acidilobales	0.0114265681914502	0.00469802744760753	0.53987048931158
Acidimicrobiales	0.368365125770372	0.00144472954523881	0.53987048931158
Acidithiobacillales	0.170825984327142	0.00208393337948446	0.53987048931158
Acidobacteriales	0.218073037205857	0.00181693082675486	0.53987048931158
Acidothermales	0.997298014915855	3.795056014833e-06	0.997298014915855
Actinomycetales	0.463892153196706	0.0011199540382715	0.596076476419423
Actinopolysporales	0.627700144429391	0.000741076935927625	0.704576261181821
Aeromonadales	0.282503620818051	0.00134988577577816	0.53987048931158
Alteromonadales	0.323296424535996	0.0010729457100456	0.53987048931158
Anaerolineales	0.434947517873884	0.000967177919104788	0.572844824065148
Aquificales	0.330733181952878	0.00130289532472595	0.53987048931158
Archaeoglobales	0.175574039457031	0.00167809130030323	0.53987048931158
Ardenticatenales	0.179458557210983	0.00209013605629211	0.53987048931158
Bacillales	0.227666591724025	0.00125070688670037	0.53987048931158
Bacteriovoracales	0.685143482077047	0.000534138160454573	0.751143542277129
Bacteroidales	0.624396986517808	-0.00136170542754808	0.704576261181821
Bacteroidetes Order II. Incertae sedis	0.263390678658028	0.00161799815685337	0.53987048931158
Bdellovibrionales	0.150286020635723	0.0015507235846283	0.53987048931158
Bifidobacteriales	0.0845015130649593	-0.00548699168369926	0.53987048931158
Brachyspirales	0.419309298560219	0.00123425425809804	0.563005181774676
Bradymonadales	0.947256344862873	9.51688947243189e-05	0.955250069292095
Bryobacterales	0.345784496914298	0.00154615307368921	0.53987048931158
Bunyavirales	0.704927122909659	-0.000695914401666677	0.765807192615494
Burkholderiales	0.241223882655977	0.00158123668107738	0.53987048931158
Caldilineales	0.250205767060179	0.00164763932383351	0.53987048931158
Calditrichales	0.529944364526478	0.000851400634966282	0.64620766898892
Campylobacterales	0.356194329376678	0.00143286174969124	0.53987048931158
Candidatus Brocadiales	0.675299932872222	0.00064163569534974	0.743763520536687
Candidatus Nanopelagicales	0.24884151414982	0.00139574538257756	0.53987048931158
Cardiobacteriales	0.183158382753829	0.00190910426976423	0.53987048931158
Catenulisporales	0.238847717811229	0.00180505069560422	0.53987048931158
Caulobacterales	0.195637354261793	0.00190078770606633	0.53987048931158
Cellvibrionales	0.319866630554753	0.00126921813985448	0.53987048931158
Chitinophagales	0.442757853433883	0.000848705439324569	0.575103950927706
Chlamydiales	0.573753199593419	-0.00059045388386862	0.67219124854327
Chlorobiales	0.416086231647313	0.000981579330552777	0.561833951207389
Chloroflexales	0.294079810671959	0.00148069834452107	0.53987048931158
Chromatiales	0.17535451396525	0.00183188774127896	0.53987048931158
Chroococcales	0.283287681732878	0.00109612414854241	0.53987048931158
Chroococcidiopsidales	0.870279821312355	-0.000302690527134792	0.904334249102838
Chrysiogenales	0.14663305483917	0.00213480259157045	0.53987048931158
Chthonomonadales	0.500274198024657	0.00113910274907868	0.622848573194411
Clostridiales	0.191929517589353	0.000915689506995854	0.53987048931158
Coprothermobacterales	0.100135924795926	0.00328473487332617	0.53987048931158
Coriobacteriales	0.4570000292224	0.00255739745831065	0.590394632346776
Corynebacteriales	0.324171557043302	0.00138601387227725	0.53987048931158
Cytophagales	0.384008297836689	0.00101675302276988	0.53987048931158
Deferribacterales	0.597753856029373	0.000627490010765719	0.685388775432506
Dehalococcoidales	0.434596755723793	-0.00136166505164295	0.572844824065148
Deinococcales	0.285389390758661	0.00165437578688039	0.53987048931158
Desulfarculales	0.630875815451505	0.00085240058190601	0.704576261181821
Desulfobacterales	0.204442432498954	0.00161957121805174	0.53987048931158
Desulfovibrionales	0.621706186169542	0.00142599407461229	0.704576261181821
Desulfurellales	0.537659580199612	0.000789624396659668	0.65228751100359
Desulfurobacteriales	0.226467038064122	0.00168413886577631	0.53987048931158
Desulfurococcales	0.88235935413662	0.000189266159086125	0.908982265683846
Desulfuromonadales	0.195897832121931	0.00177012291290865	0.53987048931158
Dictyoglomales	0.1524501467939	0.00183486751132594	0.53987048931158
Eggerthellales	0.121595033870232	-0.00414666581846268	0.53987048931158
Egibacterales	0.243386435386112	0.00181339299384512	0.53987048931158
Egicoccales	0.591388627108109	0.000913870613208466	0.685388775432506
Elusimicrobiales	0.767385762872486	-0.00043104135191077	0.804408760204054
Emcibacterales	0.0954121684893511	0.00243127270734131	0.53987048931158
Endomicrobiales	0.57028099879313	0.000842836268510233	0.67219124854327
Enterobacterales	0.0591186384836678	0.00394899336330248	0.53987048931158
Entomoplasmatales	0.57300455963039	0.000938475656956388	0.67219124854327
Erysipelotrichales	0.114442363743046	0.0025107327767534	0.53987048931158
Eurotiales	0.14322785120352	0.0017185796001666	0.53987048931158
Euzebyales	0.239175362385065	0.00217670258295025	0.53987048931158
Fibrobacterales	0.198854910532384	0.00224117203773655	0.53987048931158
Fimbriimonadales	0.56005952631995	0.000713574827565953	0.67219124854327
Flavobacteriales	0.269076724359132	0.0011447117249206	0.53987048931158
Frankiales	0.284645606304007	0.00160459172599796	0.53987048931158
Fusobacteriales	0.244143879103974	0.00150615160146419	0.53987048931158
Gemmatales	0.340944119924711	0.00135624123889475	0.53987048931158
Gemmatimonadales	0.220422583458235	0.0018588601164932	0.53987048931158
Geodermatophilales	0.471187798487202	0.00113963067554179	0.59901002041724
Gloeobacterales	0.231852852440271	0.00194515715952511	0.53987048931158
Gloeoemargaritales	0.212972203836213	0.00173967025615526	0.53987048931158
Glomerellales	0.137383499494132	0.00182513175833317	0.53987048931158
Glycomycetales	0.236619125081683	0.0020780640140714	0.53987048931158
Halanaerobiales	0.629624838713212	0.000537480841696463	0.704576261181821
Halobacteriales	0.239177146227013	0.00169925457307321	0.53987048931158
Haloferacales	0.302696138924445	0.00142711071245781	0.53987048931158
Helotiales	0.108979545653842	0.00182074283454981	0.53987048931158
Holosporales	0.104586147981325	0.00279832053793493	0.53987048931158
Hydrogenophilales	0.930859875848254	0.000153872159860253	0.942692840371749
Hypocreales	0.144444028675039	0.00152629240791419	0.53987048931158
Ignavibacteriales	0.198404747973339	0.00176513405689359	0.53987048931158
Immundisolibacterales	0.136017504751381	0.00251863512333035	0.53987048931158
Isosphaerales	0.361776208531887	0.00141179041982421	0.53987048931158
Jiangellales	0.322593528318801	0.00167202815963944	0.53987048931158
Kineosporiales	0.145381831751516	0.00306011680739463	0.53987048931158
Kiritimatiellales	0.590147676151429	0.000929883965540735	0.685388775432506
Kosmotogales	0.0183660367056109	0.00263068838925659	0.53987048931158
