p-variable	slope	adjusted.p-variable
Acholeplasmatales	0.555167008065804	0.00994277656978524	0.988483910233831
Acidaminococcales	0.10983039543287	0.0808344167975072	0.988483910233831
Acidiferrobacterales	0.965040545334762	0.000604682674988326	0.989891374828361
Acidilobales	0.0396510969166524	0.0415898315452938	0.988483910233831
Acidimicrobiales	0.933423048182235	0.00144312645169377	0.989891374828361
Acidithiobacillales	0.426837407720283	0.0130566333655376	0.988483910233831
Acidobacteriales	0.557764258288641	0.00933180625387138	0.988483910233831
Acidothermales	0.905621762777186	0.00141856252301312	0.988483910233831
Actinomycetales	0.474559473799597	0.0116776584442823	0.988483910233831
Actinopolysporales	0.869921308470578	-0.00267707763629515	0.988483910233831
Aeromonadales	0.999324112781506	-1.14809357967376e-05	0.999324112781506
Alteromonadales	0.704488354460145	0.00443261396733407	0.988483910233831
Anaerolineales	0.959562837005083	0.00067437160294086	0.989891374828361
Aquificales	0.682640652541632	0.00588965622711847	0.988483910233831
Archaeoglobales	0.506813677553788	0.00889278944692467	0.988483910233831
Ardenticatenales	0.704833789442372	0.00639304812725858	0.988483910233831
Bacillales	0.569097390169468	0.00636804506270895	0.988483910233831
Bacteriovoracales	0.716233410145142	0.00511471744649129	0.988483910233831
Bacteroidales	0.394623046119771	0.0251679398270535	0.988483910233831
Bacteroidetes Order II. Incertae sedis	0.536155285760074	0.00963193016491097	0.988483910233831
Bdellovibrionales	0.375559349262615	0.010318717793154	0.988483910233831
Bifidobacteriales	0.401826319374118	-0.029061756211765	0.988483910233831
Brachyspirales	0.632304205562557	0.00783826020801256	0.988483910233831
Bradymonadales	0.620857193529621	-0.0075816615081437	0.988483910233831
Bryobacterales	0.442357556308486	0.0134889232964813	0.988483910233831
Bunyavirales	0.822730813289932	-0.00439997362231267	0.988483910233831
Burkholderiales	0.527495347791989	0.0091836349432729	0.988483910233831
Caldilineales	0.913996116655917	0.00167221247493406	0.988483910233831
Calditrichales	0.956179564800191	0.000798171075795257	0.989891374828361
Campylobacterales	0.373626974871613	0.0147615384162534	0.988483910233831
Candidatus Brocadiales	0.926058765909126	-0.00152021351336792	0.988483910233831
Candidatus Nanopelagicales	0.327474491909071	0.0126978658138508	0.988483910233831
Cardiobacteriales	0.424362158055543	0.0123605328754005	0.988483910233831
Catenulisporales	0.82678703720991	0.00362450032332434	0.988483910233831
Caulobacterales	0.626672104608902	0.00772897245676258	0.988483910233831
Cellvibrionales	0.767421564100036	0.00406251360307627	0.988483910233831
Chitinophagales	0.636202283760123	0.00560341718989338	0.988483910233831
Chlamydiales	0.497514211285162	-0.00759348906578705	0.988483910233831
Chlorobiales	0.653853007477398	0.00580352643610529	0.988483910233831
Chloroflexales	0.658334614238436	0.00671871559791909	0.988483910233831
Chromatiales	0.491158385534825	0.0100604542635884	0.988483910233831
Chroococcales	0.473036552644702	0.00787251453069992	0.988483910233831
Chroococcidiopsidales	0.896265285562794	-0.00258069780551326	0.988483910233831
Chrysiogenales	0.861490761258537	0.00279202390518735	0.988483910233831
Chthonomonadales	0.998550496085167	-3.29171858067848e-05	0.999324112781506
Clostridiales	0.624099429631664	0.00372092183047742	0.988483910233831
Coprothermobacterales	0.281559082328584	0.0232923290647073	0.988483910233831
Coriobacteriales	0.742917392557577	0.0120906751749904	0.988483910233831
Corynebacteriales	0.7975618644373	0.00388219179280554	0.988483910233831
Cytophagales	0.502128723537958	0.00839342236243138	0.988483910233831
Deferribacterales	0.627129412379609	0.00617099688046737	0.988483910233831
Dehalococcoidales	0.438888551777805	-0.0144056126811977	0.988483910233831
Deinococcales	0.753165176916701	0.00524946010290176	0.988483910233831
Desulfarculales	0.648304228630623	0.00864182117643618	0.988483910233831
Desulfobacterales	0.736629454460134	0.00464590916343611	0.988483910233831
Desulfovibrionales	0.909282192082084	-0.00352349406045852	0.988483910233831
Desulfurellales	0.124816588377132	0.0206244864312365	0.988483910233831
Desulfurobacteriales	0.616402233762896	0.0075304781734338	0.988483910233831
Desulfurococcales	0.588889758268227	-0.00736270611080839	0.988483910233831
Desulfuromonadales	0.712214497968918	0.00546658173858321	0.988483910233831
Dictyoglomales	0.271105882665303	0.0151825152484234	0.988483910233831
Eggerthellales	0.368091766536446	-0.0261135464717783	0.988483910233831
Egibacterales	0.551274629135405	0.00998076739925402	0.988483910233831
Egicoccales	0.941270685713756	0.00134263985947379	0.989891374828361
Elusimicrobiales	0.728166212926047	-0.00540646107391668	0.988483910233831
Emcibacterales	0.490951490816347	0.0109490353780883	0.988483910233831
Endomicrobiales	0.878211432720646	0.00243611767404203	0.988483910233831
Enterobacterales	0.835632748578909	-0.00478503507376369	0.988483910233831
