p-variable	slope	adjusted.p-variable
Acholeplasmatales	0.816707056415276	1.31430092614118e-05	0.999142821407917
Acidaminococcales	0.303246149884361	0.000177037765971045	0.999142821407917
Acidiferrobacterales	0.92860020870417	4.14856498822304e-06	0.999142821407917
Acidilobales	0.0779262342942742	0.000120799524698933	0.999142821407917
Acidimicrobiales	0.926025138948167	-5.38266409613432e-06	0.999142821407917
Acidithiobacillales	0.546622978606807	3.33231687126844e-05	0.999142821407917
Acidobacteriales	0.713427374099588	1.96589812388786e-05	0.999142821407917
Acidothermales	0.940388558786153	-3.00295122475949e-06	0.999142821407917
Actinomycetales	0.64598894040629	2.52431576713893e-05	0.999142821407917
Actinopolysporales	0.949328564628192	3.4872514641513e-06	0.999142821407917
Aeromonadales	0.990467024769385	5.43452591733454e-07	0.999142821407917
Alteromonadales	0.999142821407917	4.2192375835986e-08	0.999142821407917
Anaerolineales	0.920078705964897	-4.47830835455348e-06	0.999142821407917
Aquificales	0.888619132064567	-6.77962278829843e-06	0.999142821407917
Archaeoglobales	0.41232854572382	3.67800743651675e-05	0.999142821407917
Ardenticatenales	0.630931346580874	2.71886057815767e-05	0.999142821407917
Bacillales	0.834213445495764	7.87595272120836e-06	0.999142821407917
Bacteriovoracales	0.881944303601292	-7.01968022390446e-06	0.999142821407917
Bacteroidales	0.78264089257049	2.75349647462896e-05	0.999142821407917
Bacteroidetes Order II. Incertae sedis	0.773963881202395	1.50473429505479e-05	0.999142821407917
Bdellovibrionales	0.675402522435464	1.64557096099103e-05	0.999142821407917
Bifidobacteriales	0.24848265944647	-0.00013349248428873	0.999142821407917
Brachyspirales	0.918654691491221	-5.62577247341403e-06	0.999142821407917
Bradymonadales	0.498385278451048	-3.47587755096697e-05	0.999142821407917
Bryobacterales	0.50452849973668	3.93784487300805e-05	0.999142821407917
Bunyavirales	0.513120137580405	-4.29569186982151e-05	0.999142821407917
Burkholderiales	0.640465495067057	2.28196628657815e-05	0.999142821407917
Caldilineales	0.939030859575242	3.97472064908132e-06	0.999142821407917
Calditrichales	0.739683452468192	-1.61819454796958e-05	0.999142821407917
Campylobacterales	0.76776474426025	1.65482920691489e-05	0.999142821407917
Candidatus Brocadiales	0.490374614948209	-3.77552330410619e-05	0.999142821407917
Candidatus Nanopelagicales	0.757336780802005	1.35522531742427e-05	0.999142821407917
Cardiobacteriales	0.691634516867867	2.06857676717036e-05	0.999142821407917
Catenulisporales	0.881767219495108	8.26936051419541e-06	0.999142821407917
Caulobacterales	0.654174762000254	2.38960018886133e-05	0.999142821407917
Cellvibrionales	0.990338955225864	5.58639784391637e-07	0.999142821407917
Chitinophagales	0.960013724813949	1.99722208480237e-06	0.999142821407917
Chlamydiales	0.314589514138493	-3.75873609132113e-05	0.999142821407917
Chlorobiales	0.989930546348574	-5.49166086265793e-07	0.999142821407917
Chloroflexales	0.82756671713945	1.11215429293152e-05	0.999142821407917
Chromatiales	0.604082463305449	2.54768630176156e-05	0.999142821407917
Chroococcales	0.682665585750006	1.5100748095705e-05	0.999142821407917
Chroococcidiopsidales	0.775896366932121	-1.88987864580916e-05	0.999142821407917
Chrysiogenales	0.745408739556746	1.74255423960631e-05	0.999142821407917
Chthonomonadales	0.827999938438257	-1.32060006962622e-05	0.999142821407917
Clostridiales	0.536941689888687	1.57134649159511e-05	0.999142821407917
Coprothermobacterales	0.200644466784732	9.2496669906028e-05	0.999142821407917
Coriobacteriales	0.846687628630925	2.39343286170952e-05	0.999142821407917
Corynebacteriales	0.884754843419442	7.36515837912509e-06	0.999142821407917
Cytophagales	0.787431165739216	1.13562222689816e-05	0.999142821407917
Deferribacterales	0.964006046796186	-1.92799747492196e-06	0.999142821407917
Dehalococcoidales	0.320600540948582	-6.18148075225792e-05	0.999142821407917
Deinococcales	0.840486040700369	1.12816291889161e-05	0.999142821407917
Desulfarculales	0.83731543818143	1.30753387575073e-05	0.999142821407917
Desulfobacterales	0.733223954182055	1.58007184209979e-05	0.999142821407917
Desulfovibrionales	0.98751206419477	1.62450593328977e-06	0.999142821407917
Desulfurellales	0.482379849127663	3.22163324820722e-05	0.999142821407917
Desulfurobacteriales	0.913776230832985	5.47425363514422e-06	0.999142821407917
Desulfurococcales	0.481661065638694	-3.21107529634134e-05	0.999142821407917
Desulfuromonadales	0.752433352717318	1.56927116035135e-05	0.999142821407917
Dictyoglomales	0.491231409534279	3.20834441014095e-05	0.999142821407917
Eggerthellales	0.272867298965511	-0.000106384117646111	0.999142821407917
Egibacterales	0.540057633055791	3.44375433595435e-05	0.999142821407917
Egicoccales	0.837524695505987	-1.25374679095969e-05	0.999142821407917
Elusimicrobiales	0.462710272068595	-3.8191797848258e-05	0.999142821407917
Emcibacterales	0.542221262416613	3.25428564643969e-05	0.999142821407917
Endomicrobiales	0.809995984080462	-1.28236071658459e-05	0.999142821407917
Enterobacterales	0.670590430162855	3.28784823318988e-05	0.999142821407917
Entomoplasmatales	0.911726047356207	-6.63312773261837e-06	0.999142821407917
Erysipelotrichales	0.421029126486654	4.66315238833992e-05	0.999142821407917
Eurotiales	0.487082514014513	2.96786552903472e-05	0.999142821407917
Euzebyales	0.81994556403843	1.52673510966507e-05	0.999142821407917
Fibrobacterales	0.541499718386319	3.86084072138199e-05	0.999142821407917
Fimbriimonadales	0.51615247380134	-2.84688530002585e-05	0.999142821407917
Flavobacteriales	0.67571223645331	1.56745804400612e-05	0.999142821407917
Frankiales	0.847828159162592	1.04166979143755e-05	0.999142821407917
Fusobacteriales	0.755843075666496	1.45749729500294e-05	0.999142821407917
Gemmatales	0.85046811993415	9.69760166729469e-06	0.999142821407917
Gemmatimonadales	0.771982731459003	1.59560856163349e-05	0.999142821407917
Geodermatophilales	0.944185576863587	-3.98654898819846e-06	0.999142821407917
Gloeobacterales	0.638543492248026	2.76876813120891e-05	0.999142821407917
Gloeoemargaritales	0.668976332068684	2.16684083573399e-05	0.999142821407917
Glomerellales	0.628716411022287	2.16707480038518e-05	0.999142821407917
Glycomycetales	0.91467537798388	6.82717115290532e-06	0.999142821407917
Halanaerobiales	0.626725284242118	-1.94228695436028e-05	0.999142821407917
Halobacteriales	0.736566390785142	1.76052359785136e-05	0.999142821407917
Haloferacales	0.805110741732741	1.23545837250853e-05	0.999142821407917
Helotiales	0.86526331701699	7.06764759860831e-06	0.999142821407917
Holosporales	0.405966884133012	5.22517338121965e-05	0.999142821407917
Hydrogenophilales	0.773620743730441	-1.82676105178005e-05	0.999142821407917
Hypocreales	0.572422516232665	2.15042939861413e-05	0.999142821407917
Ignavibacteriales	0.617529322225515	2.48736833011519e-05	0.999142821407917
Immundisolibacterales	0.521712535691582	3.94300780587777e-05	0.999142821407917
Isosphaerales	0.961671782975969	2.6859945518805e-06	0.999142821407917
Jiangellales	0.859391544978439	1.08233737039747e-05	0.999142821407917
Kineosporiales	0.279507242010823	8.214658458016e-05	0.999142821407917
Kiritimatiellales	0.843446328419736	-1.22455548389117e-05	0.999142821407917
Kosmotogales	0.168437063302676	5.68832921005557e-05	0.999142821407917
Ktedonobacterales	0.494632574915266	3.88404882605253e-05	0.999142821407917
Lactobacillales	0.455310233617078	4.28361498613123e-05	0.999142821407917
Legionellales	0.537797794988671	2.2805538258049e-05	0.999142821407917
Leptospirales	0.90256681008908	4.79275377091162e-06	0.999142821407917
Limnochordales	0.910377824475094	6.81868967676079e-06	0.999142821407917
Magnaporthales	0.98361155029538	8.83591096163209e-07	0.999142821407917
Magnetococcales	0.219842868123655	7.54680516430035e-05	0.999142821407917
Malasseziales	0.483661177526352	4.64397308486303e-05	0.999142821407917
Marinilabiliales	0.541967047351617	2.67242369956069e-05	0.999142821407917
Mariprofundales	0.952767187319143	-3.37055752892419e-06	0.999142821407917
Mesoaciditogales	0.412368133604267	5.23742439524858e-05	0.999142821407917
Methanobacteriales	0.533151567930561	-9.05951089979994e-05	0.999142821407917
Methanocellales	0.870300349724367	-8.64751556344499e-06	0.999142821407917
Methanococcales	0.32066540495815	4.40735267388313e-05	0.999142821407917
Methanomassiliicoccales	0.699680919182107	1.88457319590472e-05	0.999142821407917
Methanomicrobiales	0.940986499736021	-3.33506627825485e-06	0.999142821407917
Methanopyrales	0.527565451955528	-3.90308724239656e-05	0.999142821407917
Methanosarcinales	0.851260724551703	7.51840684067553e-06	0.999142821407917
Methylacidiphilales	0.818711097137949	-1.26617642385859e-05	0.999142821407917
Methylococcales	0.844514877623205	8.68775347633363e-06	0.999142821407917
Micrococcales	0.696868723065226	1.84004907870344e-05	0.999142821407917
Micromonosporales	0.891724881500396	7.68186198997534e-06	0.999142821407917
Mycoplasmatales	0.742314977039216	1.52963718367348e-05	0.999142821407917
Mycosphaerellales	0.85983775113402	7.57673113977573e-06	0.999142821407917
Myxococcales	0.890055730847079	7.66792848933827e-06	0.999142821407917
Nakamurellales	0.926613929918127	-4.92615071871365e-06	0.999142821407917
Natranaerobiales	0.634480435673727	-2.67010065437281e-05	0.999142821407917
Natrialbales	0.757899140377785	-1.40670680716804e-05	0.999142821407917
Nautiliales	0.507038464723949	3.22894349724029e-05	0.999142821407917
Neisseriales	0.573621401141848	2.73282372034047e-05	0.999142821407917
Nevskiales	0.740578957534861	-1.65527728196901e-05	0.999142821407917
Nitrosomonadales	0.910686763112626	5.04330424487656e-06	0.999142821407917
Nitrosopumilales	0.244039007683701	5.22867318831246e-05	0.999142821407917
Nitrososphaerales	0.701321028833616	-2.28404884236422e-05	0.999142821407917
Nitrospirales	0.781636053772713	-1.09456500254949e-05	0.999142821407917
Nostocales	0.464999514897542	2.67991070003502e-05	0.999142821407917
Oceanospirillales	0.786362513903002	1.25000088110046e-05	0.999142821407917
Opitutales	0.331759141822418	4.89494601999409e-05	0.999142821407917
Orbales	0.623837544987617	2.71174869992479e-05	0.999142821407917
Oscillatoriales	0.912232993351258	4.16494202421586e-06	0.999142821407917
Parachlamydiales	0.887661082690126	5.92633358914559e-06	0.999142821407917
Parvularculales	0.896198416834405	-8.19828906382749e-06	0.999142821407917
Pasteurellales	0.0377426643897238	7.78630593495591e-05	0.999142821407917
Pelagibacterales	0.460255868878893	4.38330113352412e-05	0.999142821407917
Petrotogales	0.546446104422948	3.335559782454e-05	0.999142821407917
Phycisphaerales	0.768284577722338	-2.2402104418896e-05	0.999142821407917
Pirellulales	0.854535259510484	-8.17089892758032e-06	0.999142821407917
Planctomycetales	0.793570672546328	1.14741936124492e-05	0.999142821407917
Pleurocapsales	0.413723855666224	3.65333225554591e-05	0.999142821407917
Propionibacteriales	0.928290600637555	4.84469268343503e-06	0.999142821407917
Pseudomonadales	0.993578115734019	3.70651282644625e-07	0.999142821407917
Pseudonocardiales	0.902691543602671	6.79180683085245e-06	0.999142821407917
Puniceicoccales	0.901170464877644	-7.76781090815265e-06	0.999142821407917
Rhizobiales	0.820622579986175	1.0866189955115e-05	0.999142821407917
Rhodobacterales	0.673451530040184	2.126831238016e-05	0.999142821407917
Rhodocyclales	0.743147102666135	1.64523173075759e-05	0.999142821407917
Rhodospirillales	0.694069538544663	1.95867141998772e-05	0.999142821407917
Rickettsiales	0.740233087831435	1.62869361579987e-05	0.999142821407917
Rubrobacterales	0.80266483131512	-1.49084209005932e-05	0.999142821407917
Saccharomycetales	0.524834368302844	2.77516380703901e-05	0.999142821407917
Salinisphaerales	0.301946093805665	7.02171313770521e-05	0.999142821407917
Saprospirales	0.438445218607452	3.55325171430175e-05	0.999142821407917
Schizosaccharomycetales	0.763474547565436	1.61394637495331e-05	0.999142821407917
Sedimentisphaerales	0.988446750005392	-5.8230846408037e-07	0.999142821407917
Selenomonadales	0.863094004914611	-1.43842564156382e-05	0.999142821407917
Silvanigrellales	0.953159566419434	2.7464881211853e-06	0.999142821407917
Solirubrobacterales	0.913662437734599	-6.5938267376808e-06	0.999142821407917
Sordariales	0.933173701584962	3.71444832953059e-06	0.999142821407917
Sphaerobacterales	0.974387180715467	-1.93950535470281e-06	0.999142821407917
Sphingobacteriales	0.480581279222262	2.54499244653702e-05	0.999142821407917
Sphingomonadales	0.717807348897234	1.84548977854196e-05	0.999142821407917
Spirochaetales	0.902142047148628	4.84321315306407e-06	0.999142821407917
Sporichthyales	0.963947030282005	-2.65873236868064e-06	0.999142821407917
Streptomycetales	0.881811836986947	8.11391158401292e-06	0.999142821407917
Streptosporangiales	0.761255059664342	1.69774398284739e-05	0.999142821407917
Sulfolobales	0.814654240599435	9.71285461314554e-06	0.999142821407917
Synechococcales	0.95726708623883	2.56428698179465e-06	0.999142821407917
Synergistales	0.954839202878161	4.27023494644349e-06	0.999142821407917
Syntrophobacterales	0.830928445620588	1.05810407970896e-05	0.999142821407917
Tepidiformales	0.376961229326302	5.74394921068059e-05	0.999142821407917
Thermales	0.952777427898525	2.93042842800183e-06	0.999142821407917
Thermoanaerobacterales	0.903457046958549	-5.08607273908918e-06	0.999142821407917
Thermococcales	0.906527496755641	-4.99380909463897e-06	0.999142821407917
Thermodesulfobacteriales	0.787479013766553	-1.12133834109028e-05	0.999142821407917
Thermomicrobiales	0.641661221651196	-2.9408716123269e-05	0.999142821407917
Thermoplasmatales	0.64479555957637	2.59013388565168e-05	0.999142821407917
