p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.330259072145906	0.453424782949077	0.404417357014636	-4383.80456622073	0.988358443202321	0.974542087262846	0.990184814508726
UNINTEGRATED	0.328038234050313	0.474181699618027	0.410179508685399	4236.70747874407	0.988358443202321	0.974542087262846	0.990184814508726
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.706176596599619	0.551533408960709	0.61121191557391	2.07036938220152	0.988358443202321	0.974542087262846	0.990184814508726
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.356161927603892	0.461276526441721	0.720934301986124	0.194519939490762	0.988358443202321	0.974542087262846	0.990184814508726
ANAEROFRUCAT-PWY: homolactic fermentation	0.918484790851808	0.513096056555192	0.418328228685952	0.396136755704658	0.988358443202321	0.974542087262846	0.990184814508726
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.949600526438841	0.588495182643656	0.45472080640068	-0.385726777211789	0.988358443202321	0.974542087262846	0.990184814508726
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.645367999449046	0.621044520843022	0.634719185336342	-0.763771483677225	0.988358443202321	0.974542087262846	0.990184814508726
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.863076262825544	0.770052758089739	0.889313156451475	0.678170971727644	0.988358443202321	0.983812125903297	0.990184814508726
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.446122753821726	0.603245024961808	0.666511518317761	6.2816545835363	0.988358443202321	0.974542087262846	0.990184814508726
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.430740661283206	0.699013031711066	0.799665338233358	5.58819841403422	0.988358443202321	0.974542087262846	0.990184814508726
ARO-PWY: chorismate biosynthesis I	0.789128948821934	0.421355544344741	0.698299993189741	1.96201940760498	0.988358443202321	0.974542087262846	0.990184814508726
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.653327285371975	0.728143704154262	0.939287422068142	-2.07787343087909	0.988358443202321	0.974542087262846	0.990184814508726
AST-PWY: L-arginine degradation II (AST pathway)	0.922740464202184	0.504524878953154	0.37950258656338	-0.0288969129849823	0.988358443202321	0.974542087262846	0.990184814508726
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.818804631558685	0.240180669253743	0.300254002046495	0.238201289919029	0.988358443202321	0.974542087262846	0.990184814508726
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.839299731543695	0.714024304712081	0.999295859579502	1.60854095227401	0.988358443202321	0.974542087262846	0.999765556896895
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.173796096133372	0.829494093432279	0.505329135310921	-8.1207178000849	0.988358443202321	0.983812125903297	0.990184814508726
CENTFERM-PWY: pyruvate fermentation to butanoate	0.422430105076382	0.560812190263651	0.797083948104178	0.229952734714785	0.988358443202321	0.974542087262846	0.990184814508726
CITRULBIO-PWY: L-citrulline biosynthesis	0.103081683562283	0.355256691641955	0.221981842706493	4.15895868380171	0.988358443202321	0.974542087262846	0.990184814508726
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.327535910667547	0.56642213843731	0.700626302206492	6.63115919560055	0.988358443202321	0.974542087262846	0.990184814508726
COA-PWY: coenzyme A biosynthesis I	0.187510074144198	0.991775794757866	0.729468390696954	-6.31489469337097	0.988358443202321	0.997897867565014	0.990184814508726
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.215507559387513	0.404597896615358	0.721401264648264	-7.37629764793324	0.988358443202321	0.974542087262846	0.990184814508726
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.500602226158098	0.948666221001915	0.855619209230475	0.940857187310248	0.988358443202321	0.993072405296949	0.990184814508726
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.843983507533239	0.473952603484766	0.745682666790799	1.38850723997242	0.988358443202321	0.974542087262846	0.990184814508726
CRNFORCAT-PWY: creatinine degradation I	0.519964763830092	0.072248942231303	0.0736899365806089	0.312230791760921	0.988358443202321	0.974542087262846	0.990184814508726
