p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.090963322930235	0.309394848057722	0.262138521261855	-13285.7138860257	0.851531874537	0.994038988152983	0.988946038318541
UNINTEGRATED	0.0878960628614954	0.326606467940699	0.272354264730614	12933.6628824325	0.851531874537	0.994038988152983	0.988946038318541
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.580760607128928	0.770184308340968	0.693367207511258	5.41135918456237	0.887979071691198	0.994038988152983	0.988946038318541
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.999570173177227	0.950683738232788	0.9182395604928	-0.000160331877840467	0.999570173177227	0.994038988152983	0.988946038318541
ANAEROFRUCAT-PWY: homolactic fermentation	0.204038804733189	0.723713468692085	0.725137002904713	-8.44226017066671	0.851531874537	0.994038988152983	0.988946038318541
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.999495799397396	0.658567843940901	0.686217585611537	-0.00667350273739735	0.999570173177227	0.994038988152983	0.988946038318541
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.742056951345599	0.574857098069757	0.621686681803932	-0.910330593377339	0.92139717805973	0.994038988152983	0.988946038318541
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.501515705248785	0.870768263083983	0.832814461512744	-4.74709216505402	0.851531874537	0.994038988152983	0.988946038318541
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.865895189042252	0.723442852919625	0.725821852912604	2.21204781706964	0.958609359115581	0.994038988152983	0.988946038318541
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.747138264526187	0.713746424472457	0.743620952491503	3.54850872182434	0.92139717805973	0.994038988152983	0.988946038318541
ARO-PWY: chorismate biosynthesis I	0.199767566332068	0.930324690720413	0.813147969713244	16.7599253408736	0.851531874537	0.994038988152983	0.988946038318541
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.325865548359952	0.633422426125217	0.747782477113536	-8.12796455603908	0.851531874537	0.994038988152983	0.988946038318541
AST-PWY: L-arginine degradation II (AST pathway)	0.155869658522409	0.117195506815763	0.110392925570256	-0.567823102792697	0.851531874537	0.994038988152983	0.988946038318541
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.894463653190956	0.917359113437569	0.99381186060357	0.214540567216481	0.965205559888126	0.994038988152983	0.99823089885888
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.620032328305091	0.797998315357143	0.703352055503037	6.9995019166189	0.887979071691198	0.994038988152983	0.988946038318541
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.315958630104738	0.74221234433507	0.57443981321481	-10.4863563930657	0.851531874537	0.994038988152983	0.988946038318541
CENTFERM-PWY: pyruvate fermentation to butanoate	0.756411536363382	0.711974482958142	0.62997536572233	-0.124268348420387	0.92139717805973	0.994038988152983	0.988946038318541
CITRULBIO-PWY: L-citrulline biosynthesis	0.296492544834415	0.619217589320811	0.528424109899193	4.89348187948291	0.851531874537	0.994038988152983	0.988946038318541
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0875692955521596	0.849041003986181	0.852564262105732	20.9500027474064	0.851531874537	0.994038988152983	0.988946038318541
COA-PWY: coenzyme A biosynthesis I	0.372036470668866	0.220423190985079	0.285421960052848	-7.72594277348193	0.851531874537	0.994038988152983	0.988946038318541
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.267566996539236	0.477118219565079	0.628450133309286	-12.2616174987032	0.851531874537	0.994038988152983	0.988946038318541
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.588494818010836	0.734518665445731	0.750204823969689	-1.12636509795586	0.887979071691198	0.994038988152983	0.988946038318541
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.19880315998773	0.742023284524531	0.651925044418119	16.4082400967738	0.851531874537	0.994038988152983	0.988946038318541
CRNFORCAT-PWY: creatinine degradation I	0.620493447926356	0.322792119551892	0.374266103565313	-0.438054421121376	0.887979071691198	0.994038988152983	0.988946038318541
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.880663107158554	0.754557494800207	0.769047727174447	0.831207617244924	0.958902233318579	0.994038988152983	0.988946038318541
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.334699856112862	0.811444476828198	0.893693465038987	-3.55633567083867	0.851531874537	0.994038988152983	0.988946038318541
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.271294057368427	0.0661413032552489	0.111297444721969	-12.6261285449299	0.851531874537	0.994038988152983	0.988946038318541
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.469891023278247	0.336008402898802	0.292383204307923	-0.384949895715785	0.851531874537	0.994038988152983	0.988946038318541
ENTBACSYN-PWY: enterobactin biosynthesis	0.710476342357402	0.838639056545402	0.78074728325223	-0.605411859678407	0.92139717805973	0.994038988152983	0.988946038318541
FAO-PWY: fatty acid &beta;-oxidation I	0.408430476625587	0.847687392129487	0.813596067144671	-0.722108505041138	0.851531874537	0.994038988152983	0.988946038318541
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.653778218384505	0.612209638624206	0.64439239914588	-1.01805317725109	0.897724865683782	0.994038988152983	0.988946038318541
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.764712602246626	0.37946951983047	0.378876116580538	-0.51836244418888	0.92139717805973	0.994038988152983	0.988946038318541
FERMENTATION-PWY: mixed acid fermentation	0.768441211299898	0.59231172201213	0.547286217916097	-0.504817705545287	0.92139717805973	0.994038988152983	0.988946038318541
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.794016608429847	0.382019677107423	0.383565640436648	0.423131142516338	0.926430385664049	0.994038988152983	0.988946038318541
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.371346400090185	0.808721383359957	0.782393355513391	-1.40625757180215	0.851531874537	0.994038988152983	0.988946038318541
FUCCAT-PWY: fucose degradation	0.508067170403522	0.778346655558958	0.77524319543536	-1.41227905932198	0.853762358513134	0.994038988152983	0.988946038318541
