p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.832819592159492	0.75826198297935	0.76607561479851	1268.64006275639	0.992613334746723	0.997385159753729	0.998378072925811
UNINTEGRATED	0.805734989451008	0.781055674125711	0.781847008525389	-1408.81017195599	0.989411275868814	0.997385159753729	0.998378072925811
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.642661763797097	0.944575235642571	0.967614361368033	3.39395766906445	0.989411275868814	0.997385159753729	0.998378072925811
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.626593939927883	0.108954683391423	0.148805735512887	0.18614352161345	0.989411275868814	0.997385159753729	0.998378072925811
ANAEROFRUCAT-PWY: homolactic fermentation	0.277142313047498	0.0999490739441538	0.0784706658051039	6.02649603847657	0.989411275868814	0.997385159753729	0.998378072925811
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.800074988244446	0.216110904571706	0.293890167009252	2.11867136818985	0.989411275868814	0.997385159753729	0.998378072925811
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.185277244001341	0.804530965509392	0.809349572248933	-3.29979272142264	0.989411275868814	0.997385159753729	0.998378072925811
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.106046114200676	0.843224380105111	0.939052684507753	8.33830245960555	0.989411275868814	0.997385159753729	0.998378072925811
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.865454625869499	0.320718839828641	0.341891012865504	2.22479575852917	0.992613334746723	0.997385159753729	0.998378072925811
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.758694226694002	0.478682083908959	0.515895553659267	3.5866311651363	0.989411275868814	0.997385159753729	0.998378072925811
ARO-PWY: chorismate biosynthesis I	0.481004931093606	0.992753495738934	0.833309841110206	-6.79595576182698	0.989411275868814	0.997385159753729	0.998378072925811
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.808809841969686	0.161567728095911	0.202642443538165	1.47001313886754	0.989411275868814	0.997385159753729	0.998378072925811
AST-PWY: L-arginine degradation II (AST pathway)	0.240893766793948	0.779131308318909	0.66265181035429	0.432808468400134	0.989411275868814	0.997385159753729	0.998378072925811
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.514775673333462	0.636344389017889	0.631093370821244	0.889554876428234	0.989411275868814	0.997385159753729	0.998378072925811
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.984158510007401	0.206720904464283	0.293682227646285	0.208835505570611	0.992613334746723	0.997385159753729	0.998378072925811
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.251263332720692	0.556957232417484	0.43739531264198	-9.58044483763659	0.989411275868814	0.997385159753729	0.998378072925811
CENTFERM-PWY: pyruvate fermentation to butanoate	0.939244086675233	0.74593262316097	0.828156911608611	0.0398697344208537	0.992613334746723	0.997385159753729	0.998378072925811
CITRULBIO-PWY: L-citrulline biosynthesis	0.0517731832851408	0.956504373912976	0.766390982197923	6.11514631686562	0.989411275868814	0.997385159753729	0.998378072925811
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.627657138502246	0.696087076121673	0.788653704885678	4.21610809531722	0.989411275868814	0.997385159753729	0.998378072925811
COA-PWY: coenzyme A biosynthesis I	0.178362519136417	0.612546371382531	0.475977361346411	-8.14038033008197	0.989411275868814	0.997385159753729	0.998378072925811
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.502017113391717	0.138269505793973	0.209904341705541	-4.69427735220519	0.989411275868814	0.997385159753729	0.998378072925811
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.500979732524598	0.951861131654254	0.985303065157943	1.64517907678653	0.989411275868814	0.997385159753729	0.998378072925811
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.551674073689275	0.905247526650916	0.9394959155369	-5.23730752142152	0.989411275868814	0.997385159753729	0.998378072925811
CRNFORCAT-PWY: creatinine degradation I	0.285285769562841	0.152529507183802	0.123641280039219	0.649082587708187	0.989411275868814	0.997385159753729	0.998378072925811
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.980624001916363	0.528236115760779	0.591268994157379	0.122197764641908	0.992613334746723	0.997385159753729	0.998378072925811
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.816416052787457	0.118632274554222	0.112784498326484	-0.620548577148326	0.989411275868814	0.997385159753729	0.998378072925811
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.369966987009288	0.774535566582513	0.610761869939486	-9.14015864144882	0.989411275868814	0.997385159753729	0.998378072925811
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.231858816972966	0.736211086626145	0.62020340700965	0.728356778279744	0.989411275868814	0.997385159753729	0.998378072925811
ENTBACSYN-PWY: enterobactin biosynthesis	0.215263586017626	0.74411229660448	0.61915001744459	2.18577093020584	0.989411275868814	0.997385159753729	0.998378072925811
FAO-PWY: fatty acid &beta;-oxidation I	0.0344884030166015	0.509039820239334	0.521042440648156	-1.58430743516485	0.989411275868814	0.997385159753729	0.998378072925811
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.671879118450714	0.449633033786666	0.496886692089197	0.851622563930328	0.989411275868814	0.997385159753729	0.998378072925811
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.610661409844506	0.265459732465208	0.289660398888001	1.25062482780145	0.989411275868814	0.997385159753729	0.998378072925811
FERMENTATION-PWY: mixed acid fermentation	0.106420476451086	0.48192625359944	0.486685508427445	-2.38236130482079	0.989411275868814	0.997385159753729	0.998378072925811
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.226226271469138	0.262123095034642	0.225907856702875	-1.85806509860439	0.989411275868814	0.997385159753729	0.998378072925811
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.538056202551301	0.547933136001931	0.647507509876646	-0.501235631993399	0.989411275868814	0.997385159753729	0.998378072925811
FUCCAT-PWY: fucose degradation	0.192432527074393	0.266181328274485	0.291627809664431	-1.72305572051187	0.989411275868814	0.997385159753729	0.998378072925811
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.786828540255855	0.353765720891106	0.428721507239257	1.55052138355947	0.989411275868814	0.997385159753729	0.998378072925811
GALACTARDEG-PWY: D-galactarate degradation I	0.912919476301635	0.954905203982114	0.953010166232664	0.0641207684394548	0.992613334746723	0.997385159753729	0.998378072925811
GALACTUROCAT-PWY: D-galacturonate degradation I	0.998338078712497	0.177867146249301	0.236408620283814	-0.0133741254491071	0.998338078712497	0.997385159753729	0.998378072925811
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.572438034146923	0.434407747383677	0.537566409336067	-4.01431833970684	0.989411275868814	0.997385159753729	0.998378072925811
GLUCARDEG-PWY: D-glucarate degradation I	0.770875714583082	0.974974530095154	0.877269125778428	0.221519069003364	0.989411275868814	0.997385159753729	0.998378072925811
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.912919476301635	0.954905203982114	0.953010166232664	0.0641207684394548	0.992613334746723	0.997385159753729	0.998378072925811
