p-variable	slope	adjusted.p-variable
UNMAPPED	0.591924515067867	-228331.033536981	0.794920472130995
UNINTEGRATED	0.62879884669661	198039.065350483	0.81995369609238
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0905039348661579	-788.766458615014	0.337119449827483
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.691412021034129	6.97115002386589	0.86926865955355
ANAEROFRUCAT-PWY: homolactic fermentation	0.385151052311015	-357.417639018236	0.682387190507559
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0459295262854098	-998.632141242224	0.331810756865165
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.149010770675293	332.787151301498	0.4261185196504
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.0910015692785844	-686.833401369452	0.337119449827483
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.788116382906719	-231.631805593698	0.909243010244433
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.809769516307641	187.669635187092	0.915020704079726
ARO-PWY: chorismate biosynthesis I	0.266448930405754	709.302018004751	0.574054910247149
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.691390584999039	-173.601620966747	0.86926865955355
AST-PWY: L-arginine degradation II (AST pathway)	0.0565828007670922	74.5849110286943	0.331810756865165
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.0681399002101281	177.054413548758	0.331810756865165
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.3511532559642	531.703829427701	0.654148351110453
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.240256383783222	712.303089327547	0.555486390874684
CENTFERM-PWY: pyruvate fermentation to butanoate	0.0849261808673588	-54.3967156259741	0.337119449827483
CITRULBIO-PWY: L-citrulline biosynthesis	0.708475805713839	108.767243647686	0.874860275237544
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.911654240593218	-69.8934237408256	0.973071733595802
COA-PWY: coenzyme A biosynthesis I	0.211577346487563	482.665934567925	0.523791143968555
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.253408148559505	581.61286333895	0.569649583205935
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.759238440320079	-55.6090529503425	0.906636379283318
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.42838153934118	480.061740820885	0.716166060642178
CRNFORCAT-PWY: creatinine degradation I	0.704381824414498	22.9327583882204	0.873112071327477
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.918572834289052	-39.3173345189574	0.973071733595802
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0975923401113422	-275.260740085083	0.337548749022966
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.159683040354761	1050.31096459226	0.444928813296171
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.0643217415591333	120.820784216397	0.331810756865165
ENTBACSYN-PWY: enterobactin biosynthesis	0.0690576613223596	333.185633300099	0.331810756865165
FAO-PWY: fatty acid &beta;-oxidation I	0.223444409418935	90.7241926678919	0.539576870152391
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.324913198933139	122.549063316699	0.630486326501209
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.0975306185134062	262.654905024719	0.337548749022966
FERMENTATION-PWY: mixed acid fermentation	0.126479718767032	175.663581037815	0.3817813733153
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.0926501052346083	201.376217663987	0.337548749022966
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.071993655173285	148.052355038208	0.331810756865165
FUCCAT-PWY: fucose degradation	0.277557707241105	128.149971001464	0.580082763288991
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.280038120148819	346.643973888194	0.580082763288991
GALACTARDEG-PWY: D-galactarate degradation I	0.0424382592090626	127.214992202829	0.331810756865165
GALACTUROCAT-PWY: D-galacturonate degradation I	0.139540928636729	487.644433264056	0.410256037655868
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.0158219068436345	946.597123265653	0.331810756865165
GLUCARDEG-PWY: D-glucarate degradation I	0.0347497082992672	170.771105398031	0.331810756865165
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.0424382592090626	127.214992202829	0.331810756865165
GLUCONEO-PWY: gluconeogenesis I	0.819621847958184	-49.3807559830471	0.91932995738832
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0569915339714672	188.243659290024	0.331810756865165
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.212087211668249	417.790136132971	0.523791143968555
GLUDEG-I-PWY: GABA shunt	0.602318969110894	-19.1623340439176	0.801452995633271
GLUTORN-PWY: L-ornithine biosynthesis	0.515432203690358	456.170829005531	0.763621163112449
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.554754653947166	95.1126031057094	0.786304422551201
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.342020395399799	428.4666459102	0.642864559774611
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.0759896195279689	66.4608545979594	0.331810756865165
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.105613412270989	211.334672697133	0.337548749022966
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.0449498517232825	261.886203023621	0.331810756865165
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.475943895526663	-308.248527146049	0.738846237817581
GLYOXYLATE-BYPASS: glyoxylate cycle	0.0519502331517104	178.066082859319	0.331810756865165
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.11207741927748	173.282091233471	0.346997038620527
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.0427700985176052	99.3540502283927	0.331810756865165
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	0.901638415458747	8.44979723443063	0.973051085473086
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.622811848860607	57.2350043106556	0.815408284050433
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.378632861800533	139.142412672171	0.682387190507559
HISDEG-PWY: L-histidine degradation I	0.00984681469202596	-530.43418385899	0.331810756865165
HISTSYN-PWY: L-histidine biosynthesis	0.403986841991859	480.305185607817	0.694258657396475
