p-variable	slope	adjusted.p-variable
UNMAPPED	0.211750515870402	13776.8265283004	0.899361671018416
UNINTEGRATED	0.208688293975534	-13375.7542452022	0.899361671018416
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.702884201518037	-4.91510037354464	0.995485356151485
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.577815695092478	-0.320352602379413	0.995485356151485
ANAEROFRUCAT-PWY: homolactic fermentation	0.152478758121298	13.0697249434986	0.789017065834018
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.614247141243302	7.12607712923208	0.995485356151485
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.362668962328375	2.21932364769657	0.995485356151485
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.493519163966629	6.83810930319558	0.995485356151485
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.866037949193763	-2.79639694091254	0.995485356151485
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.694019399952948	-5.53523550055534	0.995485356151485
ARO-PWY: chorismate biosynthesis I	0.354453938127786	-17.2898729064094	0.995485356151485
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.33589313716515	8.23471269664971	0.995485356151485
AST-PWY: L-arginine degradation II (AST pathway)	0.639691493240718	0.214224628251248	0.995485356151485
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.727560571952321	0.607871154175577	0.995485356151485
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.426129484641028	-10.6846623289072	0.995485356151485
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.150257113990476	16.5110868988611	0.789017065834018
CENTFERM-PWY: pyruvate fermentation to butanoate	0.449754169325035	0.488920080787318	0.995485356151485
CITRULBIO-PWY: L-citrulline biosynthesis	0.535024038190304	-5.05225476020755	0.995485356151485
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0359159174486194	-31.7926244273881	0.493057987676074
COA-PWY: coenzyme A biosynthesis I	0.566609527702751	4.13828833667645	0.995485356151485
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.0249126358416539	19.400529998508	0.493057987676074
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.171778670581108	3.30742479071001	0.815601787838629
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.315757794023904	-18.8226957655731	0.989779238959545
CRNFORCAT-PWY: creatinine degradation I	0.56993870742148	0.57935895457233	0.995485356151485
