p-variable	slope	adjusted.p-variable
UNMAPPED	0.573933420989939	3882.48221434349	0.983375149877133
UNINTEGRATED	0.596827516511558	-3503.59752782628	0.983375149877133
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.203667689226512	-9.98767315490885	0.928953319816017
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.357028009792458	-0.507795969087424	0.954526148877388
ANAEROFRUCAT-PWY: homolactic fermentation	0.48648333276305	-4.45561626161759	0.983375149877133
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.271910900396557	-9.0387786098705	0.928953319816017
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0428981133475768	7.21785447314138	0.850169279344813
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.385490476095553	-5.64529942487625	0.961458526431757
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.800069287864824	-3.42266244839886	0.993515417954173
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.954006235105734	-0.707090036130588	0.993515417954173
ARO-PWY: chorismate biosynthesis I	0.563979328493711	-6.07321585479102	0.983375149877133
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.227576633371183	-8.20585806851022	0.928953319816017
AST-PWY: L-arginine degradation II (AST pathway)	0.800036199309675	-0.160428666030242	0.993515417954173
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.891547696038881	0.213155972989212	0.993515417954173
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.303380742965142	-9.18054336318636	0.928953319816017
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.330023534746066	9.43192124108116	0.938599022066919
CENTFERM-PWY: pyruvate fermentation to butanoate	0.98614997375636	-0.00895759181560691	0.995309261438307
CITRULBIO-PWY: L-citrulline biosynthesis	0.431783434374206	-3.59360402508591	0.979344115386452
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0942385069252999	-16.6794557003842	0.850169279344813
COA-PWY: coenzyme A biosynthesis I	0.128621881031654	9.1314876768486	0.850169279344813
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.490005422249945	5.56188049599547	0.983375149877133
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.929742800107466	0.249219451460437	0.993515417954173
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.496843049391106	-6.76142459531942	0.983375149877133
CRNFORCAT-PWY: creatinine degradation I	0.685190757904528	-0.383304222256327	0.990090756581349
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.879563011008728	-0.914057697059878	0.993515417954173
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.212176323131126	-3.46285736358695	0.928953319816017
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.415800809836316	9.95810032280805	0.97471604632198
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.844972143893041	-0.204769664654211	0.993515417954173
ENTBACSYN-PWY: enterobactin biosynthesis	0.691451167301075	-1.17941280775364	0.990090756581349
FAO-PWY: fatty acid &beta;-oxidation I	0.0917762065594376	2.01412513491867	0.850169279344813
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.997870990667835	0.00524040354906606	0.998507414472358
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.81505661421055	0.590323716194245	0.993515417954173
FERMENTATION-PWY: mixed acid fermentation	0.0392917577217568	3.66174843033615	0.850169279344813
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.527616518599298	1.20175494291682	0.983375149877133
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.488854485175237	0.92536199540109	0.983375149877133
FUCCAT-PWY: fucose degradation	0.0317474206198908	3.83491016780296	0.850169279344813
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.617447353499522	-2.57282365993044	0.985049780432199
GALACTARDEG-PWY: D-galactarate degradation I	0.313371736985419	1.00934699858755	0.928953319816017
GALACTUROCAT-PWY: D-galacturonate degradation I	0.968615426194231	0.210612755209546	0.993515417954173
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.880781419262729	0.961875004877243	0.993515417954173
GLUCARDEG-PWY: D-glucarate degradation I	0.374783273178852	1.15310298349023	0.954526148877388
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.313371736985419	1.00934699858755	0.928953319816017
GLUCONEO-PWY: gluconeogenesis I	0.683391567677807	1.37299170427558	0.990090756581349
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.763527737991954	-0.50661657662204	0.993515417954173
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.778849682903646	-1.51226582630794	0.993515417954173
GLUDEG-I-PWY: GABA shunt	0.116313740133708	-1.03526148858467	0.850169279344813
GLUTORN-PWY: L-ornithine biosynthesis	0.977161655419127	0.315480270211913	0.993515417954173
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.346884267534229	2.35511284268766	0.950287993413097
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.239401388973068	8.3155236201322	0.928953319816017
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.615082305061757	-0.304571355949839	0.985049780432199
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.177683955447346	2.75936084970567	0.928953319816017
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.793698597914126	0.558096742474098	0.993515417954173
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.534448155971858	-4.17132533119689	0.983375149877133
GLYOXYLATE-BYPASS: glyoxylate cycle	0.778165756151965	0.426600726201035	0.993515417954173
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.344063861283999	1.62798977205746	0.950287993413097
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.688913228073559	0.315741660159349	0.990090756581349
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	0.50025190275047	0.716188887391758	0.983375149877133
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.418589713144409	-1.45622734634103	0.97471604632198
