p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.743459031447438	0.683312085546182	0.531976065353549	639.548179180448	0.925067344472766	0.99993998237501	0.961288312566363
UNINTEGRATED	0.799131861992657	0.63551927587834	0.461019950298178	-473.642315858218	0.960790535237988	0.99993998237501	0.961288312566363
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.805198609531779	0.954333225433666	0.992995247649214	-0.595055290650256	0.960790535237988	0.99993998237501	0.997976777648301
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.659151025754619	0.0562144481502063	0.143507974628689	0.0412609188208443	0.888728669380592	0.99993998237501	0.961288312566363
ANAEROFRUCAT-PWY: homolactic fermentation	0.763447727927172	0.496149440281199	0.270387993349909	0.586394457382225	0.942742270091887	0.99993998237501	0.961288312566363
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.629472175548888	0.181056634072016	0.425794284746633	-1.32758246697275	0.888728669380592	0.99993998237501	0.961288312566363
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.177096184651034	0.358571681456205	0.533221078483159	-1.17989766345838	0.757634991286889	0.99993998237501	0.961288312566363
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.0142406156466831	0.152426696778998	0.0745212488562151	4.54347737665408	0.757634991286889	0.99993998237501	0.961288312566363
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.427342601613623	0.116583861660085	0.121031785137816	-3.56679687634365	0.787385266364976	0.99993998237501	0.961288312566363
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.969753388462024	0.3219343495842	0.393962457655822	0.154874794179166	0.987889984558689	0.99993998237501	0.961288312566363
ARO-PWY: chorismate biosynthesis I	0.206681097315853	0.462016790956076	0.184946632384843	-4.09097133693071	0.766323691002143	0.99993998237501	0.961288312566363
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.298223184479344	0.354718926974554	0.502707633326343	2.10133790203749	0.773305236639872	0.99993998237501	0.961288312566363
AST-PWY: L-arginine degradation II (AST pathway)	0.158259935849939	0.654184334078488	0.387264190046695	0.189938279169301	0.757634991286889	0.99993998237501	0.961288312566363
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.456698640596758	0.41269485875907	0.400856258314521	0.342234749918923	0.787385266364976	0.99993998237501	0.961288312566363
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.366292436309095	0.5673449863065	0.189322893044871	-3.33636646402677	0.773305236639872	0.99993998237501	0.961288312566363
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.275716193146009	0.912005383246041	0.545347243909412	-3.09966231445864	0.773305236639872	0.99993998237501	0.961288312566363
CENTFERM-PWY: pyruvate fermentation to butanoate	0.900202267385356	0.333863778496389	0.237149798745557	0.0214959260957105	0.984289017887771	0.99993998237501	0.961288312566363
CITRULBIO-PWY: L-citrulline biosynthesis	0.262412797935423	0.388671361159492	0.143380002317746	1.10422559234738	0.773305236639872	0.99993998237501	0.961288312566363
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.651319591747653	0.997937758976958	0.653415431205713	-1.31842993186591	0.888728669380592	0.99993998237501	0.963309506297057
COA-PWY: coenzyme A biosynthesis I	0.418063728069076	0.41852071016901	0.209060616671414	-1.61114155743906	0.787385266364976	0.99993998237501	0.961288312566363
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.69476293105201	0.352344457594901	0.833053507856853	-0.828654620763796	0.900350389839419	0.99993998237501	0.982864917474384
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.242371766718248	0.294156255372817	0.180515844489341	0.974980765254715	0.773305236639872	0.99993998237501	0.961288312566363
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.26273182706975	0.571920706948517	0.252907396731837	-3.3274597201038	0.773305236639872	0.99993998237501	0.961288312566363
CRNFORCAT-PWY: creatinine degradation I	0.190764507372265	0.687353701654762	0.897492678483046	-0.281041805825258	0.757634991286889	0.99993998237501	0.982864917474384
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.227712622125122	0.863089288780723	0.85205014487001	-2.18231588511261	0.773305236639872	0.99993998237501	0.982864917474384
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.0327608050502437	0.885164301300479	0.983105335254994	-2.07497382152973	0.757634991286889	0.99993998237501	0.997976777648301
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.686493952534699	0.728957335685803	0.810005741677313	-1.43496527002097	0.900350389839419	0.99993998237501	0.982864917474384
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.146477206624728	0.61190523080725	0.343815828860693	0.323853657474836	0.757634991286889	0.99993998237501	0.961288312566363
ENTBACSYN-PWY: enterobactin biosynthesis	0.270516813472214	0.755446862936561	0.441710181799971	0.703563455593898	0.773305236639872	0.99993998237501	0.961288312566363
FAO-PWY: fatty acid &beta;-oxidation I	0.249362339889809	0.424560189515028	0.603703502403797	-0.302394334563578	0.773305236639872	0.99993998237501	0.961288312566363
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.872187975436287	0.989362063919807	0.782292485716396	-0.113680463689863	0.984289017887771	0.99993998237501	0.982864917474384
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.654634029159621	0.58709833959265	0.701378409671586	0.402293646612582	0.888728669380592	0.99993998237501	0.97379571250783
FERMENTATION-PWY: mixed acid fermentation	0.716332255672853	0.310188983273894	0.433092549084523	-0.187771557602311	0.908654923538327	0.99993998237501	0.961288312566363
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.511503700236595	0.842941235840754	0.98812802957531	-0.355886691742854	0.817402971946716	0.99993998237501	0.997976777648301
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.48692889143286	0.85662882260419	0.626525963832842	0.195398052345173	0.807468227942617	0.99993998237501	0.963309506297057
FUCCAT-PWY: fucose degradation	0.873412892663914	0.588205706534924	0.890159376822433	-0.0770082109768442	0.984289017887771	0.99993998237501	0.982864917474384
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.713853346298263	0.22233445876429	0.402753779107573	0.676869389876695	0.908654923538327	0.99993998237501	0.961288312566363
GALACTARDEG-PWY: D-galactarate degradation I	0.211661327074797	0.734809079864859	0.398257759933646	0.270606361882009	0.766684362515377	0.99993998237501	0.961288312566363
