p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.882438624465554	0.782845373359992	0.734773142299302	-0.591253374638425	0.986334990738328	0.997200192348301	0.979636196671813
UNINTEGRATED	0.87355378090948	0.748997428774753	0.667517499061078	0.605243501673614	0.986334990738328	0.997200192348301	0.979636196671813
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.692392442147558	0.712695590751553	0.840237188300588	0.00186093968264716	0.982611332745298	0.997200192348301	0.982868250295676
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.590426162785969	0.217154049496615	0.458584332377605	9.40427690031072e-05	0.982611332745298	0.997200192348301	0.979636196671813
ANAEROFRUCAT-PWY: homolactic fermentation	0.310452657218649	0.707579002677971	0.331377767455686	0.00382863557591979	0.927764755086941	0.997200192348301	0.979636196671813
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.644650160837272	0.576681600641698	0.862627886354549	0.00258483297966996	0.982611332745298	0.997200192348301	0.982868250295676
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0209224937484233	0.0725631653230926	0.0750295114011345	-0.00393537019130355	0.757859217998445	0.997200192348301	0.979636196671813
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.313078263766052	0.459180855000523	0.331335432544208	0.00346941615737242	0.927764755086941	0.997200192348301	0.979636196671813
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.858392798719711	0.288777055014848	0.324064956040683	0.00156033333889815	0.986334990738328	0.997200192348301	0.979636196671813
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.686675789686244	0.249202982442004	0.333747818489251	0.00314863553651924	0.982611332745298	0.997200192348301	0.979636196671813
ARO-PWY: chorismate biosynthesis I	0.47199953691395	0.701144855502392	0.652789445749651	-0.00466226315478163	0.927764755086941	0.997200192348301	0.979636196671813
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.206315949101643	0.67228144839763	0.86820630910156	0.00490858163160167	0.927764755086941	0.997200192348301	0.982868250295676
AST-PWY: L-arginine degradation II (AST pathway)	0.351161462801667	0.966353658256856	0.624185095108135	0.000237072182555482	0.927764755086941	0.997200192348301	0.979636196671813
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.752316224221004	0.555670604988391	0.495624521503514	0.000290762830898055	0.982611332745298	0.997200192348301	0.979636196671813
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.765302746133709	0.699517492446683	0.260424401473296	0.00201735863402902	0.982611332745298	0.997200192348301	0.979636196671813
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.0882437978267094	0.998278172386253	0.353076839993423	-0.00937426089606332	0.927764755086941	0.998278172386253	0.979636196671813
CENTFERM-PWY: pyruvate fermentation to butanoate	0.745696399972099	0.854806463548148	0.560911161645776	-0.000115415233057963	0.982611332745298	0.997200192348301	0.979636196671813
CITRULBIO-PWY: L-citrulline biosynthesis	0.00679183123753498	0.240680136651172	0.0249791350371868	0.00578389687134916	0.757859217998445	0.997200192348301	0.979636196671813
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.488698278659918	0.24960549835744	0.54577795604131	0.00407274946574219	0.927764755086941	0.997200192348301	0.979636196671813
COA-PWY: coenzyme A biosynthesis I	0.433730190541556	0.16831255425891	0.0463036255138484	-0.0030051635224196	0.927764755086941	0.997200192348301	0.979636196671813
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.392149596359421	0.363410682995505	0.959508019117973	-0.00352293938865455	0.927764755086941	0.997200192348301	0.985294438574967
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.488479099168524	0.624387503097748	0.833821603269801	0.00115167135815401	0.927764755086941	0.997200192348301	0.982868250295676
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.408889227905386	0.756948264798903	0.585350331725825	-0.00489777069653969	0.927764755086941	0.997200192348301	0.979636196671813
