p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.610622873007707	0.913924531316131	0.806416829959371	-1299.78880202662	0.941189115732368	0.998736087333207	0.983023946594866
UNINTEGRATED	0.625574089297208	0.869207241555535	0.737939936187322	1190.09505323439	0.941189115732368	0.998736087333207	0.983023946594866
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.631125206162587	0.971689616831762	0.928540198243505	1.4049231528636	0.941189115732368	0.998736087333207	0.994094239866339
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.616147019501072	0.316373432801154	0.5569533436255	0.056108834246445	0.941189115732368	0.998736087333207	0.983023946594866
ANAEROFRUCAT-PWY: homolactic fermentation	0.246103812604991	0.570550849753242	0.29815795969002	2.61594236774196	0.915678631465289	0.998736087333207	0.983023946594866
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.444977581990198	0.925464748789798	0.675846382178658	2.55955312273665	0.921562651043121	0.998736087333207	0.983023946594866
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0394896994405067	0.126417122954859	0.132030366686963	-2.12512113730405	0.915678631465289	0.998736087333207	0.983023946594866
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.533362370276654	0.245532895135408	0.191843423072676	1.29377184781026	0.941189115732368	0.998736087333207	0.983023946594866
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.316925291578906	0.244894318770044	0.326018788312572	5.28568729245378	0.915678631465289	0.998736087333207	0.983023946594866
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.281696774036348	0.238378477714066	0.350929538944407	5.02587027814175	0.915678631465289	0.998736087333207	0.983023946594866
ARO-PWY: chorismate biosynthesis I	0.714758539482681	0.985063997552967	0.54917356217876	-1.41202999547526	0.976575239044165	0.998736087333207	0.983023946594866
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.185470546798402	0.368789836113809	0.496857821365433	3.14510321237793	0.915678631465289	0.998736087333207	0.983023946594866
AST-PWY: L-arginine degradation II (AST pathway)	0.238915677280503	0.889266905977612	0.573586004592951	0.177850637245914	0.915678631465289	0.998736087333207	0.983023946594866
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.594090422448176	0.921259496376893	0.886530798462855	0.295281929917413	0.941189115732368	0.998736087333207	0.983023946594866
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.703671642157786	0.711083971938328	0.343392131786374	1.57458670157727	0.976575239044165	0.998736087333207	0.983023946594866
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.186919629923411	0.431353627326631	0.15353373123866	-4.34124277977712	0.915678631465289	0.998736087333207	0.983023946594866
CENTFERM-PWY: pyruvate fermentation to butanoate	0.601024029543396	0.303987642678416	0.208210181489565	-0.107895739234811	0.941189115732368	0.998736087333207	0.983023946594866
CITRULBIO-PWY: L-citrulline biosynthesis	0.00595970989008819	0.452768577828074	0.104940229584445	3.5204074853714	0.915678631465289	0.998736087333207	0.983023946594866
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.338999841931239	0.380154334942785	0.60581556047886	3.37715505091482	0.915678631465289	0.998736087333207	0.983023946594866
COA-PWY: coenzyme A biosynthesis I	0.651511129582941	0.19278475127072	0.0768459507350972	-1.05042353939134	0.943967236640172	0.998736087333207	0.983023946594866
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.503960130423941	0.639169922128408	0.796979639517667	-1.73372591234608	0.928197754340141	0.998736087333207	0.983023946594866
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.350371382998309	0.825821941303913	0.97619757803735	0.931286516572713	0.915678631465289	0.998736087333207	0.999914550179423
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.637891068836244	0.891720853923084	0.467873599077436	-1.66636737562742	0.941189115732368	0.998736087333207	0.983023946594866
CRNFORCAT-PWY: creatinine degradation I	0.387895101183108	0.81364805938306	0.996065981607543	-0.211687018025443	0.915678631465289	0.998736087333207	0.999914550179423
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.920809188213813	0.577947867392451	0.401793747140068	-0.206343851665162	0.990085739781071	0.998736087333207	0.983023946594866
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.988944379757982	0.759776104265491	0.528375544181763	-0.0151434301268215	0.99504897469476	0.998736087333207	0.983023946594866
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.993489519908259	0.984212204671672	0.551877852889218	-0.0320738505639152	0.996546410738746	0.998736087333207	0.983023946594866
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.164016097413689	0.752454488856807	0.435483851189715	0.350055273366337	0.915678631465289	0.998736087333207	0.983023946594866
ENTBACSYN-PWY: enterobactin biosynthesis	0.317466749604588	0.979729456877541	0.630205276448911	0.716969466302468	0.915678631465289	0.998736087333207	0.983023946594866
FAO-PWY: fatty acid &beta;-oxidation I	0.153036325694422	0.263849294838039	0.384315599654756	-0.427860111394308	0.915678631465289	0.998736087333207	0.983023946594866
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.851394660874877	0.528718875245652	0.358967058363127	-0.153224439515606	0.983923217386818	0.998736087333207	0.983023946594866
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.933185416690009	0.642622275325518	0.519757705715941	0.0848494099539899	0.990085739781071	0.998736087333207	0.983023946594866
FERMENTATION-PWY: mixed acid fermentation	0.632136087107596	0.6628210741461	0.869233308150235	-0.289692113832227	0.941189115732368	0.998736087333207	0.983023946594866
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.591055267837212	0.566305137010974	0.373654310480699	-0.333546942580802	0.941189115732368	0.998736087333207	0.983023946594866
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.988117728413874	0.443666401135184	0.79783402125326	-0.00490465978805019	0.99504897469476	0.998736087333207	0.983023946594866
FUCCAT-PWY: fucose degradation	0.203210991055098	0.458086458584543	0.61475067529703	-0.69799615712578	0.915678631465289	0.998736087333207	0.983023946594866
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.692154627770508	0.384479234724157	0.645562730325699	0.886980656549785	0.976575239044165	0.998736087333207	0.983023946594866
GALACTARDEG-PWY: D-galactarate degradation I	0.848664747775021	0.704882420252865	0.985031547519488	0.0462744860527137	0.983923217386818	0.998736087333207	0.999914550179423
GALACTUROCAT-PWY: D-galacturonate degradation I	0.93655725617955	0.412925344203216	0.715873460370759	0.190944351668491	0.990085739781071	0.998736087333207	0.983023946594866
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.973198336043978	0.968993296331464	0.683515375202101	-0.0924687330221004	0.994553785424253	0.998736087333207	0.983023946594866
GLUCARDEG-PWY: D-glucarate degradation I	0.57647677198316	0.837589814565709	0.815433953870475	0.175613997169838	0.941189115732368	0.998736087333207	0.983023946594866
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.848664747775021	0.704882420252865	0.985031547519488	0.0462744860527137	0.983923217386818	0.998736087333207	0.999914550179423
GLUCONEO-PWY: gluconeogenesis I	0.159552768507028	0.736834506902545	0.841878764607483	-1.30998957434661	0.915678631465289	0.998736087333207	0.983023946594866
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.320526179758928	0.84150403421081	0.515017677932298	0.379527278923494	0.915678631465289	0.998736087333207	0.983023946594866
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.824304563722409	0.614974507633042	0.998897408995559	0.524520938331796	0.983923217386818	0.998736087333207	0.999914550179423
GLUDEG-I-PWY: GABA shunt	0.378680772433497	0.207676771242842	0.125848686041679	0.170790674709721	0.915678631465289	0.998736087333207	0.983023946594866
GLUTORN-PWY: L-ornithine biosynthesis	0.331852559570496	0.244048095756665	0.350728549054189	3.97684206639148	0.915678631465289	0.998736087333207	0.983023946594866
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.478696625049051	0.699227440345735	0.563734131858705	-0.452756905087159	0.928197754340141	0.998736087333207	0.983023946594866
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.0650728261375025	0.571953483390234	0.132038479553702	-4.83605277026726	0.915678631465289	0.998736087333207	0.983023946594866
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.209399509168548	0.796021265408579	0.446219848433865	0.180583557469849	0.915678631465289	0.998736087333207	0.983023946594866
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.446646929033169	0.106083372515128	0.234264132148914	-0.452297581147656	0.921562651043121	0.998736087333207	0.983023946594866
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.408048688571789	0.810364756503596	0.735113205914958	0.420948645582715	0.915678631465289	0.998736087333207	0.983023946594866
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.216402727711906	0.971641079503046	0.537937854027311	2.71722287950886	0.915678631465289	0.998736087333207	0.983023946594866
GLYOXYLATE-BYPASS: glyoxylate cycle	0.754312850492968	0.669995827939424	0.915709201196439	0.110934161651419	0.976575239044165	0.998736087333207	0.992482492763905
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.0404490375336078	0.290532447622901	0.18844451730333	-0.914663410771443	0.915678631465289	0.998736087333207	0.983023946594866
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.261902581466421	0.817819520362699	0.528877224054646	0.212565023090363	0.915678631465289	0.998736087333207	0.983023946594866
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	0.305555756358377	0.0644541624900748	0.0837564011252102	-0.309854013148525	0.915678631465289	0.998736087333207	0.983023946594866
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.0196674401106715	0.785205593356919	0.646425948435649	1.27736179658844	0.915678631465289	0.998736087333207	0.983023946594866
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.413670464199654	0.639601621311658	0.665918406013438	-0.74589175312757	0.915678631465289	0.998736087333207	0.983023946594866
HISDEG-PWY: L-histidine degradation I	0.98616243446566	0.433868471750988	0.566261584635543	-0.0356972626377749	0.99504897469476	0.998736087333207	0.983023946594866
HISTSYN-PWY: L-histidine biosynthesis	0.329105125036557	0.353029120123414	0.208932743297388	2.84622385178016	0.915678631465289	0.998736087333207	0.983023946594866
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.0617309930856333	0.107982091544198	0.0431284516945228	-3.29711623275671	0.915678631465289	0.998736087333207	0.983023946594866
HSERMETANA-PWY: L-methionine biosynthesis III	0.431052743353021	0.854318735057168	0.86546609717923	-1.23640824222878	0.921562651043121	0.998736087333207	0.983023946594866
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.3185472753308	0.889036090885192	0.883361670352157	4.87749159974753	0.915678631465289	0.998736087333207	0.983023946594866
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.182774511386567	0.83361590319056	0.485434834583049	0.16594066752235	0.915678631465289	0.998736087333207	0.983023946594866
KETOGLUCONMET-PWY: ketogluconate metabolism	0.164337925156151	0.977091750640488	0.540369350982359	0.149140175500108	0.915678631465289	0.998736087333207	0.983023946594866
LACTOSECAT-PWY: lactose and galactose degradation I	0.554768685253969	0.491142088924529	0.318395248233482	-0.496217916133326	0.941189115732368	0.998736087333207	0.983023946594866
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.0336703746292747	0.0850218728782932	0.0337575089224974	-5.57033253608807	0.915678631465289	0.998736087333207	0.983023946594866
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.306114942812134	0.960841191520231	0.689950704614615	0.0942836301296096	0.915678631465289	0.998736087333207	0.983023946594866
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.0298216437039441	0.115970429371131	0.0438596135022367	-5.18293651769992	0.915678631465289	0.998736087333207	0.983023946594866
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.945556594318709	0.500545093002453	0.682190721233803	0.0347465825178254	0.990085739781071	0.998736087333207	0.983023946594866
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.735769397233878	0.629090922464022	0.999194256213377	-0.094026567823883	0.976575239044165	0.998736087333207	0.999914550179423
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.94821221311921	0.501029470435463	0.791304019510386	0.222553774246995	0.990085739781071	0.998736087333207	0.983023946594866
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.271819829830317	0.165338559314095	0.0453688310237861	-4.38358394386051	0.915678631465289	0.998736087333207	0.983023946594866
