p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.794158405529262	0.689926567038241	0.737547642656953	3.07577849922959	0.985737249741375	0.999212281642079	0.997561561123998
UNINTEGRATED	0.789579842979843	0.660028648119518	0.683590297415818	-2.98829659028248	0.985737249741375	0.999212281642079	0.997561561123998
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.932282258862329	0.725427680188072	0.899162787342344	-0.00118469358791939	0.985737249741375	0.999212281642079	0.997561561123998
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.934516206121201	0.190262568787436	0.370985897502147	4.28442672966235e-05	0.985737249741375	0.999212281642079	0.997561561123998
ANAEROFRUCAT-PWY: homolactic fermentation	0.257011644454931	0.508927621254514	0.235214635357881	0.0127521125332523	0.985737249741375	0.999212281642079	0.997561561123998
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.830868179402329	0.583655060029239	0.950860567427699	0.00358290187141436	0.985737249741375	0.999212281642079	0.997561561123998
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0217626951100939	0.151105284390744	0.113208794275351	-0.0116632266595777	0.893758354927801	0.999212281642079	0.997561561123998
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.350605116217211	0.327328419234743	0.244278187304925	0.00954838469335704	0.985737249741375	0.999212281642079	0.997561561123998
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.871755332343684	0.550361186941221	0.611655235362678	0.00425708492976803	0.985737249741375	0.999212281642079	0.997561561123998
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.679674671219495	0.603529597789593	0.745535535818798	0.00976356316945176	0.985737249741375	0.999212281642079	0.997561561123998
ARO-PWY: chorismate biosynthesis I	0.564394267608373	0.771592283082263	0.685761851342337	-0.0111444540519154	0.985737249741375	0.999212281642079	0.997561561123998
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.5632189679105	0.512375217278867	0.710871280875133	0.00674451317252544	0.985737249741375	0.999212281642079	0.997561561123998
AST-PWY: L-arginine degradation II (AST pathway)	0.314872687121873	0.918357797624677	0.544462515061881	0.000762677559934519	0.985737249741375	0.999212281642079	0.997561561123998
