p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.794158410322767	0.689926567558361	0.737547642398282	3.07577842886284	0.985737249741581	0.999212281659352	0.997561558568638
UNINTEGRATED	0.78957984635026	0.660028648636825	0.683590297402629	-2.98829654327442	0.985737249741581	0.999212281659352	0.997561558568638
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.932282259179293	0.725427680094357	0.899162787183025	-0.00118469358238429	0.985737249741581	0.999212281659352	0.997561558568638
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.934516205699479	0.190262568918389	0.370985897740246	4.28442675740575e-05	0.985737249741581	0.999212281659352	0.997561558568638
ANAEROFRUCAT-PWY: homolactic fermentation	0.257011645116168	0.508927621467207	0.23521463555662	0.0127521125147461	0.985737249741581	0.999212281659352	0.997561558568638
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.830868179544806	0.583655060475267	0.950860566794287	0.00358290186781927	0.985737249741581	0.999212281659352	0.997561558568638
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0217626951102237	0.151105284458665	0.113208794325008	-0.0116632266600198	0.89375835499454	0.999212281659352	0.997561558568638
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.350605116025165	0.327328419217301	0.244278187274917	0.009548384697415	0.985737249741581	0.999212281659352	0.997561558568638
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.871755331592566	0.550361187556434	0.611655236102099	0.00425708495534226	0.985737249741581	0.999212281659352	0.997561558568638
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.679674638574051	0.603529622016054	0.745535566512164	0.00976356424608627	0.985737249741581	0.999212281659352	0.997561558568638
ARO-PWY: chorismate biosynthesis I	0.564394267580495	0.771592283124752	0.685761851291532	-0.0111444540526604	0.985737249741581	0.999212281659352	0.997561558568638
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.56321896938416	0.512375218160784	0.710871282195271	0.00674451314545676	0.985737249741581	0.999212281659352	0.997561558568638
AST-PWY: L-arginine degradation II (AST pathway)	0.314872687145753	0.918357797748459	0.54446251514156	0.000762677559895477	0.985737249741581	0.999212281659352	0.997561558568638
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.770809890014432	0.799869108429679	0.76665759384772	0.000807480751760343	0.985737249741581	0.999212281659352	0.997561558568638
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.887345576934743	0.760495162438153	0.755139598678869	0.00292652888086282	0.985737249741581	0.999212281659352	0.997561558568638
