p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.93185784906587	0.62790834532235	0.617827853690352	-297.234614682439	0.998215828725219	0.99667322798223	0.997347628139346
UNINTEGRATED	0.959891210182577	0.593747738347374	0.569641170393755	166.01456158757	0.998215828725219	0.99667322798223	0.997347628139346
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.862252874056758	0.603502818584717	0.753288506948856	-0.705726180139646	0.998215828725219	0.99667322798223	0.997347628139346
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.948981912419776	0.272308642618972	0.417646260709843	-0.00980473130613092	0.998215828725219	0.99667322798223	0.997347628139346
ANAEROFRUCAT-PWY: homolactic fermentation	0.178599421636923	0.229921986128354	0.1116698955016	4.40422875349733	0.946615916215226	0.99667322798223	0.997347628139346
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.511213006771463	0.820865876132775	0.858187862200311	3.21419347625408	0.961135899690739	0.99667322798223	0.997347628139346
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0586184497143715	0.166859370824034	0.166641305266343	-2.80618164819984	0.946615916215226	0.99667322798223	0.997347628139346
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.692955762364557	0.238968247598129	0.225124150108358	1.16783921996812	0.977181083850661	0.99667322798223	0.997347628139346
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.236066956086332	0.826379183489349	0.992862347697858	9.19583437929268	0.946615916215226	0.99667322798223	0.998176734080574
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.17918448582448	0.896041674112856	0.891144658819014	9.32705589099388	0.946615916215226	0.99667322798223	0.997347628139346
ARO-PWY: chorismate biosynthesis I	0.906125536034178	0.73311765839061	0.892859138954855	-0.667373193602692	0.998215828725219	0.99667322798223	0.997347628139346
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.493689831696984	0.746931257968195	0.904241818714705	2.33788774388539	0.961135899690739	0.99667322798223	0.997347628139346
AST-PWY: L-arginine degradation II (AST pathway)	0.202630318575026	0.707469583445954	0.435564409598027	0.283035018555382	0.946615916215226	0.99667322798223	0.997347628139346
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.524752348363306	0.914927435951592	0.930303820132221	0.517098515377379	0.961135899690739	0.99667322798223	0.997347628139346
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.822677538799207	0.798545027858822	0.478974983134995	1.34323694017685	0.998215828725219	0.99667322798223	0.997347628139346
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.361985840153609	0.275363159965836	0.12252988360756	-4.24225670424989	0.955798512321947	0.99667322798223	0.997347628139346
CENTFERM-PWY: pyruvate fermentation to butanoate	0.634724629638096	0.630968073878528	0.508559147895584	-0.146852289581731	0.961135899690739	0.99667322798223	0.997347628139346
CITRULBIO-PWY: L-citrulline biosynthesis	0.00174173688357294	0.143433261865756	0.0218393889150614	5.84140189422916	0.28390311202239	0.99667322798223	0.997347628139346
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.326779591402509	0.22627558393751	0.370800605420239	5.03651869508736	0.955798512321947	0.99667322798223	0.997347628139346
COA-PWY: coenzyme A biosynthesis I	0.621320708848301	0.13044850657732	0.0663284433321263	-1.64697198751033	0.961135899690739	0.99667322798223	0.997347628139346
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.339589108805809	0.865530947886465	0.619260781892592	-3.43202958122513	0.955798512321947	0.99667322798223	0.997347628139346
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.406576435813521	0.918529910776057	0.903756945834678	1.21063162869743	0.955798512321947	0.99667322798223	0.997347628139346
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.820049060953603	0.698190930823339	0.911515702785213	-1.17933555072976	0.998215828725219	0.99667322798223	0.997347628139346
CRNFORCAT-PWY: creatinine degradation I	0.896412766938927	0.974160496013551	0.75342708254214	-0.0466859796760791	0.998215828725219	0.99667322798223	0.997347628139346
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.772868098212149	0.716995699591824	0.877295482965573	0.873418964240494	0.977181083850661	0.99667322798223	0.997347628139346
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.734660624999963	0.503749119422114	0.343440468481254	0.535523300105205	0.977181083850661	0.99667322798223	0.997347628139346
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.748610734810678	0.486362926487371	0.251431932276458	-1.82096282528353	0.977181083850661	0.99667322798223	0.997347628139346
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.122843342953936	0.581445244149559	0.314003764901876	0.570957936469023	0.946615916215226	0.99667322798223	0.997347628139346
ENTBACSYN-PWY: enterobactin biosynthesis	0.243345867977551	0.744426351453884	0.459881938064458	1.21689860312591	0.946615916215226	0.99667322798223	0.997347628139346
FAO-PWY: fatty acid &beta;-oxidation I	0.182343924524094	0.354992272230313	0.455954241878761	-0.577715891891447	0.946615916215226	0.99667322798223	0.997347628139346
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.918374652455708	0.937736526361129	0.755555209684573	0.123980372080461	0.998215828725219	0.99667322798223	0.997347628139346
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.755280144752471	0.882283046166856	0.994221402811141	0.466837779648549	0.977181083850661	0.99667322798223	0.998176734080574
FERMENTATION-PWY: mixed acid fermentation	0.78124481842274	0.617051065826419	0.808323423963615	-0.24385723626601	0.977181083850661	0.99667322798223	0.997347628139346
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.582995654194149	0.31383444545737	0.219998351180945	-0.476395368632771	0.961135899690739	0.99667322798223	0.997347628139346
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.846119467662575	0.727233864914444	0.920158861941637	0.093844834150148	0.998215828725219	0.99667322798223	0.997347628139346
FUCCAT-PWY: fucose degradation	0.27486161508046	0.462345517830896	0.594525188785127	-0.871741084769418	0.955798512321947	0.99667322798223	0.997347628139346
