p-variable	slope	adjusted.p-variable
UNMAPPED	0.151780923973415	444.585945201693	0.684477778127624
UNINTEGRATED	0.17643695249457	-403.911193903324	0.710712290715761
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0429412981939342	-0.690344548652771	0.451576232620082
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.988310652523129	-0.00019066974150677	0.998033678240292
ANAEROFRUCAT-PWY: homolactic fermentation	0.496602509615462	-0.207591270932994	0.977405067086631
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0425045989665026	-0.750117334809722	0.451576232620082
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.121208408066241	0.26369992621397	0.656930389741061
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.133146547347759	-0.454046050965793	0.656930389741061
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.404516339767056	-0.528615846364348	0.940594508329312
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.69672433486494	-0.224646162719963	0.99406243251054
ARO-PWY: chorismate biosynthesis I	0.0989389201516379	-0.76894028062138	0.653523755499858
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.100233704831266	-0.519821215359889	0.653523755499858
AST-PWY: L-arginine degradation II (AST pathway)	0.975766804918322	0.000908631310679078	0.99406243251054
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.771277620198892	0.0214996827406907	0.99406243251054
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.0746924718818385	-0.73666803261643	0.580051741122108
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.995961010019158	-0.00230066667224407	0.998033678240292
CENTFERM-PWY: pyruvate fermentation to butanoate	0.344371449963259	0.0225090809989751	0.922576163666612
CITRULBIO-PWY: L-citrulline biosynthesis	0.337536566171459	-0.204980157042592	0.922576163666612
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.00255223026182085	-1.29752178028105	0.187136517139372
COA-PWY: coenzyme A biosynthesis I	0.524309385641856	0.183952887104488	0.977405067086631
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.683202943138238	0.155377056980724	0.99406243251054
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.565463177498237	-0.077000989168741	0.989600116875408
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0765098922338977	-0.776736946117288	0.580051741122108
CRNFORCAT-PWY: creatinine degradation I	0.420995509606414	-0.035826204591547	0.940594508329312
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.509790454784134	-0.18686542571034	0.977405067086631
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.120919605396194	-0.191267729059819	0.656930389741061
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.815941138886823	-0.130916393623992	0.99406243251054
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.998033678240292	-0.000122834187091186	0.998033678240292
ENTBACSYN-PWY: enterobactin biosynthesis	0.858991696662055	-0.0248146999503616	0.99406243251054
FAO-PWY: fatty acid &beta;-oxidation I	0.0251607509797279	0.119628648686656	0.3518525763648
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.932029297876307	0.00792594967185987	0.99406243251054
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.719585277455649	0.0431190973438326	0.99406243251054
FERMENTATION-PWY: mixed acid fermentation	0.0535876519218263	0.162152624631821	0.459725645434615
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.277721849249945	0.097625815555073	0.846143204256841
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.264238918850696	0.0692090483369484	0.83209390625274
FUCCAT-PWY: fucose degradation	0.0409378380708045	0.173782803360142	0.451576232620082
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.380283146373707	-0.209087149048016	0.934594921780993
GALACTARDEG-PWY: D-galactarate degradation I	0.267278957668289	0.0528127950902158	0.83209390625274
GALACTUROCAT-PWY: D-galacturonate degradation I	0.803937017787226	-0.0618056250934481	0.99406243251054
