p-variable	slope	adjusted.p-variable
UNMAPPED	0.165058991574197	89303.4024266937	0.795046139745086
UNINTEGRATED	0.203517984405627	-78852.7856420626	0.800022332525044
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.184417882208489	-95.7442012133467	0.800022332525044
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.739656816299549	0.894940262891811	0.953288525624846
ANAEROFRUCAT-PWY: homolactic fermentation	0.296011700749355	-65.7229555106168	0.893616388805473
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0245428263040408	-170.802891809909	0.292385614096275
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.264366690662885	39.7530072800809	0.849283931891018
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.696699329256465	-24.8797144590495	0.953288525624846
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.191212176330649	-170.121259858443	0.800022332525044
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.414705275774846	-96.9309874620828	0.953288525624846
ARO-PWY: chorismate biosynthesis I	0.037053725819593	-198.391582406471	0.348565684907687
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.220599878122187	-81.1161794742164	0.800022332525044
AST-PWY: L-arginine degradation II (AST pathway)	0.849268437329081	-1.17721799292214	0.953288525624846
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.943694546774118	1.0827809908999	0.982830775132052
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.0420517074091432	-172.580005055612	0.370509638253532
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.841009411754316	-18.8786046511627	0.953288525624846
CENTFERM-PWY: pyruvate fermentation to butanoate	0.504897537916598	3.30149894843276	0.953288525624846
CITRULBIO-PWY: L-citrulline biosynthesis	0.173369839254837	-59.7701798281092	0.796036163339109
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.000773699847383643	-293.924610717897	0.0478260104602165
COA-PWY: coenzyme A biosynthesis I	0.807199596509665	14.650856420627	0.953288525624846
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.826247969970943	17.331362487361	0.953288525624846
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.488163041010626	-19.2123391304348	0.953288525624846
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0374226962324204	-187.039984833165	0.348565684907687
CRNFORCAT-PWY: creatinine degradation I	0.161115621910687	-12.7706693124368	0.795046139745086
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.193719710208832	-75.457371587462	0.800022332525044
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.169058721765028	-35.2947360970677	0.795046139745086
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.330928707247738	-112.357421638018	0.893616388805473
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.802487877006903	-2.58103385743175	0.953288525624846
ENTBACSYN-PWY: enterobactin biosynthesis	0.732551967988047	-9.87979044489383	0.953288525624846
FAO-PWY: fatty acid &beta;-oxidation I	0.0317768993872391	23.8500127264914	0.323727162507498
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.837339294791677	3.95060546006068	0.953288525624846
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.749892072508289	7.93294137512639	0.953288525624846
FERMENTATION-PWY: mixed acid fermentation	0.107104046717084	28.3255396410516	0.684869282873223
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.350497205997879	17.4424196663296	0.893616388805473
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.308254882314547	13.1084756268959	0.893616388805473
FUCCAT-PWY: fucose degradation	0.111343779117426	28.4532406976744	0.684869282873223
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.414841500444052	-40.2904271991911	0.953288525624846
GALACTARDEG-PWY: D-galactarate degradation I	0.356556157074745	9.12320836703742	0.893616388805473
GALACTUROCAT-PWY: D-galacturonate degradation I	0.905528643919845	-6.12308493427706	0.976269789180865
