p-variable	slope	adjusted.p-variable
UNMAPPED	0.278955135226825	4.1186290939425	0.999550720869264
UNINTEGRATED	0.314123688289831	-3.6863555755725	0.999550720869264
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.170900813158171	-0.00579573462565092	0.999550720869264
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.906391971413707	1.86168421794932e-05	0.999550720869264
ANAEROFRUCAT-PWY: homolactic fermentation	0.881697328001578	-0.000555091859080986	0.999550720869264
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.0900110044193204	-0.00771222089871264	0.999550720869264
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.257203032182551	0.00236942775583365	0.999550720869264
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.908096843144993	-0.000433337053840583	0.999550720869264
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.243251068226686	-0.0089489575938836	0.999550720869264
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.435571350767281	-0.00544516038064223	0.999550720869264
ARO-PWY: chorismate biosynthesis I	0.271090939897111	-0.00632553596448943	0.999550720869264
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.0813271455165515	-0.00668643981175725	0.999550720869264
AST-PWY: L-arginine degradation II (AST pathway)	0.582183571978461	-0.000199685429791353	0.999550720869264
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.897663043361946	-0.000115800176140195	0.999550720869264
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.181048514959323	-0.00681029257367311	0.999550720869264
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.885847003300978	0.000793680156648136	0.999550720869264
CENTFERM-PWY: pyruvate fermentation to butanoate	0.898270066000518	-3.73245217906429e-05	0.999550720869264
CITRULBIO-PWY: L-citrulline biosynthesis	0.471996210047883	-0.00187716050101809	0.999550720869264
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0881600544120782	-0.00942095389433424	0.999550720869264
COA-PWY: coenzyme A biosynthesis I	0.181855977583639	0.00463465460201236	0.999550720869264
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.424329541543534	-0.0036850377038361	0.999550720869264
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.603113374911083	0.000847953731663932	0.999550720869264
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.253163445349549	-0.00619779184379954	0.999550720869264
CRNFORCAT-PWY: creatinine degradation I	0.804138631284778	-0.000135050944533653	0.999550720869264
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.45753724167549	-0.00255963500828004	0.999550720869264
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.202687093849289	-0.00192498843790161	0.999550720869264
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.900906579841978	-0.000852353153271702	0.999550720869264
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.583706655205491	-0.000331398774327415	0.999550720869264
ENTBACSYN-PWY: enterobactin biosynthesis	0.570901303590082	-0.000960554789521101	0.999550720869264
FAO-PWY: fatty acid &beta;-oxidation I	0.322583046922147	0.000666674974970745	0.999550720869264
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.969033663565924	4.38930615978971e-05	0.999550720869264
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.909632449023047	-0.000166032648841042	0.999550720869264
FERMENTATION-PWY: mixed acid fermentation	0.262015018093345	0.00117213215879466	0.999550720869264
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.76056921718904	0.000336764132144198	0.999550720869264
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.996185106877588	3.64722908779151e-06	0.999550720869264
FUCCAT-PWY: fucose degradation	0.277634553184965	0.00115354550739836	0.999550720869264
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.114929960565017	-0.00450049532744171	0.999550720869264
GALACTARDEG-PWY: D-galactarate degradation I	0.981888097493051	-1.32970332948501e-05	0.999550720869264
GALACTUROCAT-PWY: D-galacturonate degradation I	0.248569941633473	-0.00345490977612561	0.999550720869264
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.465823227947653	-0.00270042913852146	0.999550720869264
GLUCARDEG-PWY: D-glucarate degradation I	0.943615885254516	-5.3607081173927e-05	0.999550720869264
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.981888097493051	-1.32970332948501e-05	0.999550720869264
GLUCONEO-PWY: gluconeogenesis I	0.817195790733765	-0.000450652252345945	0.999550720869264
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.66338305361534	-0.000399715436606159	0.999550720869264
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.100984953287395	-0.00489355054473569	0.999550720869264
GLUDEG-I-PWY: GABA shunt	0.51094499084256	-0.000217325641541724	0.999550720869264
GLUTORN-PWY: L-ornithine biosynthesis	0.521269476536954	-0.00405039568880633	0.999550720869264
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.167301948316228	0.0019739472790329	0.999550720869264
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.715478524403975	0.00149018873066521	0.999550720869264
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.489677507793281	-0.000238623432765585	0.999550720869264
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.930116161767114	0.000105575402257304	0.999550720869264
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.784595452176115	-0.000333025857678327	0.999550720869264
