p-variable	slope	adjusted.p-variable
UNMAPPED	0.496602629330486	2284.41000096721	0.795354915491108
UNINTEGRATED	0.541801309325286	-1972.28604474965	0.820448230235094
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.576136152066486	-2.10620873230809	0.823773620937168
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.316281234576842	-0.137993242496051	0.773783931166698
ANAEROFRUCAT-PWY: homolactic fermentation	0.557080088002618	-1.91654194473998	0.820448230235094
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.682272322991123	-1.6747865686559	0.890541984363497
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.322434071148739	1.82101551890899	0.773783931166698
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.97788738243059	-0.0913245494406292	0.991220409355888
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.114793582492103	-10.5070470185705	0.70754061681883
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.156321393054811	-8.57890384869588	0.70754061681883
ARO-PWY: chorismate biosynthesis I	0.495733177227652	-3.45960138794855	0.795354915491108
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.233540343956855	-4.06947305509882	0.70754061681883
AST-PWY: L-arginine degradation II (AST pathway)	0.141799416869847	-0.460155260341103	0.70754061681883
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.314905509593201	-0.786988517990134	0.773783931166698
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.297746964713922	-4.68277698520166	0.758324300755769
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.244410588326778	5.57985979462875	0.70754061681883
CENTFERM-PWY: pyruvate fermentation to butanoate	0.866211101199591	-0.0431615535835188	0.956266665152217
CITRULBIO-PWY: L-citrulline biosynthesis	0.111684932988769	-3.57786973030919	0.70754061681883
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.172080730023269	-6.68359129670826	0.70754061681883
COA-PWY: coenzyme A biosynthesis I	0.465351126241574	2.249566358771	0.795354915491108
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.215870140087607	4.96939668165844	0.70754061681883
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.563981628111089	0.825316586065706	0.820448230235094
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.446278897945322	-3.64937022439307	0.795354915491108
CRNFORCAT-PWY: creatinine degradation I	0.93454513347594	0.0392710517619371	0.978658429575692
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.650579030465097	-1.37398135296773	0.8656684242107
