p-variable	slope	adjusted.p-variable
UNMAPPED	0.806019846611519	846.263023198564	0.959282246632777
UNINTEGRATED	0.872021742456046	-533.830775391866	0.959282246632777
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.834294419166679	-0.807359612461876	0.959282246632777
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.552630274096961	-0.084052136474354	0.903483049785222
ANAEROFRUCAT-PWY: homolactic fermentation	0.803499785468142	-0.83202524580575	0.959282246632777
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.483152999042867	-2.92296453061078	0.89501852515986
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.418833513978249	1.5248716923092	0.858740412307604
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.941540195500124	0.246892570245493	0.980045465911636
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.0396455321630261	-13.7907469948893	0.75778451235848
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.0699966537027529	-11.0780089770034	0.75778451235848
ARO-PWY: chorismate biosynthesis I	0.398294025516438	-4.37352577918267	0.858740412307604
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.373233139171245	-3.1258897393151	0.858740412307604
AST-PWY: L-arginine degradation II (AST pathway)	0.194424089983163	-0.41709264761846	0.75778451235848
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.422583028736633	-0.643857173586305	0.86101292105089
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.266060253404331	-5.10388018552118	0.846584645193299
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.522923537640716	3.15624248064799	0.89501852515986
CENTFERM-PWY: pyruvate fermentation to butanoate	0.750449324274094	-0.0832065891440791	0.958402022374824
CITRULBIO-PWY: L-citrulline biosynthesis	0.141614839701039	-3.3895076293588	0.75778451235848
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.132833846209474	-7.49055483823005	0.75778451235848
COA-PWY: coenzyme A biosynthesis I	0.432779317146516	2.46810276114604	0.861431047415444
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.230789557103169	4.92115992119628	0.80670787797137
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.388132392706572	1.25680993624024	0.858740412307604
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.369248353616505	-4.38720510498864	0.858740412307604
CRNFORCAT-PWY: creatinine degradation I	0.887233360423988	-0.0692806437133412	0.9641269183274
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.538826941112433	-1.90201080500287	0.900808116936682
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.367052064477847	-1.23132037191204	0.858740412307604
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.173483906796101	8.2176635496321	0.75778451235848
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.175296356473484	-0.724940289566502	0.75778451235848
