p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.0909633229734287	0.309394848048921	0.262138521283643	-13285.7138845807	0.854143935468707	0.993991640315984	0.988789970113176
UNINTEGRATED	0.0878960628441606	0.326606467953611	0.272354264724759	12933.6628829534	0.854143935468707	0.993991640315984	0.988789970113176
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.580760607370259	0.77018430157527	0.693367202553055	5.41135918546693	0.890703012477684	0.993991640315984	0.988789970113176
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.999570173183397	0.950683738256993	0.918239560471628	-0.000160331875538912	0.999570173183397	0.993991640315984	0.988789970113176
ANAEROFRUCAT-PWY: homolactic fermentation	0.20403880473295	0.723713468692266	0.725137002904942	-8.4422601706708	0.854143935468707	0.993991640315984	0.988789970113176
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.999495800424468	0.658567843585501	0.68621758523415	-0.00667348914231398	0.999570173183397	0.993991640315984	0.988789970113176
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.742056956081527	0.57485710229254	0.621686685615822	-0.9103305761739	0.924223549405311	0.993991640315984	0.988789970113176
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.501515705229333	0.870768263104474	0.832814461531073	-4.74709216526969	0.854143935468707	0.993991640315984	0.988789970113176
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.969977671474616	0.923912301388136	0.818320957732761	0.0079125810145972	0.996062499150408	0.993991640315984	0.988789970113176
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.865895188244551	0.723442852649293	0.725821852717382	2.21204783056319	0.961549884671341	0.993991640315984	0.988789970113176
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.747138261951357	0.713746423463085	0.743620951708744	3.54850876018478	0.924223549405311	0.993991640315984	0.988789970113176
ARO-PWY: chorismate biosynthesis I	0.199767566106253	0.930324690340829	0.813147969301527	16.7599253483115	0.854143935468707	0.993991640315984	0.988789970113176
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.325865547952131	0.633422426482362	0.747782477479255	-8.12796456313998	0.854143935468707	0.993991640315984	0.988789970113176
AST-PWY: L-arginine degradation II (AST pathway)	0.155869646349053	0.117195494447953	0.110392914043839	-0.567823112049545	0.854143935468707	0.993991640315984	0.988789970113176
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.894463659969007	0.917359104537975	0.993811851033454	0.214540554486716	0.968166313285799	0.993991640315984	0.998230945798291
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.62003232830298	0.797998315358415	0.703352055504092	6.99950191666144	0.890703012477684	0.993991640315984	0.988789970113176
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.315958629692342	0.742212344392323	0.574439813269019	-10.4863564023782	0.854143935468707	0.993991640315984	0.988789970113176
