p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.841609151033193	0.842789610505208	0.842501213703357	1230.79091321515	0.999108584112303	0.990694264696465	0.996153393013444
UNINTEGRATED	0.817923778878473	0.844694981267113	0.838992899948105	-1352.85628954996	0.990596576641706	0.990694264696465	0.996153393013444
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.825654854301178	0.543821601812938	0.538011644903643	1.5839711633982	0.992607122634137	0.990694264696465	0.996153393013444
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.401052297040305	0.0618721491473919	0.0842777495239463	0.228105813711542	0.989386271014482	0.990694264696465	0.996153393013444
ANAEROFRUCAT-PWY: homolactic fermentation	0.276127566765253	0.0791867399859319	0.0629617578336617	6.11432779798037	0.989386271014482	0.990694264696465	0.996153393013444
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.798770567424536	0.334612798509617	0.413856275299281	2.13679163809956	0.989386271014482	0.990694264696465	0.996153393013444
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.189675617745819	0.928934564683489	0.927497508927746	-3.33941899791254	0.989386271014482	0.990694264696465	0.996153393013444
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.112383866042194	0.84187305057854	0.928480809991429	8.37409102787914	0.989386271014482	0.990694264696465	0.996153393013444
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.995694488791307	0.954798408977168	0.974681132314909	-0.00113181225903026	0.999561341549971	0.990694264696465	0.996153393013444
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.881609482183807	0.736345710758394	0.744609342204697	1.9908969518176	0.999561341549971	0.990694264696465	0.996153393013444
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.774363345482548	0.847020530105722	0.87077525123875	3.41789913001566	0.989386271014482	0.990694264696465	0.996153393013444
