p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.0280016309998737	0.140435424052318	0.135563937848052	617984.899068494	0.351225979213205	0.98345393133987	0.421839909309121
UNINTEGRATED	0.0281809361161182	0.132419978292107	0.151858583083849	-594654.248526688	0.351225979213205	0.98345393133987	0.443372827396594
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.240440348358423	0.15373253086741	0.362498702569873	-418.929868758147	0.652410133859913	0.98345393133987	0.630516360321003
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.107352639006935	0.844011316143846	0.237475970661622	18.254769874747	0.57320904944395	0.98345393133987	0.537382356410514
ANAEROFRUCAT-PWY: homolactic fermentation	0.214370139726756	0.615133408224918	0.241950721869501	302.523607738715	0.64160633388014	0.98345393133987	0.537382356410514
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.629077587771969	0.861388418389442	0.601234300243477	-193.921074857288	0.80918017601572	0.98345393133987	0.793536250175779
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.868350207261696	0.33370149821953	0.461974423074599	-15.9264362120325	0.942133124631858	0.98345393133987	0.723139458565803
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.223918251144876	0.982782542499967	0.272401054551463	277.742867584832	0.64160633388014	0.995330110181516	0.549956931430026
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.900660888233081	0.526166028632145	0.903306080322923	0.96390749285783	0.942133124631858	0.98345393133987	0.946734257261525
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.398902884891437	0.840237900042646	0.653744175527326	-405.846593830899	0.700631835760444	0.98345393133987	0.811817461624037
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.230746813162867	0.609925272138867	0.510312884808643	-472.189824826002	0.647187970895956	0.98345393133987	0.752543172905875
ARO-PWY: chorismate biosynthesis I	0.0751058045169607	0.965376317644941	0.0497071812343333	-870.016228596364	0.542065304421934	0.995330110181516	0.406790308696977
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.602559945337152	0.96038729940195	0.373030230808033	147.588951903201	0.800813747272621	0.995330110181516	0.645401510445644
AST-PWY: L-arginine degradation II (AST pathway)	0.154450848747468	0.285524483292495	0.0256932791617621	13.0401811962002	0.597140654314086	0.98345393133987	0.391304503817245
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.292186221255077	0.403760134526313	0.119984905641285	46.9249777663849	0.686161648537074	0.98345393133987	0.421839909309121
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.627233122644864	0.941610925313953	0.0507302076357469	-216.492195890213	0.80918017601572	0.995330110181516	0.406790308696977
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.895786850163249	0.662827976135281	0.350789428762614	-50.996990541054	0.942133124631858	0.98345393133987	0.625137421967246
CENTFERM-PWY: pyruvate fermentation to butanoate	0.170195473798934	0.696611229497176	0.447837598325914	19.8483068494125	0.605779363790533	0.98345393133987	0.715592321336181
CITRULBIO-PWY: L-citrulline biosynthesis	0.209429614270868	0.253967298145283	0.505647252324131	-219.833224933239	0.636766711540379	0.98345393133987	0.752543172905875
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.00478066266844734	0.0561270432993625	0.00171285893144676	-1211.22010680501	0.17241946342103	0.98345393133987	0.358964999490421
COA-PWY: coenzyme A biosynthesis I	0.591100264887487	0.608720560468899	0.606679090348455	147.036855121386	0.800813747272621	0.98345393133987	0.793536250175779
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.306863125924736	0.706584481418577	0.195036343443539	341.239441706532	0.686161648537074	0.98345393133987	0.510215074448298
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.304063288101904	0.879627950578429	0.797649978496228	77.1145568619976	0.686161648537074	0.989520678700248	0.886374826814721
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0657638213570038	0.859300263123014	0.0544077091983616	-899.083785871372	0.537619239593506	0.98345393133987	0.406790308696977
CRNFORCAT-PWY: creatinine degradation I	0.60505079482351	0.553045093291391	0.695626251481797	17.5394055191827	0.800813747272621	0.98345393133987	0.840109838421533
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.809068385714871	0.694822777621471	0.788477128386924	-49.6106917445039	0.909031576879179	0.98345393133987	0.879972767858444
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.111450084687542	0.0783479721905655	0.096292795387013	212.44410634764	0.57320904944395	0.98345393133987	0.406790308696977
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.343388679974387	0.492849174249483	0.477117524489249	407.334180622802	0.695404892043793	0.98345393133987	0.732476199568002
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.744866473794828	0.856532827534152	0.360312321108019	3.50882569400492	0.882504843952567	0.98345393133987	0.630064860974985
ENTBACSYN-PWY: enterobactin biosynthesis	0.329150757229695	0.614306282008826	0.186263789969484	-46.8010891731888	0.695404892043793	0.98345393133987	0.496024102587049
FAO-PWY: fatty acid &beta;-oxidation I	0.112187703866706	0.352078068895757	0.0897963658742528	51.376980880443	0.57320904944395	0.98345393133987	0.406790308696977
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.367404147076582	0.376691213478966	0.141195117344879	66.8033970256415	0.695404892043793	0.98345393133987	0.424953810205035
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.39421511891687	0.103336838127546	0.0477691286495898	74.5882011069623	0.700631835760444	0.98345393133987	0.406790308696977
FERMENTATION-PWY: mixed acid fermentation	0.253659941471188	0.130000862543847	0.269215610430557	65.6232396967828	0.663574406888628	0.98345393133987	0.549956931430026
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.946193821088405	0.708110741516854	0.87712691716876	3.73812412093042	0.966891810924714	0.98345393133987	0.925227425529628
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.548714271823427	0.423768906664305	0.102193407989547	20.7448707141495	0.780128551679395	0.98345393133987	0.407527370885144
FUCCAT-PWY: fucose degradation	0.612821312860206	0.174411403981804	0.0986976242604608	26.8566959125883	0.800813747272621	0.98345393133987	0.406790308696977
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.20966689488556	0.392155907867907	0.842839298608498	373.250805552045	0.636766711540379	0.98345393133987	0.915642693172687
GALACTARDEG-PWY: D-galactarate degradation I	0.307595181117256	0.442305713212793	0.0598344298135529	13.8535907914021	0.686161648537074	0.98345393133987	0.406790308696977
GALACTUROCAT-PWY: D-galacturonate degradation I	0.163877948970145	0.28761888499369	0.982973608714621	448.149469386706	0.604993007743096	0.98345393133987	0.989022677075942
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.520337966343578	0.525180207609689	0.755953701575121	224.036122000069	0.767324575456083	0.98345393133987	0.855352458183615
GLUCARDEG-PWY: D-glucarate degradation I	0.968233652171903	0.731923736348345	0.136407299653754	0.531750821215169	0.980224161796323	0.98345393133987	0.421839909309121
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.307595181117256	0.442305713212793	0.0598344298135529	13.8535907914021	0.686161648537074	0.98345393133987	0.406790308696977
GLUCONEO-PWY: gluconeogenesis I	0.401819027267049	0.512656853927719	0.0327513345732044	53.3265667352531	0.700631835760444	0.98345393133987	0.406790308696977
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.999951641198937	0.654826395991463	0.456207801749418	0.00153484212158319	0.999951641198937	0.98345393133987	0.720676092618646
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.189451961567826	0.42291196525539	0.912701377773706	407.447964997353	0.609065690387228	0.98345393133987	0.950488377490452
GLUDEG-I-PWY: GABA shunt	0.783068873868018	0.169168493279991	0.493985030880595	-11.0508530902358	0.89846849738541	0.98345393133987	0.745080086534813
GLUTORN-PWY: L-ornithine biosynthesis	0.087557568795234	0.425432100634823	0.342924760637442	-566.214401550521	0.557559286875579	0.98345393133987	0.625137421967246
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.415137069652626	0.788356742636263	0.906316581587299	38.0158463319842	0.700631835760444	0.98345393133987	0.946854703447434
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.670704376005291	0.241455206925944	0.870705280178134	-105.967698037425	0.840307781431916	0.98345393133987	0.924823981165045
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.838503064136063	0.966394029323827	0.230054565389395	1.68397819945776	0.926319263420584	0.995330110181516	0.537382356410514
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.271304301897394	0.477182343154715	0.0234922092812097	47.9704614629832	0.682434667080367	0.98345393133987	0.391304503817245
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.373471949574352	0.535395999450075	0.050119100123244	28.1999343596577	0.696032420633147	0.98345393133987	0.406790308696977
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.458509982508357	0.645042379671512	0.688699590675794	178.800891523595	0.753430976282576	0.98345393133987	0.837192439222991
GLYOXYLATE-BYPASS: glyoxylate cycle	0.250367745128145	0.751525254869027	0.0953773749194076	28.176013930038	0.663574406888628	0.98345393133987	0.406790308696977
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.224099023052525	0.0912069190139186	0.536172458108842	41.2280120897621	0.64160633388014	0.98345393133987	0.768915510866222
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0.130595538562634	0.418271900387444	0.0567192874877505	15.9979652201485	0.578865592146836	0.98345393133987	0.406790308696977
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	0.0386461857693293	0.101834349436822	0.012446191361289	62.093168039914	0.3829485680779	0.98345393133987	0.358964999490421
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	0.778649534942635	0.980050768447417	0.81982748441966	13.0472989259656	0.89846849738541	0.995330110181516	0.897579587181849
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0.82849772816882	0.452154525582762	0.713617235187626	18.4988781348981	0.921492371126545	0.98345393133987	0.840109838421533
HISDEG-PWY: L-histidine degradation I	0.0273051169062988	0.14719842254463	0.00483807279819397	252.218360988894	0.351225979213205	0.98345393133987	0.358964999490421
HISTSYN-PWY: L-histidine biosynthesis	0.690690834829396	0.532638664197225	0.132422849214786	-136.231995268624	0.858767691974192	0.98345393133987	0.421839909309121
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0.57218007616274	0.754369971284292	0.440983613254701	-149.748293143317	0.800813747272621	0.98345393133987	0.713869512545977
HSERMETANA-PWY: L-methionine biosynthesis III	0.116583042854836	0.899709719899992	0.473201060411243	236.170142713295	0.578138279950872	0.990603672754267	0.729890314879606
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	0.172714676357768	0.611556445072359	0.0932496851533694	-732.097793515074	0.605779363790533	0.98345393133987	0.406790308696977
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0.366528899890937	0.9896109516044	0.231522515205459	7.31698978540313	0.695404892043793	0.995330110181516	0.537382356410514
KETOGLUCONMET-PWY: ketogluconate metabolism	0.0993966713271372	0.108653818849148	0.700321306592962	-22.2479273809929	0.57320904944395	0.98345393133987	0.840109838421533
LACTOSECAT-PWY: lactose and galactose degradation I	0.00138412480896825	0.242231511879423	0.134460301422503	-430.069907936201	0.113152203133154	0.98345393133987	0.421839909309121
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0.411344290647367	0.593276029810451	0.402935307812919	-260.3040941746	0.700631835760444	0.98345393133987	0.67917446213827
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0.305656533418463	0.976841779341989	0.315795448305972	10.4706884532933	0.686161648537074	0.995330110181516	0.600309880804839
METSYN-PWY: L-homoserine and L-methionine biosynthesis	0.465696643857861	0.705321908483737	0.375931848995769	-215.780413786583	0.757625883291148	0.98345393133987	0.646998498008508
NAD-BIOSYNTHESIS-II: NAD salvage pathway II	0.309683729760952	0.775775609941977	0.313812620109756	37.1648771954765	0.686161648537074	0.98345393133987	0.600097817402866
NAGLIPASYN-PWY: lipid IVA biosynthesis	0.320396326207475	0.863153756252424	0.225042135967712	22.8473392953233	0.695404892043793	0.98345393133987	0.537382356410514
NONMEVIPP-PWY: methylerythritol phosphate pathway I	0.0502620397809207	0.429662039543548	0.072239813194611	-732.282082731398	0.449699073916685	0.98345393133987	0.406790308696977
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch)	0.934897688546234	0.381934225558321	0.856449680033365	39.9588109736455	0.959962695638163	0.98345393133987	0.919574222176759
OANTIGEN-PWY: O-antigen building blocks biosynthesis (E. coli)	0.019229551955524	0.367717861451121	0.214906934244187	-593.236719372653	0.330950709971386	0.98345393133987	0.537382356410514
P105-PWY: TCA cycle IV (2-oxoglutarate decarboxylase)	0.295920980087083	0.634037736403483	0.100391364846498	31.2877962747238	0.686161648537074	0.98345393133987	0.406790308696977
P108-PWY: pyruvate fermentation to propanoate I	0.0508833814523466	0.886716925988931	0.129923303244141	106.670038045211	0.449699073916685	0.989612405455223	0.421839909309121
P122-PWY: heterolactic fermentation	0.883422691570899	0.488360122305798	0.150912165209385	2.23270213939626	0.942133124631858	0.98345393133987	0.443372827396594
P124-PWY: Bifidobacterium shunt	0.284540293876167	0.342587629172173	0.630808573168156	26.570271131035	0.686161648537074	0.98345393133987	0.808919229121517
P125-PWY: superpathway of (R,R)-butanediol biosynthesis	0.231562668485709	0.697587169693141	0.469097998986711	-15.4465099638062	0.647187970895956	0.98345393133987	0.726990737766135
P161-PWY: acetylene degradation	0.032222566900294	0.460478578818457	0.468227430861507	-221.774109462455	0.351225979213205	0.98345393133987	0.726990737766135
