p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.137547500406976	0.565648859318222	0.789117574868486	9149.97457245196	0.576414687278329	0.817204255072065	0.944628966131393
UNINTEGRATED	0.140327294498063	0.504015838320621	0.844637478238619	-8764.1550622812	0.576414687278329	0.801376769886674	0.959015470083432
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.211318607523831	0.628761259943266	0.947049271803738	-9.50641561257181	0.667027992078045	0.835776674072788	0.980553944344404
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.4473716790216	0.0673416532706255	0.814308574558062	-0.194160824599811	0.89497976797225	0.734138082819493	0.944628966131393
ANAEROFRUCAT-PWY: homolactic fermentation	0.584019822358659	0.972606578662769	0.267400646960579	3.01704231875922	0.931582838591618	0.980790958267361	0.830931936185318
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.66852189965942	0.715972072080019	0.227907400378885	-3.73422837247246	0.965221031650628	0.858041090423977	0.830931936185318
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0157360182316811	0.179902959997552	0.0519687203949168	5.59855780223359	0.36754842583998	0.734138082819493	0.759046781263399
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.807745629470944	0.603205071697336	0.603796298771004	-1.27684890072001	0.965221031650628	0.83168521502927	0.893399953385151
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.252113852123001	0.225382758485005	0.668262737810405	-0.209227518300949	0.681332476398522	0.734138082819493	0.918332165873236
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.756322198938823	0.524392333596183	0.442987720794134	-3.70213056303092	0.965221031650628	0.801376769886674	0.830931936185318
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.808451955366984	0.519133522869277	0.290495969310047	-2.422308410175	0.965221031650628	0.801376769886674	0.830931936185318
ARO-PWY: chorismate biosynthesis I	0.279237906841216	0.0824557523071837	0.45649301325649	-11.0217111724051	0.691748451038466	0.734138082819493	0.830931936185318
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.929214773216213	0.315899328276862	0.546618154828765	-0.577567680888583	0.972256172868636	0.734138082819493	0.877110379395839
AST-PWY: L-arginine degradation II (AST pathway)	0.862466821047838	0.472484697932568	0.466001795698818	0.0471791733053598	0.965221031650628	0.792587974505276	0.830931936185318
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.853238061158084	0.555835944241887	0.400207581926197	0.212696145712135	0.965221031650628	0.815984020635638	0.830931936185318
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.367911835603633	0.116397700911682	0.191395636544262	-9.39892323705717	0.848860476982008	0.734138082819493	0.772671273456464
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.149787455848652	0.375373239345393	0.147140349112432	11.8686589301692	0.590126482680835	0.762983943990912	0.759046781263399
CENTFERM-PWY: pyruvate fermentation to butanoate	0.530371216379018	0.218853655367795	0.745903858785963	0.24173940057217	0.912224903062777	0.734138082819493	0.93490474874466
CITRULBIO-PWY: L-citrulline biosynthesis	0.146166816434058	0.106171763503516	0.776060779309307	-5.39633706587369	0.582884743584598	0.734138082819493	0.943389869271908
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.00688627047410024	0.747556735312293	0.11803528308824	-24.4562579309763	0.283463648892386	0.858041090423977	0.759046781263399
COA-PWY: coenzyme A biosynthesis I	0.174419603160596	0.486130696611332	0.154450578715677	8.20391057636463	0.629770548030266	0.798817777848772	0.759046781263399
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.0930167833949431	0.0904701092722813	0.33516807945027	12.8682621807307	0.576414687278329	0.734138082819493	0.830931936185318
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.395491742672269	0.501734060437729	0.184398196095167	1.69660857913149	0.858020427320771	0.801376769886674	0.759046781263399
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.198413417406648	0.0929454466515136	0.517566473458488	-12.8357095374855	0.646313557003516	0.734138082819493	0.87239297330374
CRNFORCAT-PWY: creatinine degradation I	0.874754697169751	0.764898812480856	0.460237974375526	0.111705341326189	0.965221031650628	0.862489350624965	0.830931936185318
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.717961493534889	0.443817125137837	0.801984925981232	-1.79269906376122	0.965221031650628	0.791147528104905	0.944628966131393
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.8936581172162	0.233591587608321	0.0913802415785399	0.379326927057102	0.965221031650628	0.734138082819493	0.759046781263399
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.0521854581294609	0.268937722895586	0.163695518121013	18.7312485445329	0.487561280238107	0.734138082819493	0.759046781263399
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.900282613619087	0.247688977416884	0.800305068207352	-0.0511671003588278	0.965221031650628	0.734138082819493	0.944628966131393
ENTBACSYN-PWY: enterobactin biosynthesis	0.535618291706585	0.34640725482827	0.771386631556816	-0.836308154580589	0.912224903062777	0.740360603456499	0.943389869271908
FAO-PWY: fatty acid &beta;-oxidation I	0.0899764979903097	0.735700050969915	0.0346555630148719	1.24507089542898	0.576414687278329	0.858041090423977	0.759046781263399
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.816737574981111	0.357343608888523	0.441116876195254	0.4241074600503	0.965221031650628	0.749669454849279	0.830931936185318
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.570037977478843	0.262025029730572	0.37021011444403	1.23874560541591	0.927375217092446	0.734138082819493	0.830931936185318
FERMENTATION-PWY: mixed acid fermentation	0.143938166122535	0.0891849776242161	0.0378309582813933	1.97661093677554	0.581083707679865	0.734138082819493	0.759046781263399
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.506181393865852	0.552928459273758	0.981993339935124	0.936254733515298	0.90470677854657	0.815984020635638	0.982884622143905
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.381039128937369	0.742538623361159	0.145730727899864	0.693309147338584	0.858020427320771	0.858041090423977	0.759046781263399
FUCCAT-PWY: fucose degradation	0.0226151716038919	0.569541464305669	0.0523337692220543	2.90632066806608	0.400571064466527	0.817204255072065	0.759046781263399
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.219371153747129	0.261437441745091	0.438893908191392	7.88397535903735	0.667027992078045	0.734138082819493	0.830931936185318
GALACTARDEG-PWY: D-galactarate degradation I	0.140929602095482	0.829970893524313	0.107901655738648	0.627065701460693	0.576414687278329	0.901662731503157	0.759046781263399
GALACTUROCAT-PWY: D-galacturonate degradation I	0.13019410466196	0.145992564733972	0.675011924968683	10.505411664204	0.576414687278329	0.734138082819493	0.918332165873236
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.22244428345366	0.163419204688134	0.879040587033969	9.20426782600806	0.667027992078045	0.734138082819493	0.969578433092968
GLUCARDEG-PWY: D-glucarate degradation I	0.213532617922784	0.747313183499316	0.145912911327925	0.636045993373842	0.667027992078045	0.858041090423977	0.759046781263399
