p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.20262411593378	0.173066017294013	0.147611814265847	13776.8265283004	0.996658831190087	0.959818977749432	0.856480478515112
UNINTEGRATED	0.199477019904768	0.155566311941271	0.163573098053955	-13375.7542452023	0.996658831190087	0.959818977749432	0.856480478515112
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.719951606638511	0.220954768573028	0.579064140706646	-4.91510037354469	0.996658831190087	0.959818977749432	0.91178707317879
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.461519459719837	0.118445104758415	0.881101664833019	-0.320352602379412	0.996658831190087	0.959818977749432	0.991828173571911
ANAEROFRUCAT-PWY: homolactic fermentation	0.162347737073497	0.860446203782844	0.562659831927383	13.0697249434986	0.996658831190087	0.985599193620839	0.910840420991358
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.642608286142029	0.972091662467055	0.698195813694152	7.12607712923213	0.996658831190087	0.994599491673236	0.943429880487552
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.550442657530104	0.28603288826546	0.398744518926708	2.21932364769657	0.996658831190087	0.959818977749432	0.856480478515112
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.436209471573198	0.511125465466344	0.548789009892977	6.83810930319557	0.996658831190087	0.959818977749432	0.902219008010016
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.373514067688529	0.147334803936288	0.474238163093196	-0.264091087617216	0.996658831190087	0.959818977749432	0.875999148607315
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.879140858372139	0.372981698025696	0.390004467209131	-2.79639694091254	0.996658831190087	0.959818977749432	0.856480478515112
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.712435956997131	0.455951804019935	0.381800617775982	-5.53523550055534	0.996658831190087	0.959818977749432	0.856480478515112
ARO-PWY: chorismate biosynthesis I	0.357286939940687	0.309552223169502	0.210162917179979	-17.2898729064093	0.996658831190087	0.959818977749432	0.856480478515112
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.447884109687626	0.735155795478893	0.394338050916346	8.23471269664969	0.996658831190087	0.967732922812484	0.856480478515112
AST-PWY: L-arginine degradation II (AST pathway)	0.543687085055382	0.946666851898407	0.150625208478341	0.214224628251247	0.996658831190087	0.993430539559453	0.856480478515112
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.722388816664601	0.37988066477846	0.728308633539162	0.607871154175581	0.996658831190087	0.959818977749432	0.95133801535518
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.541783913503955	0.36748422387998	0.174778456228615	-10.6846623289071	0.996658831190087	0.959818977749432	0.856480478515112
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.258560626944399	0.426811574297538	0.352542618235807	16.5110868988611	0.996658831190087	0.959818977749432	0.856480478515112
CENTFERM-PWY: pyruvate fermentation to butanoate	0.378905672867491	0.284060500296625	0.803551588291918	0.488920080787317	0.996658831190087	0.959818977749432	0.968894680812915
CITRULBIO-PWY: L-citrulline biosynthesis	0.452374502628138	0.420677259798456	0.894406472993641	-5.05225476020755	0.996658831190087	0.959818977749432	0.991828173571911
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0553001024685068	0.676753856036745	0.0682599937590365	-31.792624427388	0.928655462909283	0.959818977749432	0.856480478515112
COA-PWY: coenzyme A biosynthesis I	0.691788482524799	0.660301515574846	0.341809331979007	4.13828833667645	0.996658831190087	0.959818977749432	0.856480478515112
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.116550478862364	0.605624672698326	0.0869279746569623	19.400529998508	0.977230938153668	0.959818977749432	0.856480478515112
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.246396504452669	0.762510351432631	0.778014534898464	3.30742479071001	0.996658831190087	0.985537094539408	0.956431401924052
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.316026822232087	0.435397250016357	0.190843205758723	-18.8226957655731	0.996658831190087	0.959818977749432	0.856480478515112
CRNFORCAT-PWY: creatinine degradation I	0.653445394024261	0.175361332200307	0.181518255632683	0.57935895457233	0.996658831190087	0.959818977749432	0.856480478515112
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.996658831190087	0.734181346175322	0.856301415152698	0.0330979656736787	0.996658831190087	0.967732922812484	0.968894680812915
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.249744141489115	0.0727457522294697	0.0752047306122498	5.88626454530887	0.996658831190087	0.959818977749432	0.856480478515112
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.0913092054181603	0.415921085265607	0.312716142728366	27.0901319507761	0.933065942866826	0.959818977749432	0.856480478515112
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.883512028987703	0.461491694049382	0.568801566350943	-0.0607178197094536	0.996658831190087	0.959818977749432	0.911755451944893
ENTBACSYN-PWY: enterobactin biosynthesis	0.50233355167594	0.795403863950148	0.508562406154726	-1.26254585288088	0.996658831190087	0.985599193620839	0.889304314505858
FAO-PWY: fatty acid &beta;-oxidation I	0.86203780295068	0.657361235397677	0.79528989339479	-0.215858344882269	0.996658831190087	0.959818977749432	0.968894680812915
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.534639727982033	0.586640595237843	0.918540709705916	1.76719850098636	0.996658831190087	0.959818977749432	0.994865001871777
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.508288535614532	0.83340018086677	0.882686497422908	2.2190877659986	0.996658831190087	0.985599193620839	0.991828173571911
FERMENTATION-PWY: mixed acid fermentation	0.792381868273294	0.0637965297416423	0.136013076285984	-0.565617540573247	0.996658831190087	0.959818977749432	0.856480478515112
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.830179843180917	0.96360810307233	0.657920245618651	0.454776406732642	0.996658831190087	0.994599491673236	0.931341646395234
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.909838141044061	0.950898345205226	0.29988580149887	-0.150851134255036	0.996658831190087	0.993430539559453	0.856480478515112
FUCCAT-PWY: fucose degradation	0.541508578214631	0.310939628959801	0.161006237410849	1.25653924028425	0.996658831190087	0.959818977749432	0.856480478515112
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.109473385585035	0.420843598216131	0.55362469099314	17.9395451524847	0.977230938153668	0.959818977749432	0.902219008010016
GALACTARDEG-PWY: D-galactarate degradation I	0.921390017427015	0.794733015143025	0.314996521499551	0.0516635487293397	0.996658831190087	0.985599193620839	0.856480478515112
GALACTUROCAT-PWY: D-galacturonate degradation I	0.0868552375179058	0.249386704955724	0.820547677476757	20.9231725914383	0.928655462909283	0.959818977749432	0.968894680812915
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.216377764500754	0.395286317209898	0.74240199546252	16.3893159176434	0.996658831190087	0.959818977749432	0.955769498095449
GLUCARDEG-PWY: D-glucarate degradation I	0.703053573274201	0.663273014481372	0.361022338306107	-0.196857015041251	0.996658831190087	0.959818977749432	0.856480478515112
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.921390017427015	0.794733015143025	0.314996521499551	0.0516635487293397	0.996658831190087	0.985599193620839	0.856480478515112
GLUCONEO-PWY: gluconeogenesis I	0.712558504123155	0.769461518583596	0.135591561111151	0.910211021666695	0.996658831190087	0.985599193620839	0.856480478515112
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.640410760944894	0.314539130999471	0.682803353944886	-0.45433348474048	0.996658831190087	0.959818977749432	0.93668335366133
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.178469951318897	0.582517561013181	0.472288620304163	15.7589961402229	0.996658831190087	0.959818977749432	0.875999148607315
GLUDEG-I-PWY: GABA shunt	0.398721074560679	0.0884129190751207	0.339667461659808	-1.30320033005653	0.996658831190087	0.959818977749432	0.856480478515112
GLUTORN-PWY: L-ornithine biosynthesis	0.486578318949753	0.597753893702083	0.513348863472506	-8.77932309732608	0.996658831190087	0.959818977749432	0.891307010937168
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.467348681684699	0.634285352038552	0.727314946663781	1.29925339116092	0.996658831190087	0.959818977749432	0.95133801535518
