p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.351928666348121	0.645876679121944	0.274324029379699	6505.33655321127	0.894580297263522	0.885691895513936	0.976866417376566
UNINTEGRATED	0.376964290419742	0.680703383726075	0.244893854609669	-5949.82398779834	0.915620051515457	0.903824550663542	0.976866417376566
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.0915778324213985	0.39618459415926	0.428004030164224	-13.4156281829896	0.756141101020882	0.807765149844812	0.976866417376566
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.846628480791857	0.476484046122683	0.977079104845033	-0.0638646478441135	0.985678208012033	0.820892253588216	0.990751654326812
ANAEROFRUCAT-PWY: homolactic fermentation	0.49153433044418	0.878487950806796	0.333707662890419	-4.62471123655586	0.968829617406143	0.94388787420556	0.976866417376566
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.240377787473833	0.426387549826445	0.387907406859962	-11.9102117756371	0.830363861535767	0.807765149844812	0.976866417376566
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0225666514943382	0.657133618038552	0.119299803433351	7.35850806693372	0.576258539745435	0.886351448893527	0.964726170507526
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.273156437784016	0.803385973777208	0.906313029449373	-6.94268921224021	0.861973659554791	0.931585863209741	0.976866417376566
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.436591814028822	0.885140484337584	0.669872469794611	-0.196500833428293	0.958675240595622	0.94388787420556	0.976866417376566
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.808501550677625	0.740749173020885	0.686368019619475	-4.09275921039944	0.985678208012033	0.903824550663542	0.976866417376566
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.965343980686787	0.686682858095649	0.484355929037428	-0.64525379241425	0.989553234120939	0.903824550663542	0.976866417376566
ARO-PWY: chorismate biosynthesis I	0.320580282606399	0.256840087986767	0.865950808724462	-10.5216807061526	0.880689551395599	0.807765149844812	0.976866417376566
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.181114000856425	0.384932069680067	0.919138819805285	-9.84353397088086	0.816612930756217	0.807765149844812	0.976866417376566
AST-PWY: L-arginine degradation II (AST pathway)	0.831625080354495	0.409326496884329	0.94106992526658	-0.100567825004602	0.985678208012033	0.807765149844812	0.980031418987807
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.770507078394773	0.137776942412224	0.154189592658738	0.478626211617856	0.985678208012033	0.807765149844812	0.964726170507526
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.387958390657379	0.229920960488358	0.611390179342799	-11.2386898135568	0.92023185244154	0.807765149844812	0.976866417376566
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.452529266449364	0.888201305444578	0.175619823123482	7.22537617348773	0.968829617406143	0.94388787420556	0.964726170507526
CENTFERM-PWY: pyruvate fermentation to butanoate	0.962728884569831	0.481991781923356	0.917787998654184	-0.0280585386078557	0.989553234120939	0.820892253588216	0.976866417376566
CITRULBIO-PWY: L-citrulline biosynthesis	0.220848373493202	0.0677395443255934	0.666722153284158	-4.87157420825189	0.816612930756217	0.807765149844812	0.976866417376566
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0326797261940169	0.447111596703092	0.655311036518842	-20.8607637421877	0.576258539745435	0.807765149844812	0.976866417376566
COA-PWY: coenzyme A biosynthesis I	0.218307858728717	0.878819505635573	0.217617624942097	8.60892721089031	0.816612930756217	0.94388787420556	0.964726170507526
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.601779503122557	0.0827299107028373	0.692179424147279	4.59009519385008	0.981265868666057	0.807765149844812	0.976866417376566
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.985047159660492	0.527917776240391	0.151510604853213	-0.0556027725427972	0.99077485032539	0.838104500138797	0.964726170507526
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.24885522455812	0.16764768729805	0.917137418668832	-11.1393531902212	0.830363861535767	0.807765149844812	0.976866417376566
CRNFORCAT-PWY: creatinine degradation I	0.49638841888208	0.083709747153363	0.39106182120943	-0.510260409526397	0.968829617406143	0.807765149844812	0.976866417376566
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.798508887345593	0.244167350209416	0.488763799816191	-1.68350325640103	0.985678208012033	0.807765149844812	0.976866417376566
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.130133485655151	0.478519144170571	0.694838382208591	-4.47258816826345	0.816612930756217	0.820892253588216	0.976866417376566
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0.589943210535899	0.713638467982887	0.252059941680605	6.2227101320968	0.971569941574264	0.903824550663542	0.976866417376566
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.808058370723999	0.341491740909532	0.890082561606384	-0.191134945522119	0.985678208012033	0.807765149844812	0.976866417376566
ENTBACSYN-PWY: enterobactin biosynthesis	0.700660845912296	0.320807265442299	0.840496325136555	-0.8535726181815	0.985678208012033	0.807765149844812	0.976866417376566
FAO-PWY: fatty acid &beta;-oxidation I	0.00960604954329463	0.425450091326414	0.0139148436645052	2.45897367207209	0.576258539745435	0.807765149844812	0.955561532968608
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.902177831834407	0.0673886237082786	0.166474243461666	0.304689425243024	0.986654043761148	0.807765149844812	0.964726170507526
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	0.808752130536277	0.163765750491766	0.250271273181907	0.758358107079933	0.985678208012033	0.807765149844812	0.976866417376566
FERMENTATION-PWY: mixed acid fermentation	0.0344349701435725	0.945979773681966	0.297884339876502	3.86140266534015	0.576258539745435	0.96667308123126	0.976866417376566
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.5893326488934	0.395682038181885	0.704245178738095	1.1208025534041	0.971569941574264	0.807765149844812	0.976866417376566
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.197318762343287	0.479784939027876	0.410654824469002	1.31976880367802	0.816612930756217	0.820892253588216	0.976866417376566
FUCCAT-PWY: fucose degradation	0.0223208423356882	0.713123749337473	0.256287150949197	3.86438276693285	0.576258539745435	0.903824550663542	0.976866417376566
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.587156030188148	0.918523523162223	0.349476294527357	-3.70469500276114	0.971569941574264	0.953514895473165	0.976866417376566
GALACTARDEG-PWY: D-galactarate degradation I	0.18585979233779	0.816683194203427	0.338474434792651	1.00420846182166	0.816612930756217	0.933925372169071	0.976866417376566
GALACTUROCAT-PWY: D-galacturonate degradation I	0.903981828756906	0.796002063625894	0.439174064960354	-0.884523013945981	0.986654043761148	0.931585863209741	0.976866417376566
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.935911226031317	0.524039205788947	0.951003290143801	0.674525766328017	0.989553234120939	0.838104500138797	0.98410783505387
GLUCARDEG-PWY: D-glucarate degradation I	0.256152214471483	0.7400346807261	0.410412072528734	1.11599124163986	0.837617741321749	0.903824550663542	0.976866417376566
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.18585979233779	0.816683194203427	0.338474434792651	1.00420846182166	0.816612930756217	0.933925372169071	0.976866417376566
GLUCONEO-PWY: gluconeogenesis I	0.705260853196889	0.824968749863419	0.342343372679414	1.08277063015524	0.985678208012033	0.935251142633524	0.976866417376566
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.964818678540337	0.417311519234901	0.913186333360525	0.052803239220567	0.989553234120939	0.807765149844812	0.976866417376566
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0.703109041890606	0.705911676070819	0.40462651606821	-2.73232315945408	0.985678208012033	0.903824550663542	0.976866417376566
GLUDEG-I-PWY: GABA shunt	0.246507079210371	0.764044789374781	0.905060020186226	-0.659466299536302	0.830363861535767	0.921928583489127	0.976866417376566
GLUTORN-PWY: L-ornithine biosynthesis	0.983755668331315	0.656181774035743	0.440080104971202	0.264941539054897	0.99077485032539	0.886351448893527	0.976866417376566
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0.27753859185518	0.784894752241861	0.382457910857178	2.32270973387797	0.861973659554791	0.928988232962005	0.976866417376566
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.344064873824943	0.00805228139381406	0.173140865189451	7.61371369090925	0.891377821589552	0.807765149844812	0.964726170507526
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.591261218266907	0.227845075100809	0.756447591254669	-0.241886529544279	0.971569941574264	0.807765149844812	0.976866417376566
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0.11343159095056	0.624657497954698	0.0254478751756153	2.9293927430029	0.772752713350691	0.885691895513936	0.955561532968608
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.582407650599065	0.391260650491139	0.632940660518721	0.875352984932024	0.971569941574264	0.807765149844812	0.976866417376566
