p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.287583288086993	0.976072702431975	0.817181787590251	538.114932804813	0.901070619850886	0.983602926028075	0.991098317256161
UNINTEGRATED	0.285255146500198	0.958271904180489	0.773219456446831	-521.923198740365	0.901070619850886	0.973151902692609	0.991098317256161
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.445937568451231	0.941155418484397	0.644624960652134	-0.489914824458353	0.904771060385388	0.966510975284604	0.991098317256161
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.206037776626642	0.0461715683142438	0.692231117830953	-0.0355486126964282	0.8619777958989	0.552506344618905	0.991098317256161
ANAEROFRUCAT-PWY: homolactic fermentation	0.948790295640034	0.720516102573599	0.469527183940529	0.0292610010782852	0.998792827669563	0.899270097486896	0.991098317256161
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.69983809863824	0.846552493085328	0.231354129457378	0.2725335085675	0.936524333002023	0.959171268835596	0.991098317256161
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0101503270183108	0.150441401251507	0.0797675052832419	0.48365324172996	0.486481827362276	0.605911441551013	0.991098317256161
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.43490496777666	0.864057986215894	0.628306161166628	-0.365632518395198	0.904771060385388	0.959171268835596	0.991098317256161
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.361819475763081	0.141182752429846	0.556174043816919	-0.0143078816170648	0.904771060385388	0.605911441551013	0.991098317256161
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.721032786245563	0.906859653259009	0.88693954618452	0.355348042120435	0.937539971809078	0.959686429177009	0.991098317256161
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.698735615021051	0.859801358808004	0.608925560253802	0.320453607973149	0.936524333002023	0.959171268835596	0.991098317256161
ARO-PWY: chorismate biosynthesis I	0.365097676246635	0.0522042251078051	0.641010742232446	-0.793919805272701	0.904771060385388	0.552506344618905	0.991098317256161
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.898871438769237	0.0576938532986852	0.488811719608894	-0.0657877567268666	0.983622331128058	0.552506344618905	0.991098317256161
AST-PWY: L-arginine degradation II (AST pathway)	0.215309873636032	0.128434811451476	0.681247065398598	-0.0270561595673386	0.8619777958989	0.601529380985979	0.991098317256161
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.508651928209948	0.910426400780207	0.903639907848399	-0.0632229935682033	0.904771060385388	0.960353009855251	0.991098317256161
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.224364381957106	0.174935634694126	0.381056199540734	-1.11772104058422	0.8619777958989	0.627456412158682	0.991098317256161
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.173846527254868	0.301725235593713	0.302775924757821	0.944551343686717	0.8619777958989	0.651359113169655	0.991098317256161
CENTFERM-PWY: pyruvate fermentation to butanoate	0.451918056683956	0.586227360862582	0.275738650593085	0.0239902687189113	0.904771060385388	0.812709086787931	0.991098317256161
CITRULBIO-PWY: L-citrulline biosynthesis	0.37984321013329	0.144244985565313	0.976537526434855	-0.263635481668985	0.904771060385388	0.605911441551013	0.991098317256161
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0995217949561402	0.309743602638363	0.641305338103834	-1.24433886158912	0.8619777958989	0.651359113169655	0.991098317256161
COA-PWY: coenzyme A biosynthesis I	0.239419989999999	0.730026249312914	0.282553382738317	0.619918987323552	0.8619777958989	0.904071724764698	0.991098317256161
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.365244659706972	0.0238073409721585	0.93359726111525	0.570837176844543	0.904771060385388	0.552506344618905	0.991098317256161
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.534756879547718	0.239088018341543	0.0821375382466993	0.101829868524803	0.904771060385388	0.651359113169655	0.991098317256161
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.281539429216909	0.0563520792062072	0.684168641017927	-0.91437505037292	0.901070619850886	0.552506344618905	0.991098317256161
CRNFORCAT-PWY: creatinine degradation I	0.9263063380203	0.723617582530759	0.482634720866317	0.0052727634970462	0.990250245176743	0.899707032272084	0.991098317256161
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.662002580001652	0.706719910054318	0.944531797797983	0.19069699165734	0.935462923350307	0.888836194568315	0.991098317256161
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.454752616128263	0.491456083957176	0.194376948910401	0.192008424799273	0.904771060385388	0.762767977201188	0.991098317256161
