p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.756996629129136	0.451712221559524	0.501831378446954	488.364552752607	0.989080800434547	0.996978162866216	0.978964416545282
UNINTEGRATED	0.763000298066727	0.436032141001908	0.533065697117735	-458.562696672036	0.989080800434547	0.996978162866216	0.978964416545282
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.537822210860627	0.866388579245616	0.652570369624226	1.27840106089663	0.989080800434547	0.996978162866216	0.978964416545282
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.128723925485011	0.105579246137565	0.535030782953617	-0.0951311115874432	0.989080800434547	0.996978162866216	0.978964416545282
ANAEROFRUCAT-PWY: homolactic fermentation	0.439895130091744	0.549907718471796	0.90727920942686	1.04926544912907	0.989080800434547	0.996978162866216	0.978964416545282
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.238848964765108	0.836849334982862	0.984179901502341	2.60301336717038	0.989080800434547	0.996978162866216	0.995446716727866
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.233927009561787	0.282232428094832	0.386149710813709	0.637681477888541	0.989080800434547	0.996978162866216	0.978964416545282
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.817378151964591	0.733644655495624	0.694775214350132	-0.337479462676599	0.989080800434547	0.996978162866216	0.978964416545282
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.219310006945719	0.10268020070845	0.272211888502493	-0.0524526674729241	0.989080800434547	0.996978162866216	0.978964416545282
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.827116817559921	0.395422056970768	0.43429746453488	0.581564618661152	0.989080800434547	0.996978162866216	0.978964416545282
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.920009234551088	0.426860518914263	0.396857058917692	-0.218174755333987	0.994689185786546	0.996978162866216	0.978964416545282
ARO-PWY: chorismate biosynthesis I	0.174595614090806	0.787370422655128	0.218410670640485	-3.82794864183064	0.989080800434547	0.996978162866216	0.978964416545282
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.610217594079958	0.516658740393859	0.881943577719527	0.818591149848954	0.989080800434547	0.996978162866216	0.978964416545282
AST-PWY: L-arginine degradation II (AST pathway)	0.800414760121976	0.905915136466794	0.457990402577776	-0.0128481634932018	0.989080800434547	0.996978162866216	0.978964416545282
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.848668802926732	0.104409777209968	0.184111336835878	-0.0468055032819745	0.989080800434547	0.996978162866216	0.978964416545282
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.142193092733712	0.757200234915399	0.317121561763269	-3.98693177489904	0.989080800434547	0.996978162866216	0.978964416545282
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.28852679227157	0.558278906847725	0.568004141024098	2.28582710705654	0.989080800434547	0.996978162866216	0.978964416545282
CENTFERM-PWY: pyruvate fermentation to butanoate	0.893721062974295	0.222245031844674	0.748325992513991	0.0107366217263309	0.994689185786546	0.996978162866216	0.978964416545282
CITRULBIO-PWY: L-citrulline biosynthesis	0.981016333050445	0.801216359849933	0.726869219947778	0.0230472269888584	0.994689185786546	0.996978162866216	0.978964416545282
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.288034025519676	0.889363411375315	0.522187455907466	-2.55395806858912	0.989080800434547	0.996978162866216	0.978964416545282
COA-PWY: coenzyme A biosynthesis I	0.730146320370829	0.928481382351292	0.498302836777061	-0.565894206294938	0.989080800434547	0.996978162866216	0.978964416545282
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.560473206517845	0.942922435911435	0.141207178249889	1.11265579462827	0.989080800434547	0.996978162866216	0.978964416545282
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.345956091032702	0.886978581677067	0.88233817755123	0.394069215604452	0.989080800434547	0.996978162866216	0.978964416545282
