p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
UNMAPPED	0.432301774947851	0.75213688513381	0.359415214100098	419.970529702118	0.963837190706222	0.917090489931914	0.988480410520185
UNINTEGRATED	0.47064803866439	0.7846241814689	0.320329238763456	-371.879291788923	0.963837190706222	0.933172158393045	0.988480410520185
1CMET2-PWY: N10-formyl-tetrahydrofolate biosynthesis	0.261432035323408	0.298707173209802	0.300440471884278	-0.684101493181845	0.963837190706222	0.692521635397804	0.988480410520185
7ALPHADEHYDROX-PWY: cholate degradation (bacteria, anaerobic)	0.902516124381991	0.72820889358219	0.612586131326602	-0.00304617374202652	0.983346094076825	0.908871405348764	0.988480410520185
ANAEROFRUCAT-PWY: homolactic fermentation	0.556441668289788	0.754426121687109	0.44262804282709	-0.302784285520605	0.963837190706222	0.917090489931914	0.988480410520185
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose)	0.604477265570776	0.426307657190473	0.380965146047806	-0.396731816439561	0.963837190706222	0.757622847289591	0.988480410520185
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis	0.0786890782371533	0.845672578645836	0.211524454089478	0.430475223056696	0.963837190706222	0.973714553581649	0.988480410520185
ARGININE-SYN4-PWY: L-ornithine de novo  biosynthesis	0.729396013573201	0.751706746861927	0.398902974421405	-0.165262297233738	0.963837190706222	0.917090489931914	0.988480410520185
ARGORNPROST-PWY: arginine, ornithine and proline interconversion	0.530439531549978	0.972729512153452	0.841047066726125	-0.0120793307780246	0.963837190706222	0.996871686301032	0.988480410520185
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	0.928910309490779	0.984988624438132	0.966720336069809	-0.11453538243432	0.983346094076825	0.996871686301032	0.992132901488749
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.994570772858398	0.965093563191911	0.80751558680157	0.00769885141660401	0.996641238194589	0.996871686301032	0.988480410520185
ARO-PWY: chorismate biosynthesis I	0.285639392947594	0.247863910716262	0.881733170977729	-0.854772976438156	0.963837190706222	0.692521635397804	0.988480410520185
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.139560131063429	0.191813731849796	0.507786618627703	-0.802516967640753	0.963837190706222	0.692521635397804	0.988480410520185
AST-PWY: L-arginine degradation II (AST pathway)	0.288065949195899	0.197051675628062	0.502078393499923	-0.0380274463828712	0.963837190706222	0.692521635397804	0.988480410520185
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.675664581719517	0.298785982712207	0.392494651143638	-0.0521481017961367	0.963837190706222	0.692521635397804	0.988480410520185
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	0.181100378833636	0.278498790464369	0.495843123398831	-1.3152206548174	0.963837190706222	0.692521635397804	0.988480410520185
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.552801677490005	0.826389857153146	0.206417433917119	0.436415571873081	0.963837190706222	0.958260579039287	0.988480410520185
CENTFERM-PWY: pyruvate fermentation to butanoate	0.685364852333144	0.993321649088601	0.302258909214745	0.0182373149875554	0.963837190706222	0.996871686301032	0.988480410520185
CITRULBIO-PWY: L-citrulline biosynthesis	0.218637084115607	0.055250920488969	0.58644298932155	-0.371039911222548	0.963837190706222	0.692521635397804	0.988480410520185
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	0.0535408131506851	0.340966309783016	0.840488680189834	-1.42320416135938	0.963837190706222	0.692521635397804	0.988480410520185
COA-PWY: coenzyme A biosynthesis I	0.381001072438067	0.982417534733329	0.157098661422341	0.466713712634887	0.963837190706222	0.996871686301032	0.988480410520185
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0.770866294058437	0.0432176924434372	0.440182228643088	0.193646686160659	0.963837190706222	0.692521635397804	0.988480410520185
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.835175819879616	0.542971201685894	0.157613265058457	0.0471011910137937	0.963837190706222	0.818210059683352	0.988480410520185
