p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.609903734430925	0.892252476088074	0.992407601082	-0.0084911623624437	0.997395918405286	0.993016997315582	0.996128695203544
Actinobacteria	0.110871325674191	0.720536834737335	0.757700730647845	0.0407084808213101	0.997395918405286	0.993016997315582	0.996128695203544
Aquificae	0.642086423296737	0.458424585163295	0.463502670357583	-0.00731955089150598	0.997395918405286	0.993016997315582	0.996128695203544
Armatimonadetes	0.96028351070973	0.400903427224211	0.477750166316873	-0.0008617278033117	0.997395918405286	0.993016997315582	0.996128695203544
Ascomycota	0.480365940915502	0.367829290448897	0.312494381908968	-0.0100952298722101	0.997395918405286	0.993016997315582	0.996128695203544
Bacteroidetes	0.523671367362059	0.0954307953694665	0.144569456515362	-0.0168933399029003	0.997395918405286	0.993016997315582	0.996128695203544
Balneolaeota	0.7771469641306	0.752549853045526	0.792525851413208	0.00566402814899786	0.997395918405286	0.993016997315582	0.996128695203544
Basidiomycota	0.938459745720729	0.72670193586161	0.752329360308325	-0.00127370001302347	0.997395918405286	0.993016997315582	0.996128695203544
Calditrichaeota	0.997395918405286	0.404381229238664	0.410172639375741	5.68438620023986e-05	0.997395918405286	0.993016997315582	0.996128695203544
Candidatus Bipolaricaulota	0.962584174957774	0.975101698990451	0.979342098066064	-0.00114853975827399	0.997395918405286	0.993016997315582	0.996128695203544
Candidatus Cloacimonetes	0.595905418154212	0.563234032794787	0.596646109307825	-0.0113264152883863	0.997395918405286	0.993016997315582	0.996128695203544
Candidatus Gracilibacteria	0.348618026769778	0.526070774627009	0.563133242855839	-0.0244426494329945	0.997395918405286	0.993016997315582	0.996128695203544
Candidatus Saccharibacteria	0.631757368671285	0.977739218695333	0.971382186004017	0.00923147271825823	0.997395918405286	0.993016997315582	0.996128695203544
Chlamydiae	0.490997652966618	0.743191792151944	0.699636675908649	0.00986554810347024	0.997395918405286	0.993016997315582	0.996128695203544
Chlorobi	0.917262748393698	0.908416819046572	0.864527792164172	0.00158156504407739	0.997395918405286	0.993016997315582	0.996128695203544
Chloroflexi	0.927875918902383	0.861507511692825	0.927960594393028	-0.0015337631779581	0.997395918405286	0.993016997315582	0.996128695203544
Chrysiogenetes	0.921073979369837	0.717715525986638	0.729418652799252	0.0018509805861852	0.997395918405286	0.993016997315582	0.996128695203544
Coprothermobacterota	0.478122129834378	0.586755219604258	0.527734559819248	-0.0180347591831729	0.997395918405286	0.993016997315582	0.996128695203544
Crenarchaeota	0.171079998140591	0.144304168962819	0.121922582524963	-0.0195200857447977	0.997395918405286	0.993016997315582	0.996128695203544
Cyanobacteria	0.5532085887362	0.497297240407956	0.457713643379992	-0.0078557594966259	0.997395918405286	0.993016997315582	0.996128695203544
Deferribacteres	0.511129953244404	0.637357381081133	0.613379089827515	-0.00985041148853281	0.997395918405286	0.993016997315582	0.996128695203544
