p-variable	slope	adjusted.p-variable
Acidobacteria	0.107904724356793	1.42625791043685	0.417255293260583
Actinobacteria	0.475252080094902	-0.985415893104465	0.712878120142353
Aquificae	0.743816840932555	-0.266727244174288	0.83807560286591
Armatimonadetes	0.114969999805086	1.33504625676855	0.417255293260583
Ascomycota	0.513572584405908	-0.428938036493616	0.745508590266641
Bacteroidetes	0.138255366293715	2.21147447414597	0.417255293260583
Balneolaeota	0.119629051332248	1.85649135789316	0.417255293260583
Basidiomycota	0.292747735955666	0.924115636626017	0.572767309478477
Calditrichaeota	0.434908485585523	0.770508498052317	0.698960066119591
Candidatus Bipolaricaulota	0.00924803531278773	3.22338473262823	0.142280637046872
Candidatus Cloacimonetes	0.821431278378383	-0.252391819668861	0.882910166774541
Candidatus Gracilibacteria	0.306847524359338	-1.38078691384846	0.575339108173759
Candidatus Saccharibacteria	0.278595584887062	-1.16300733690012	0.572767309478477
Chlamydiae	0.291324685125093	-0.781711420225852	0.572767309478477
Chlorobi	0.266872115334807	0.878798451116454	0.572767309478477
Chloroflexi	0.0714089422492757	1.62496582030227	0.401675300152176
Chrysiogenetes	0.0537027455307455	1.95875059999808	0.345231935554793
Coprothermobacterota	0.239636921861596	1.56902781516898	0.572767309478477
Crenarchaeota	0.912631378018052	-0.0878928887145284	0.921843728882225
Cyanobacteria	0.594106269102757	0.381321222613503	0.791133927615861
Deferribacteres	0.918261697073202	-0.0826221645382299	0.921843728882225
Deinococcus-Thermus	0.0144361467921323	2.47304153945654	0.142280637046872
Dictyoglomi	0.921843728882225	-0.0929460813646793	0.921843728882225
Elusimicrobia	0.398889409859192	-0.681004450925118	0.690385517063986
Euryarchaeota	0.347361379051165	1.57802425570838	0.625250482292097
Fibrobacteres	0.419175554339478	0.841253856039417	0.698625923899129
Firmicutes	0.659871430045967	-0.203168750524479	0.80254633383969
Fusobacteria	0.148306343392466	-1.47659442539813	0.417255293260583
Gemmatimonadetes	0.0158089596718747	2.4879060262206	0.142280637046872
Ignavibacteriae	0.744956091436364	0.291986329193176	0.83807560286591
Kiritimatiellaeota	0.00693270345117856	2.63222252190669	0.142280637046872
Lentisphaerae	0.0126723612768463	3.36304102170938	0.142280637046872
Microsporidia	0.216668472220245	-1.19187207199492	0.572767309478477
Negarnaviricota	0.604102963384741	-0.614705489577119	0.791133927615861
Nitrospirae	0.61532638814567	0.362764289349369	0.791133927615861
Planctomycetes	0.125498413984069	1.28042303381262	0.417255293260583
Proteobacteria	0.046538515851341	1.65244200837479	0.345231935554793
Spirochaetes	0.680459276825684	0.287378262424522	0.805807038346204
Synergistetes	0.100617820508868	1.81786613224078	0.417255293260583
Tenericutes	0.591917146898744	-0.468864509141285	0.791133927615861
Thaumarchaeota	0.461306601964972	-0.550835290837034	0.712878120142353
Thermodesulfobacteria	0.824049488989571	0.184608131224891	0.882910166774541
Thermotogae	0.643020791727267	-0.353424006344246	0.80254633383969
Verrucomicrobia	0.28681040966022	2.51561837535879	0.572767309478477
candidate division Zixibacteria	0.148357437603763	1.62917660082118	0.417255293260583
