p-variable	slope	adjusted.p-variable
Acidobacteria	0.0413276742671043	2.08870891519083	0.206638371335521
Actinobacteria	0.520032286280969	-1.18975632225123	0.692716211357554
Aquificae	0.918855163958948	-0.0986801769766167	0.918855163958948
Armatimonadetes	0.0502146968608209	2.09410954509976	0.225966135873694
Ascomycota	0.448759162909242	-0.575099373331919	0.692716211357554
Bacteroidetes	0.00173124797696621	5.31182813289004	0.0389530794817398
Balneolaeota	0.101671790113463	2.56317260927984	0.285951909694114
Basidiomycota	0.373347500681503	1.03781452637767	0.64617836656414
Calditrichaeota	0.215713731530722	1.56029663159137	0.485355895944125
Candidatus Bipolaricaulota	0.00262782985765566	4.55798906360794	0.0394174478648349
Candidatus Cloacimonetes	0.640803366008925	0.639619226491281	0.77935544514599
Candidatus Gracilibacteria	0.274911014453896	-1.77182481965551	0.494839826017013
Candidatus Saccharibacteria	0.400086706920894	-1.12511292067587	0.66681117820149
Chlamydiae	0.514531630165178	-0.611937818405614	0.692716211357554
Chlorobi	0.119083588640864	1.48207097678257	0.315221264049345
Chloroflexi	0.0252484155060377	2.43626661533423	0.142022337221462
Chrysiogenetes	0.073343190243515	2.2236050190039	0.27673635393487
Coprothermobacterota	0.213863862033804	1.95266344916931	0.485355895944125
Crenarchaeota	0.812845926191819	-0.238543708604778	0.850652713456554
Cyanobacteria	0.466163945427155	0.626477908578655	0.692716211357554
Deferribacteres	0.713487020629443	0.367759948532259	0.823254254572435
Deinococcus-Thermus	0.00761791508721348	3.29503597909756	0.0571343631541011
Dictyoglomi	0.793070499505807	-0.319166817043185	0.84971839232765
Elusimicrobia	0.849551546610872	-0.182692380885605	0.868859536306574
Euryarchaeota	0.263276635087937	2.3108713564859	0.493643690789882
Fibrobacteres	0.233844620475092	1.42516620201006	0.493643690789882
Firmicutes	0.245609886131128	-0.667900297303561	0.493643690789882
Fusobacteria	0.100508447997934	-2.16271309743552	0.285951909694114
Gemmatimonadetes	0.00428153089454421	3.57021755321838	0.0481672225636224
Ignavibacteriae	0.695295488717563	0.429866438612992	0.823254254572435
Kiritimatiellaeota	0.000488632215597117	4.06689152999806	0.0219884497018702
Lentisphaerae	0.00638135542223683	4.69603500103647	0.0571343631541011
Microsporidia	0.257727465709389	-1.33398007470828	0.493643690789882
Negarnaviricota	0.478399693481324	-1.0997241014641	0.692716211357554
Nitrospirae	0.439539322996688	0.686003829929928	0.692716211357554
Planctomycetes	0.0737963610492987	1.81131977888191	0.27673635393487
Proteobacteria	0.0863878173606373	1.60623244943008	0.285951909694114
Spirochaetes	0.558768216885609	0.490133350383541	0.718416278852926
Synergistetes	0.01137632058967	2.86468276821901	0.0731334895050215
Tenericutes	0.734784260339868	-0.357732772160957	0.826632292882352
Thaumarchaeota	0.523385581914596	-0.599106108435399	0.692716211357554
Thermodesulfobacteria	0.77427564578699	0.303632426873231	0.84971839232765
Thermotogae	0.621734605496559	-0.456000307929975	0.777168256870699
Verrucomicrobia	0.0978334473739408	4.44152458921193	0.285951909694114
candidate division Zixibacteria	0.182954188872559	1.84521535379515	0.457385472181398
