p-variable	slope	adjusted.p-variable
Acidobacteria	0.182500212855572	0.0532245961067257	0.693869875556631
Actinobacteria	0.216484677814051	-0.0872539076937712	0.707772323547442
Aquificae	0.881697861292257	0.00553991511839654	0.953709442136366
Armatimonadetes	0.185031966815102	0.0551759808714513	0.693869875556631
Ascomycota	0.573300904804925	-0.0164603835082504	0.859951357207388
Bacteroidetes	0.0227282220175847	0.152621376271184	0.693869875556631
Balneolaeota	0.518096252331118	0.0394423514454076	0.859951357207388
Basidiomycota	0.824682519734598	0.00997158938656799	0.941989379110603
Calditrichaeota	0.248642905058732	0.0559526883324492	0.707772323547442
Candidatus Bipolaricaulota	0.0535097205650675	0.116100882705767	0.693869875556631
Candidatus Cloacimonetes	0.939769651638928	-0.00398639158002666	0.96112805281254
Candidatus Gracilibacteria	0.911322355819195	-0.00699719145567777	0.953709442136366
Candidatus Saccharibacteria	0.42334193428061	-0.041162110292244	0.82827769750554
Chlamydiae	0.39955991682648	-0.0303442587298946	0.817281648054164
Chlorobi	0.280649219506739	0.0397363721993033	0.742894992811955
Chloroflexi	0.162584976281133	0.0595361403454049	0.693869875556631
Chrysiogenetes	0.357877175741529	0.0445207651767861	0.817281648054164
Coprothermobacterota	0.052041515045559	0.115712262181904	0.693869875556631
Crenarchaeota	0.559737602087543	-0.0225459243653253	0.859951357207388
Cyanobacteria	0.624000275674162	0.0162256707774323	0.862950387226509
Deferribacteres	0.837323892542759	0.0079083780409874	0.941989379110603
Deinococcus-Thermus	0.164505820669873	0.0680804044922787	0.693869875556631
Dictyoglomi	0.53786467474945	-0.0287527347060421	0.859951357207388
Elusimicrobia	0.967302299492677	-0.00151770915187663	0.967302299492677
Euryarchaeota	0.679444244759922	-0.0330270936141222	0.87632247633576
Fibrobacteres	0.228115645216444	0.055440750164983	0.707772323547442
Firmicutes	0.442566468512143	-0.017056427060533	0.828608200525119
Fusobacteria	0.251652381705757	-0.0585120178464168	0.707772323547442
Gemmatimonadetes	0.090392509555267	0.0839839829630426	0.693869875556631
Ignavibacteriae	0.681584148261146	0.0173057514790652	0.87632247633576
Kiritimatiellaeota	0.0624722639158169	0.08796729518859	0.693869875556631
Lentisphaerae	0.127429841492911	0.104046023881731	0.693869875556631
Microsporidia	0.496889032331911	-0.0309331957402489	0.859951357207388
Negarnaviricota	0.706398413569653	0.0225110110434078	0.877172937075629
Nitrospirae	0.628327091839951	0.0165493039504124	0.862950387226509
Planctomycetes	0.39444107626268	0.0336663966572104	0.817281648054164
Proteobacteria	0.460337889180622	0.0269737430078293	0.828608200525119
Spirochaetes	0.798471739963994	0.00824065329202988	0.941989379110603
Synergistetes	0.341910746689143	0.0427544567444749	0.817281648054164
Tenericutes	0.721231081595517	-0.014480621943053	0.877172937075629
Thaumarchaeota	0.38659257230228	-0.0311760270642543	0.817281648054164
Thermodesulfobacteria	0.90153892813238	-0.00503643601464353	0.953709442136366
Thermotogae	0.632830283966106	-0.0169720244730157	0.862950387226509
Verrucomicrobia	0.164057383932955	0.14420439103624	0.693869875556631
candidate division Zixibacteria	0.184997445967947	0.0705977188895935	0.693869875556631
