p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.0812277873047218	0.300047188464382	0.319292107882064	0.0012835312488699	0.614632180943597	0.836925091190824	0.908669948483894
Actinobacteria	0.220393413814325	0.339063808943141	0.289298601858225	0.00106984460378299	0.62156459659606	0.836925091190824	0.908669948483894
Aquificae	0.296108584767221	0.227555482235348	0.243120899588619	0.000670155167239285	0.66193038814019	0.836925091190824	0.908669948483894
Armatimonadetes	0.0872556228791457	0.463154272118964	0.524438874230998	0.00110562705213754	0.614632180943597	0.836925091190824	0.908669948483894
Ascomycota	0.515434307670717	0.48909432990483	0.465158264700569	0.000373137798188644	0.748211091780072	0.836925091190824	0.908669948483894
Bacteroidetes	0.679230173899138	0.285203153462575	0.277600744411143	0.000395055699292131	0.826090752039492	0.836925091190824	0.908669948483894
Balneolaeota	0.493438857539658	0.875693735027789	0.897338904763217	0.000495021069518137	0.746306320690653	0.964396389400291	0.990777771896346
Basidiomycota	0.0694705064055627	0.400278183916932	0.430690962498228	0.0011535546037244	0.614632180943597	0.836925091190824	0.908669948483894
Calditrichaeota	0.0243914899464007	0.819000770350494	0.799956814994984	0.00143299240098669	0.614632180943597	0.964396389400291	0.990777771896346
Candidatus Bipolaricaulota	0.190766941776645	0.640009151143048	0.747123271405956	0.00111701243451787	0.62156459659606	0.948525658881638	0.973279047283649
Candidatus Cloacimonetes	0.738371340739424	0.230649702717197	0.249476216617117	0.000273455912639382	0.836044322315533	0.836925091190824	0.908669948483894
Candidatus Gracilibacteria	0.228548916927033	0.650604558141577	0.6579868854365	-0.00138287033746243	0.62156459659606	0.948525658881638	0.973279047283649
Candidatus Saccharibacteria	0.308900847798755	0.282224576967753	0.306314513079172	0.000819962206145527	0.66193038814019	0.836925091190824	0.908669948483894
Chlamydiae	0.448188744140595	0.920018365646423	0.990104965785862	0.000426524711769664	0.746306320690653	0.964396389400291	0.990777771896346
Chlorobi	0.192631417769153	0.711521145900993	0.72942350546598	0.000825122783749072	0.62156459659606	0.948525658881638	0.973279047283649
Chloroflexi	0.147059627740823	0.520753390074291	0.565394634612201	0.00100832722984614	0.62156459659606	0.836925091190824	0.908669948483894
Chrysiogenetes	0.253814094214057	0.232045615077337	0.296028851834622	0.000872201120512619	0.634535235535142	0.836925091190824	0.908669948483894
Coprothermobacterota	0.497537547127102	0.0443640925704246	0.0455404267807221	0.000764618855778893	0.746306320690653	0.836925091190824	0.908669948483894
Crenarchaeota	0.990255163196231	0.24846759237254	0.233727308912786	-6.76717828274615e-06	0.990255163196231	0.836925091190824	0.908669948483894
Cyanobacteria	0.196813798519215	0.411210326017762	0.419167661847076	0.000732855003723115	0.62156459659606	0.836925091190824	0.908669948483894
Deferribacteres	0.594430138205936	0.700938548274595	0.727975956290645	0.000298341247149513	0.810586552099004	0.948525658881638	0.973279047283649
Deinococcus-Thermus	0.078664338945383	0.332369279173688	0.372821937732545	0.00138973876827191	0.614632180943597	0.836925091190824	0.908669948483894
Dictyoglomi	0.634934013775785	0.824497191273655	0.845033655050847	-0.000381026696696847	0.826090752039492	0.964396389400291	0.990777771896346
Elusimicrobia	0.122926436188719	0.996224036872127	0.924440014835187	0.000986386866091875	0.614632180943597	0.996224036872127	0.990777771896346
Euryarchaeota	0.486998247177908	0.828890026357187	0.925571396239241	0.000940150703730421	0.746306320690653	0.964396389400291	0.990777771896346
Fibrobacteres	0.494787271574555	0.307868521997482	0.317446141864798	0.000608510068349862	0.746306320690653	0.836925091190824	0.908669948483894
Firmicutes	0.0989392475585472	0.39933374116053	0.311893074130023	-0.000515757299672665	0.614632180943597	0.836925091190824	0.908669948483894
Fusobacteria	0.900130802599883	0.519002789746151	0.536963006985378	-8.83665581827692e-05	0.941997351558017	0.836925091190824	0.908669948483894
Gemmatimonadetes	0.116113912031916	0.481887397414242	0.511495369252207	0.00130730410981183	0.614632180943597	0.836925091190824	0.908669948483894
Ignavibacteriae	0.743150508724918	0.426001151466699	0.426693872349696	0.000238754384902104	0.836044322315533	0.836925091190824	0.908669948483894
