p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.287850083538065	0.744060667001906	0.736970808657578	-0.161410889056362	0.59658126937977	0.837068250377145	0.830832017631426
Actinobacteria	0.500728132906669	0.927423609520965	0.942808738622319	0.126303943465723	0.614293067375491	0.94850141882826	0.964236209954645
Aquificae	0.309255361416143	0.444545883708811	0.444346119552373	-0.145867633734168	0.59658126937977	0.787703849428184	0.774603765294867
Armatimonadetes	0.620822984189047	0.614694429090384	0.618818287517774	-0.0665942146166627	0.698425857212678	0.790321408830494	0.795623512522852
Ascomycota	0.195985400712087	0.597299236033051	0.585256178222789	-0.155581334137073	0.59658126937977	0.790321408830494	0.774603765294867
Bacteroidetes	0.323902707943554	0.415009879224589	0.413052026336234	0.226759514524561	0.59658126937977	0.787703849428184	0.774603765294867
Balneolaeota	0.274939397733691	0.541789273055995	0.53928219978903	-0.168809559151825	0.59658126937977	0.787703849428184	0.774603765294867
Basidiomycota	0.285279229864962	0.441462937933401	0.437819700652565	-0.141470447561242	0.59658126937977	0.787703849428184	0.774603765294867
Calditrichaeota	0.586681607770538	0.912746528199542	0.903951068809011	-0.0741033305729308	0.676940316658313	0.94850141882826	0.945995304567569
Candidatus Bipolaricaulota	0.224868552365965	0.0345704313484798	0.0357948933641341	-0.211411524562756	0.59658126937977	0.787703849428184	0.774603765294867
Candidatus Cloacimonetes	0.36399936593493	0.408925832449441	0.41236256501545	-0.177659580207979	0.59658126937977	0.787703849428184	0.774603765294867
Candidatus Gracilibacteria	0.808672589063311	0.727795952753609	0.719987671426449	0.0582393680248052	0.846285267624395	0.837068250377145	0.830832017631426
Candidatus Saccharibacteria	0.717272577886004	0.387669419201456	0.386925515542271	-0.0622549892822917	0.76850633344929	0.787703849428184	0.774603765294867
Chlamydiae	0.39772084625318	0.974173794302489	0.968466304241165	-0.103983788389644	0.59658126937977	0.974173794302489	0.968466304241165
Chlorobi	0.192783795436218	0.302352398561876	0.298567901138355	-0.173452887711322	0.59658126937977	0.787703849428184	0.774603765294867
Chloroflexi	0.128568907244291	0.322572953740874	0.321184179648242	-0.220770468574432	0.59658126937977	0.787703849428184	0.774603765294867
Chrysiogenetes	0.448951140260764	0.303051029318335	0.311745175730154	-0.120355628322462	0.602357309057318	0.787703849428184	0.774603765294867
Coprothermobacterota	0.252852678935493	0.429032214701057	0.433833097894003	-0.272736559464877	0.59658126937977	0.787703849428184	0.774603765294867
Crenarchaeota	0.36030567662585	0.402326295111248	0.397209465891549	-0.10837343755484	0.59658126937977	0.787703849428184	0.774603765294867
Cyanobacteria	0.220206784908152	0.349588539407981	0.344541077388559	-0.146397255648641	0.59658126937977	0.787703849428184	0.774603765294867
Deferribacteres	0.505085410953182	0.737821716622929	0.738517349005712	-0.081097521179825	0.614293067375491	0.837068250377145	0.830832017631426
Deinococcus-Thermus	0.309641399114906	0.446501617173683	0.445586874839745	-0.165116078308327	0.59658126937977	0.787703849428184	0.774603765294867
Dictyoglomi	0.446381457575056	0.548233206739358	0.551049818788114	-0.137199398152003	0.602357309057318	0.787703849428184	0.774603765294867
Elusimicrobia	0.385460090127418	0.305504684047493	0.307714667462997	-0.119847464646965	0.59658126937977	0.787703849428184	0.774603765294867
Euryarchaeota	0.0386438169805192	0.217907588822317	0.220500925364516	-0.578187347699857	0.59658126937977	0.787703849428184	0.774603765294867
Fibrobacteres	0.144610679016301	0.432782981772735	0.428724298433554	-0.273318128003637	0.59658126937977	0.787703849428184	0.774603765294867
Firmicutes	0.199904047685521	0.769909627657112	0.792916902220632	-0.0888238730809796	0.59658126937977	0.845022762062684	0.870274648778743
Fusobacteria	0.64454913842911	0.577649489580668	0.581041970003481	-0.0720140045417073	0.707431981202682	0.787703849428184	0.774603765294867
Gemmatimonadetes	0.381932855501624	0.564036514168094	0.56011593227183	-0.14950293207788	0.59658126937977	0.787703849428184	0.774603765294867
Ignavibacteriae	0.939243292722334	0.561225083199352	0.562130781480937	0.0120106540448496	0.939243292722334	0.787703849428184	0.774603765294867
Kiritimatiellaeota	0.532032040557197	0.71768016649277	0.72148720250543	-0.0976007896333188	0.630037942765102	0.837068250377145	0.830832017631426
Lentisphaerae	0.468500129266803	0.211145065466074	0.207232612681633	-0.194601284481507	0.602357309057318	0.787703849428184	0.774603765294867
Microsporidia	0.459725567016939	0.477461252178741	0.489591644256044	-0.123927062704791	0.602357309057318	0.787703849428184	0.774603765294867
Negarnaviricota	0.219831738669989	0.144082176179468	0.140131164426145	0.220518029107425	0.59658126937977	0.787703849428184	0.774603765294867
Nitrospirae	0.280965016403454	0.136274926233273	0.135236115936985	-0.143481429583023	0.59658126937977	0.787703849428184	0.774603765294867
Planctomycetes	0.337679528454764	0.538027058800493	0.535502506490739	-0.135192968295536	0.59658126937977	0.787703849428184	0.774603765294867
Proteobacteria	0.216689755891086	0.697100127647252	0.714725387110138	-0.179328036920805	0.59658126937977	0.837068250377145	0.830832017631426
Spirochaetes	0.24629530355876	0.417639422328367	0.417332241643117	-0.140037056092968	0.59658126937977	0.787703849428184	0.774603765294867
Synergistetes	0.0824333039390398	0.502226660629688	0.5094945749255	-0.333520733450353	0.59658126937977	0.787703849428184	0.774603765294867
Tenericutes	0.465378255256641	0.381885463503369	0.386207292633565	-0.12338890014549	0.602357309057318	0.787703849428184	0.774603765294867
Thaumarchaeota	0.309030437835026	0.402516343642699	0.404903662587662	-0.139532467211244	0.59658126937977	0.787703849428184	0.774603765294867
Thermodesulfobacteria	0.122365760354389	0.242704517091574	0.245301147749655	-0.202455721226737	0.59658126937977	0.787703849428184	0.774603765294867
Thermotogae	0.0786102753578076	0.309360536344766	0.30774962331551	-0.23917370626674	0.59658126937977	0.787703849428184	0.774603765294867
Verrucomicrobia	0.830029430398119	0.479440588698482	0.482892929848121	-0.0955733711464368	0.84889373563444	0.787703849428184	0.774603765294867
candidate division Zixibacteria	0.372239135276419	0.884372312096363	0.886590305144924	-0.149573964089533	0.59658126937977	0.947541762960389	0.945995304567569
