p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.837427523852789	0.999755035385314	0.787258807197075	0.00135508819079315	0.987229409310697	0.999755035385314	0.997001918859237
Actinobacteria	0.811427807190541	0.199594082068858	0.0719198596932834	0.00201136993557783	0.987229409310697	0.988199577524249	0.997001918859237
Aquificae	0.812864895903559	0.519553139469622	0.453162665903367	-0.00158316001937	0.987229409310697	0.988199577524249	0.997001918859237
Armatimonadetes	0.830464935802399	0.543212444105754	0.595873683884067	-0.00122694571287297	0.987229409310697	0.988199577524249	0.997001918859237
Ascomycota	0.988826853107095	0.796601566953857	0.967661316538379	-7.85265781339514e-05	0.988826853107095	0.988199577524249	0.997001918859237
Bacteroidetes	0.403061666260271	0.295501588711351	0.254507030633006	-0.00845700539525211	0.987229409310697	0.988199577524249	0.997001918859237
Balneolaeota	0.562090691443665	0.597588841892022	0.718082645622047	-0.00412414487945463	0.987229409310697	0.988199577524249	0.997001918859237
Basidiomycota	0.341188325214696	0.759456893944414	0.674081877593316	0.00566804620745254	0.987229409310697	0.988199577524249	0.997001918859237
Calditrichaeota	0.654164806965159	0.456693713851134	0.521329017813464	0.00284938633745239	0.987229409310697	0.988199577524249	0.997001918859237
Candidatus Bipolaricaulota	0.728348875483362	0.944279596300949	0.77562684897447	0.00288510865667885	0.987229409310697	0.988199577524249	0.997001918859237
Candidatus Cloacimonetes	0.0525048068071499	0.568462887526758	0.503574450597464	-0.0171363776480848	0.987229409310697	0.988199577524249	0.997001918859237
Candidatus Gracilibacteria	0.100144346912198	0.668013189561527	0.648964739067774	-0.0188544624995424	0.987229409310697	0.988199577524249	0.997001918859237
Candidatus Saccharibacteria	0.344289594473441	0.213759423654682	0.130897475668262	-0.00712062894212596	0.987229409310697	0.988199577524249	0.997001918859237
Chlamydiae	0.437124996844077	0.427455461435043	0.509043734966863	0.00452901038524205	0.987229409310697	0.988199577524249	0.997001918859237
Chlorobi	0.943352546674666	0.301006109295266	0.427166068382908	-0.000422814676573576	0.987229409310697	0.988199577524249	0.997001918859237
Chloroflexi	0.357271614453396	0.904023664361703	0.950803069475192	0.00600860287663953	0.987229409310697	0.988199577524249	0.997001918859237
Chrysiogenetes	0.896317932229789	0.820882123817261	0.997001918859237	0.000912931089310559	0.987229409310697	0.988199577524249	0.997001918859237
