p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.645350303092822	0.864873817409871	0.977625461886826	-5.54436775635995e-06	0.790178166202636	0.985593766781397	0.977625461886826
Actinobacteria	0.278664968295378	0.89799639139144	0.587865624727404	1.69324341932546e-05	0.534066288668737	0.985593766781397	0.977625461886826
Aquificae	0.280738033673847	0.51331869270666	0.439869656474447	-1.28052781645521e-05	0.534066288668737	0.985593766781397	0.977625461886826
Armatimonadetes	0.649314683826598	0.338529869429172	0.250345470461047	-4.96535536087914e-06	0.790178166202636	0.985593766781397	0.977625461886826
Ascomycota	0.331894287035858	0.700994188965404	0.409670917468474	-9.48170694029805e-06	0.534066288668737	0.985593766781397	0.977625461886826
Bacteroidetes	0.806776033941093	0.262136794938181	0.234083368258182	-4.55084883583351e-06	0.845878652519714	0.985593766781397	0.977625461886826
Balneolaeota	0.106121651853523	0.322421433894463	0.401722323115807	-2.07652323024628e-05	0.534066288668737	0.985593766781397	0.977625461886826
Basidiomycota	0.684821077375618	0.931219082540856	0.854780554938318	-4.35248029768795e-06	0.790178166202636	0.985593766781397	0.977625461886826
Calditrichaeota	0.77566381896917	0.781752893324174	0.886085902782929	3.21923939104745e-06	0.845878652519714	0.985593766781397	0.977625461886826
Candidatus Bipolaricaulota	0.863152935159282	0.295915900881653	0.522728569725203	2.52008975122687e-06	0.863152935159282	0.985593766781397	0.977625461886826
Candidatus Cloacimonetes	0.00869006810238879	0.936190202715632	0.936166483379842	-4.16674062013799e-05	0.391053064607496	0.985593766781397	0.977625461886826
Candidatus Gracilibacteria	0.109420788586703	0.368920359279869	0.36210810152522	-3.10747159372994e-05	0.534066288668737	0.985593766781397	0.977625461886826
Candidatus Saccharibacteria	0.324756728167807	0.501175102146611	0.487285028411468	-1.41635592899816e-05	0.534066288668737	0.985593766781397	0.977625461886826
Chlamydiae	0.515500924336649	0.821222796409977	0.966909354621095	-6.68041235617562e-06	0.689859414293173	0.985593766781397	0.977625461886826
Chlorobi	0.344176052697631	0.531930125657676	0.649439874358004	-1.04493630255481e-05	0.534066288668737	0.985593766781397	0.977625461886826
Chloroflexi	0.827081349130387	0.906829741106748	0.841660020926583	-2.61347563861022e-06	0.845878652519714	0.985593766781397	0.977625461886826
Chrysiogenetes	0.518945592867438	0.981301968057395	0.654526503165528	-8.42912264578849e-06	0.689859414293173	0.985593766781397	0.977625461886826
Coprothermobacterota	0.521227113021509	0.812444259284977	0.877767982950134	-1.25564181701475e-05	0.689859414293173	0.985593766781397	0.977625461886826
Crenarchaeota	0.262892510040449	0.706979507407959	0.466298728247652	-1.09267734635735e-05	0.534066288668737	0.985593766781397	0.977625461886826
Cyanobacteria	0.305429318194759	0.875014901906098	0.65667247197732	-1.00629875827425e-05	0.534066288668737	0.985593766781397	0.977625461886826
Deferribacteres	0.286063493070647	0.79884117872209	0.725883244511769	-1.07962793209864e-05	0.534066288668737	0.985593766781397	0.977625461886826
Deinococcus-Thermus	0.769119606410574	0.702552253366952	0.651705013962985	-3.80718719666764e-06	0.845878652519714	0.985593766781397	0.977625461886826
Dictyoglomi	0.160107655699273	0.940957107177318	0.968092295455598	-2.10715557410847e-05	0.534066288668737	0.985593766781397	0.977625461886826
Elusimicrobia	0.662077518784478	0.509093363871866	0.552656161571578	-5.01587576553364e-06	0.790178166202636	0.985593766781397	0.977625461886826
Euryarchaeota	0.818588680269971	0.927756942088128	0.559091144577821	5.13014747991781e-06	0.845878652519714	0.985593766781397	0.977625461886826
