p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.276785247356126	0.553596088787423	0.701515614149656	-0.00981843350166895	0.389229254094552	0.994211165997101	0.954176635748933
Actinobacteria	0.129129683547827	0.662554266544298	0.480119153832924	0.0163393685175703	0.389229254094552	0.994211165997101	0.954176635748933
Aquificae	0.125559358261963	0.925217115199295	0.802447034204208	-0.0122339625148525	0.389229254094552	0.994211165997101	0.954176635748933
Armatimonadetes	0.184295588826328	0.178991615333934	0.170996800471538	-0.0103908792228402	0.389229254094552	0.994211165997101	0.954176635748933
Ascomycota	0.198622449869981	0.828271390936053	0.519634010416395	-0.00905217222210108	0.389229254094552	0.994211165997101	0.954176635748933
Bacteroidetes	0.507707968260608	0.237446195650547	0.224262276403291	-0.00808406283860777	0.585816886454548	0.994211165997101	0.954176635748933
Balneolaeota	0.0373942053172817	0.149377208091149	0.20141234940999	-0.0181679598789194	0.389229254094552	0.994211165997101	0.954176635748933
Basidiomycota	0.654192835392324	0.92932829501955	0.857904522285161	-0.00347178896833746	0.718016526650112	0.994211165997101	0.954176635748933
Calditrichaeota	0.974424698431924	0.999779241830791	0.865764289777276	-0.000252490504934832	0.979468754700231	0.999779241830791	0.954176635748933
Candidatus Bipolaricaulota	0.401882540522554	0.835664859754084	0.97940047167274	-0.00879905156036598	0.488776062797701	0.994211165997101	0.99636976807149
Candidatus Cloacimonetes	0.000744445561989573	0.313443875589897	0.394483952280443	-0.0341845195877634	0.0335000502895308	0.994211165997101	0.954176635748933
Candidatus Gracilibacteria	0.710511359152694	0.972117584530499	0.943681651977317	-0.00524912414780112	0.761262170520744	0.994211165997101	0.987573821836727
Candidatus Saccharibacteria	0.335691377833114	0.214395964028281	0.202346599464967	-0.00960086103212842	0.444297411837945	0.994211165997101	0.954176635748933
Chlamydiae	0.270730129000525	0.903932422132558	0.834397838678838	-0.00755878336257913	0.389229254094552	0.994211165997101	0.954176635748933
Chlorobi	0.111030035130036	0.352176130312669	0.485670517483331	-0.0123608048809408	0.389229254094552	0.994211165997101	0.954176635748933
Chloroflexi	0.216255197137203	0.485014680475332	0.533967810744884	-0.0105312360530851	0.389229254094552	0.994211165997101	0.954176635748933
Chrysiogenetes	0.254882229159125	0.657795366169704	0.49477527556705	-0.0106365248076804	0.389229254094552	0.994211165997101	0.954176635748933
Coprothermobacterota	0.602960107302294	0.749858770476486	0.808087305497269	-0.00749231910455211	0.678330120715081	0.994211165997101	0.954176635748933
Crenarchaeota	0.355834324331515	0.823399603314065	0.618889154118332	-0.00636858231548191	0.457501274140519	0.994211165997101	0.954176635748933
Cyanobacteria	0.14648727220845	0.912146897963057	0.841568326291782	-0.0101679438796662	0.389229254094552	0.994211165997101	0.954176635748933
Deferribacteres	0.262181833622173	0.890442761956271	0.79786520918952	-0.007862580668475	0.389229254094552	0.994211165997101	0.954176635748933
Deinococcus-Thermus	0.459895807297136	0.489897703161892	0.503254000988452	-0.00715393265878349	0.544613456009767	0.994211165997101	0.954176635748933
Dictyoglomi	0.29361865447141	0.882289837116342	0.877518719568893	-0.0104484278943446	0.400389074279195	0.994211165997101	0.954176635748933
Elusimicrobia	0.385906433221804	0.627065615038469	0.605325589389661	-0.00692704163295806	0.482383041527254	0.994211165997101	0.954176635748933
Euryarchaeota	0.979468754700231	0.873671427287368	0.62389828848072	-0.000425440542655588	0.979468754700231	0.994211165997101	0.954176635748933
Fibrobacteres	0.155736330136934	0.697708602734643	0.858872213011038	-0.0158077743531699	0.389229254094552	0.994211165997101	0.954176635748933
Firmicutes	0.820532573345151	0.788929229436016	0.444819134235841	-0.000917819167927439	0.858696879082135	0.994211165997101	0.954176635748933
Fusobacteria	0.130366028057475	0.956864701799308	0.874569445119503	-0.0132214235408815	0.389229254094552	0.994211165997101	0.954176635748933
Gemmatimonadetes	0.243111495685247	0.467376412564248	0.587141298087863	-0.0119536909752494	0.389229254094552	0.994211165997101	0.954176635748933
Ignavibacteriae	0.0398329741880232	0.0562009443084178	0.0842606873005721	-0.0184840543868274	0.389229254094552	0.994211165997101	0.954176635748933
Kiritimatiellaeota	0.228939511638553	0.225788190478104	0.206644295674468	-0.0108594816593274	0.389229254094552	0.994211165997101	0.954176635748933
Lentisphaerae	0.00491107521484404	0.0126564798485126	0.0389300502228263	-0.0436053508003169	0.110499192333991	0.569541593183065	0.954176635748933
Microsporidia	0.0563041472092567	0.134288290480701	0.0801370896081648	-0.0180876341185488	0.389229254094552	0.994211165997101	0.954176635748933
Negarnaviricota	0.23109765073337	0.836617673923904	0.813230962919365	-0.0123864925912912	0.389229254094552	0.994211165997101	0.954176635748933
