p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.947334230260214	0.964785538013341	0.943382393072649	2.82916777015825e-06	0.965110560623583	0.994769989030923	0.989020604170103
Actinobacteria	0.425752104470725	0.958248789179004	0.875069582109291	4.62435114078168e-05	0.965110560623583	0.994769989030923	0.989020604170103
Aquificae	0.406703555624041	0.621722564917351	0.567014405606026	-3.79404447257898e-05	0.965110560623583	0.994769989030923	0.989020604170103
Armatimonadetes	0.316599888879101	0.335104627900092	0.209419821357433	3.96821371161615e-05	0.965110560623583	0.994769989030923	0.989020604170103
Ascomycota	0.362390162883769	0.716208248110961	0.469764735511972	-3.26241076682858e-05	0.965110560623583	0.994769989030923	0.989020604170103
Bacteroidetes	0.619479495076263	0.44768654554696	0.423996820072827	3.69211013295034e-05	0.965110560623583	0.994769989030923	0.989020604170103
Balneolaeota	0.660298619160968	0.297386238518417	0.391966072414719	-2.08003128058409e-05	0.965110560623583	0.994769989030923	0.989020604170103
Basidiomycota	0.965110560623583	0.772516598175218	0.777039144497303	-1.68763711667122e-06	0.965110560623583	0.994769989030923	0.989020604170103
Calditrichaeota	0.409688671129317	0.876694177109405	0.83683778145141	3.41930070628804e-05	0.965110560623583	0.994769989030923	0.989020604170103
Candidatus Bipolaricaulota	0.739394242356582	0.382835614178224	0.578074683035189	-1.78115928503251e-05	0.965110560623583	0.994769989030923	0.989020604170103
Candidatus Cloacimonetes	0.0746918210335691	0.638444527767734	0.868732745643703	-0.000110373615694014	0.965110560623583	0.994769989030923	0.989020604170103
Candidatus Gracilibacteria	0.956408227700698	0.611117789470251	0.545686914531469	-3.85350231371646e-06	0.965110560623583	0.994769989030923	0.989020604170103
Candidatus Saccharibacteria	0.907465104545094	0.820768554758326	0.787591167342011	-6.22208901301397e-06	0.965110560623583	0.994769989030923	0.989020604170103
Chlamydiae	0.821231808834402	0.796208558381043	0.93822034773523	-8.79390535571886e-06	0.965110560623583	0.994769989030923	0.989020604170103
Chlorobi	0.933929883646029	0.586094786966259	0.668986945602952	-3.36103344965907e-06	0.965110560623583	0.994769989030923	0.989020604170103
