p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.947334230070258	0.964785537992053	0.943382393093604	2.82916778026944e-06	0.965110560512727	0.994769988725149	0.989020604257704
Actinobacteria	0.425752104643427	0.95824878893325	0.87506958234061	4.62435113938283e-05	0.965110560512727	0.994769988725149	0.989020604257704
Aquificae	0.406703555644503	0.621722564916182	0.567014405608844	-3.79404447240421e-05	0.965110560512727	0.994769988725149	0.989020604257704
Armatimonadetes	0.316599890751497	0.335104627935447	0.209419821755237	3.96821369735128e-05	0.965110560512727	0.994769988725149	0.989020604257704
Ascomycota	0.362390164602851	0.716208247959349	0.469764735634404	-3.26241075356053e-05	0.965110560512727	0.994769988725149	0.989020604257704
Bacteroidetes	0.619479494980109	0.447686545658826	0.423996820179386	3.69211013400984e-05	0.965110560512727	0.994769988725149	0.989020604257704
Balneolaeota	0.660298619403502	0.297386238517235	0.391966072377386	-2.08003127892522e-05	0.965110560512727	0.994769988725149	0.989020604257704
Basidiomycota	0.965110560512727	0.772516598186324	0.777039144484917	-1.68763712206925e-06	0.965110560512727	0.994769988725149	0.989020604257704
Calditrichaeota	0.409688670887565	0.876694177171347	0.836837781445843	3.41930070785575e-05	0.965110560512727	0.994769988725149	0.989020604257704
Candidatus Bipolaricaulota	0.739394242514603	0.382835614097247	0.578074682981132	-1.78115928385324e-05	0.965110560512727	0.994769988725149	0.989020604257704
Candidatus Cloacimonetes	0.0746918211184678	0.638444527537721	0.868732745345227	-0.000110373615660713	0.965110560512727	0.994769988725149	0.989020604257704
Candidatus Gracilibacteria	0.956408228924645	0.611117788882466	0.545686913741578	-3.853502204624e-06	0.965110560512727	0.994769988725149	0.989020604257704
Candidatus Saccharibacteria	0.90746510473479	0.820768554696847	0.787591167258289	-6.22208899999708e-06	0.965110560512727	0.994769988725149	0.989020604257704
Chlamydiae	0.821231810091949	0.796208558340968	0.938220347995188	-8.79390529203971e-06	0.965110560512727	0.994769988725149	0.989020604257704
Chlorobi	0.93392988500773	0.586094787009388	0.668986945420069	-3.36103337956342e-06	0.965110560512727	0.994769988725149	0.989020604257704
Chloroflexi	0.916147477589634	0.972663988975701	0.894183735678735	4.60829778235281e-06	0.965110560512727	0.994769988725149	0.989020604257704
Chrysiogenetes	0.75171550948077	0.920194662634835	0.716932764863461	1.49610950954879e-05	0.965110560512727	0.994769988725149	0.989020604257704
Coprothermobacterota	0.849740712959908	0.941676360427872	0.898159044705018	1.33913233466004e-05	0.965110560512727	0.994769988725149	0.989020604257704
Crenarchaeota	0.248727115548509	0.571118607683047	0.376883975593913	-4.17933981747355e-05	0.965110560512727	0.994769988725149	0.989020604257704
Cyanobacteria	0.511286579212643	0.93596313174369	0.761325709119879	-2.364453379602e-05	0.965110560512727	0.994769988725149	0.989020604257704
Deferribacteres	0.468781103482546	0.940039919572905	0.862086893299222	-2.74973651735977e-05	0.965110560512727	0.994769988725149	0.989020604257704
Deinococcus-Thermus	0.528227977645759	0.863087580424672	0.698857740771268	2.9148587936425e-05	0.965110560512727	0.994769988725149	0.989020604257704
Dictyoglomi	0.277306616564483	0.96018603398799	0.859352873774833	-6.26493415641444e-05	0.965110560512727	0.994769988725149	0.989020604257704
Elusimicrobia	0.625040609501266	0.890320634690754	0.910314302191952	-2.09217273363585e-05	0.965110560512727	0.994769988725149	0.989020604257704
Euryarchaeota	0.374853371187832	0.825610993852476	0.732050227809801	7.12310760886707e-05	0.965110560512727	0.994769988725149	0.989020604257704
Fibrobacteres	0.554395304313315	0.951202142260882	0.848572418788931	-3.30676309336782e-05	0.965110560512727	0.994769988725149	0.989020604257704
Firmicutes	0.220816393269022	0.553396327334881	0.233066265921874	-2.68945126884492e-05	0.965110560512727	0.994769988725149	0.989020604257704
Fusobacteria	0.190685070272811	0.831520401269308	0.692931547321974	-6.5191856292245e-05	0.965110560512727	0.994769988725149	0.989020604257704
Gemmatimonadetes	0.964490773829589	0.998992275081773	0.994203552674672	2.16672323496724e-06	0.965110560512727	0.998992275081773	0.994203552674672
Ignavibacteriae	0.77115692773476	0.172451439429551	0.250872963852131	-1.39630598340382e-05	0.965110560512727	0.994769988725149	0.989020604257704
Kiritimatiellaeota	0.643360298978905	0.50321399977358	0.389028054498166	2.14489974110377e-05	0.965110560512727	0.994769988725149	0.989020604257704
Lentisphaerae	0.380379975834911	0.0458328546041898	0.156335051325516	-7.04489773509875e-05	0.965110560512727	0.994769988725149	0.989020604257704
Microsporidia	0.626731178034465	0.313285455528344	0.241965737724179	-2.46592381098176e-05	0.965110560512727	0.994769988725149	0.989020604257704
Negarnaviricota	0.679660338947004	0.824746383881889	0.781675396065947	-2.31970271524293e-05	0.965110560512727	0.994769988725149	0.989020604257704
Nitrospirae	0.812424292401077	0.474816901972612	0.565374546777763	-9.7888599548227e-06	0.965110560512727	0.994769988725149	0.989020604257704
Planctomycetes	0.916042238975766	0.839768171011697	0.819381474829519	4.35770214182829e-06	0.965110560512727	0.994769988725149	0.989020604257704
Proteobacteria	0.343350793996054	0.352136051089697	0.577558593532961	-4.38300380246829e-05	0.965110560512727	0.994769988725149	0.989020604257704
Spirochaetes	0.60542143194655	0.929354567229568	0.903710079620919	-1.90102542994299e-05	0.965110560512727	0.994769988725149	0.989020604257704
Synergistetes	0.301203003741196	0.511006975584481	0.614524671397843	-6.09015292061119e-05	0.965110560512727	0.994769988725149	0.989020604257704
Tenericutes	0.172746847669238	0.44706506021251	0.406832506097745	-7.42053143186746e-05	0.965110560512727	0.994769988725149	0.989020604257704
Thaumarchaeota	0.229761774136984	0.931259270430893	0.945064132957362	-5.18667525408499e-05	0.965110560512727	0.994769988725149	0.989020604257704
Thermodesulfobacteria	0.297680772324438	0.752031613913306	0.757566341434379	-4.350911826758e-05	0.965110560512727	0.994769988725149	0.989020604257704
Thermotogae	0.0980389823189941	0.604143200812364	0.437110281899115	-7.00704723093712e-05	0.965110560512727	0.994769988725149	0.989020604257704
Verrucomicrobia	0.244608990323262	0.807274600975978	0.982511542031529	-0.000164756939461149	0.965110560512727	0.994769988725149	0.994203552674672
candidate division Zixibacteria	0.812563247997554	0.26234630668733	0.269208029010375	-1.01807869981871e-05	0.965110560512727	0.994769988725149	0.989020604257704
