p-variable	slope	adjusted.p-variable
Acidobacteria	0.335780333436747	0.293526430952176	0.744284908553726
Actinobacteria	0.0228878742520821	-0.71959471080784	0.744284908553726
Aquificae	0.515425094166844	0.178783258261609	0.773137641250267
Armatimonadetes	0.953098191927622	0.0141684828389942	0.953098191927622
Ascomycota	0.264050550838878	0.256439780374746	0.744284908553726
Bacteroidetes	0.912069783695285	-0.0555521278199688	0.953098191927622
Balneolaeota	0.829370889844328	0.0655704062240597	0.93238798161379
Basidiomycota	0.130114396679433	0.335910245853554	0.744284908553726
Calditrichaeota	0.844623460497906	0.0552090305686869	0.93238798161379
Candidatus Bipolaricaulota	0.437791914307889	0.268525374425265	0.744284908553726
Candidatus Cloacimonetes	0.135841869116388	0.515901682983688	0.744284908553726
Candidatus Gracilibacteria	0.665954074056525	0.193273322548147	0.862135710167531
Candidatus Saccharibacteria	0.933449387327759	-0.0273773354712676	0.953098191927622
Chlamydiae	0.777656548126869	0.0605085113810384	0.93238798161379
Chlorobi	0.565643896302097	0.144067391416208	0.799910966341994
Chloroflexi	0.457365705201302	0.205837401431295	0.744284908553726
Chrysiogenetes	0.281149441993874	0.331149907437716	0.744284908553726
Coprothermobacterota	0.222932819939139	0.509918479169112	0.744284908553726
Crenarchaeota	0.217559280555158	0.294394689397742	0.744284908553726
Cyanobacteria	0.367930756979773	0.210992431765162	0.744284908553726
Deferribacteres	0.895184397971615	0.0325326522219374	0.953098191927622
Deinococcus-Thermus	0.445779505479815	0.236168722229378	0.744284908553726
Dictyoglomi	0.367856160480315	0.241876303239094	0.744284908553726
Elusimicrobia	0.68111815260139	0.109846643206993	0.862135710167531
Euryarchaeota	0.803447630763354	-0.131877998257427	0.93238798161379
Fibrobacteres	0.268301640016956	0.401527217427342	0.744284908553726
Firmicutes	0.259479365855831	0.15195392199236	0.744284908553726
Fusobacteria	0.47965027440129	0.190826718772767	0.744284908553726
Gemmatimonadetes	0.28520896656121	0.336901691504559	0.744284908553726
Ignavibacteriae	0.420799343144861	0.230962453450494	0.744284908553726
Kiritimatiellaeota	0.689708568134025	0.111726440733745	0.862135710167531
Lentisphaerae	0.233828749970789	0.429736791519583	0.744284908553726
Microsporidia	0.441869563992293	0.226495423211476	0.744284908553726
Negarnaviricota	0.849509049914786	-0.0604301600564183	0.93238798161379
Nitrospirae	0.568825576065418	0.129767606812844	0.799910966341994
Planctomycetes	0.377989992409066	0.232309813631805	0.744284908553726
Proteobacteria	0.0935949021221676	0.495582184847052	0.744284908553726
Spirochaetes	0.440684753356647	0.177610683811789	0.744284908553726
Synergistetes	0.0594396137464908	0.795723887331827	0.744284908553726
Tenericutes	0.461756348810277	0.211492357954425	0.744284908553726
Thaumarchaeota	0.207154902072822	0.279191252638869	0.744284908553726
Thermodesulfobacteria	0.476714875511198	0.170423346444058	0.744284908553726
Thermotogae	0.229221088796413	0.295274015559398	0.744284908553726
Verrucomicrobia	0.243423278400866	0.96682365427104	0.744284908553726
candidate division Zixibacteria	0.68961748347433	0.143073796251701	0.862135710167531
