p-variable	slope	adjusted.p-variable
Acidobacteria	0.543047911930222	1.09490418002756e-05	0.919810717114734
Actinobacteria	0.335582450154413	-1.85802768649168e-05	0.919810717114734
Aquificae	0.432677284344463	1.26454097513183e-05	0.919810717114734
Armatimonadetes	0.870153876105113	-2.31232133388443e-06	0.975791139616489
Ascomycota	0.347903320608678	1.27008147754181e-05	0.919810717114734
Bacteroidetes	0.897397201713246	3.80997173216807e-06	0.975791139616489
Balneolaeota	0.833180753269792	-3.76406078819122e-06	0.975791139616489
Basidiomycota	0.403894232709463	1.10375636769424e-05	0.919810717114734
Calditrichaeota	0.837717480159021	3.38871049575744e-06	0.975791139616489
Candidatus Bipolaricaulota	0.591315011894097	1.09450882498547e-05	0.919810717114734
Candidatus Cloacimonetes	0.341774818032073	1.95460864085799e-05	0.919810717114734
Candidatus Gracilibacteria	0.179130128224853	3.48119542797211e-05	0.919810717114734
Candidatus Saccharibacteria	0.646082343180407	8.82628221995498e-06	0.954263293615362
Chlamydiae	0.722638538754302	4.46533484813289e-06	0.975791139616489
Chlorobi	0.803357538556689	3.6766778700086e-06	0.975791139616489
Chloroflexi	0.875847947102034	-2.55378952387561e-06	0.975791139616489
Chrysiogenetes	0.545975828125672	1.09759512648929e-05	0.919810717114734
Coprothermobacterota	0.254260381029012	2.80630452803929e-05	0.919810717114734
Crenarchaeota	0.396773599777491	1.19699019209156e-05	0.919810717114734
Cyanobacteria	0.433176979777918	1.08071370901434e-05	0.919810717114734
Deferribacteres	0.359801693770684	1.31827649856585e-05	0.919810717114734
Deinococcus-Thermus	0.578807254493514	1.01243820549318e-05	0.919810717114734
Dictyoglomi	0.224306293848134	1.90556434484457e-05	0.919810717114734
Elusimicrobia	0.592766906585051	8.38805004489151e-06	0.919810717114734
Euryarchaeota	0.983705522245184	6.3597530335682e-07	0.989883104200198
Fibrobacteres	0.519926391666214	1.38098437871186e-05	0.919810717114734
Firmicutes	0.878483050655356	1.22392243793088e-06	0.975791139616489
Fusobacteria	0.312618022336121	1.59353672499393e-05	0.919810717114734
Gemmatimonadetes	0.580777450851311	1.03034670039892e-05	0.919810717114734
Ignavibacteriae	0.468075875003795	1.22407647602474e-05	0.919810717114734
Kiritimatiellaeota	0.989883104200198	-2.08716448647308e-07	0.989883104200198
Lentisphaerae	0.115463371069245	3.30549065127864e-05	0.919810717114734
Microsporidia	0.477392161618607	1.23002948904684e-05	0.919810717114734
Negarnaviricota	0.802022474628795	4.68901649738991e-06	0.975791139616489
Nitrospirae	0.984066447010686	2.67940787010912e-07	0.989883104200198
Planctomycetes	0.550785321262458	9.26881289573859e-06	0.919810717114734
Proteobacteria	0.376222368762653	1.56449926259318e-05	0.919810717114734
Spirochaetes	0.524920678836717	8.61683823258202e-06	0.919810717114734
Synergistetes	0.570859779054731	1.44686218265927e-05	0.919810717114734
Tenericutes	0.324229582601558	1.65742536213485e-05	0.919810717114734
Thaumarchaeota	0.218035248836154	1.60234548093896e-05	0.919810717114734
Thermodesulfobacteria	0.790314875871639	3.75522397791793e-06	0.975791139616489
Thermotogae	0.302190710486023	1.49333056233309e-05	0.919810717114734
Verrucomicrobia	0.657381380046138	2.18213046176105e-05	0.954263293615362
candidate division Zixibacteria	0.91073839697539	2.36206762724665e-06	0.975791139616489
