p-variable	slope	adjusted.p-variable
Acidobacteria	0.552080604886375	0.00939626103812194	0.99570916424048
Actinobacteria	0.176246989221658	-0.022716062940412	0.99570916424048
Aquificae	0.704991045524557	0.00537800945760209	0.99570916424048
Armatimonadetes	0.595117894324478	-0.00658229111335437	0.99570916424048
Ascomycota	0.409644645134917	0.00980902020681534	0.99570916424048
Bacteroidetes	0.423440968867926	0.0206389395725057	0.99570916424048
Balneolaeota	0.837761209626932	-0.00321151424837907	0.99570916424048
Basidiomycota	0.503826733805781	0.007775617265124	0.99570916424048
Calditrichaeota	0.956179938059461	0.000798161629822737	0.99570916424048
Candidatus Bipolaricaulota	0.819931743383584	-0.00408113527215472	0.99570916424048
Candidatus Cloacimonetes	0.143165107069305	0.0261247619297277	0.99570916424048
Candidatus Gracilibacteria	0.1856249026277	0.0301158831385788	0.99570916424048
Candidatus Saccharibacteria	0.901416918562808	-0.0020932495380644	0.99570916424048
Chlamydiae	0.96369464453426	-0.000503137850792107	0.99570916424048
Chlorobi	0.653852185851905	0.00580351737448634	0.99570916424048
Chloroflexi	0.973866294886984	-0.000470055031155236	0.99570916424048
Chrysiogenetes	0.861490724906046	0.0027920151658798	0.99570916424048
Coprothermobacterota	0.281558277674623	0.0232923224465613	0.99570916424048
Crenarchaeota	0.898852644150742	0.00158587686766268	0.99570916424048
Cyanobacteria	0.573583632101409	0.00682887083063941	0.99570916424048
Deferribacteres	0.627128173724955	0.00617098787587457	0.99570916424048
Deinococcus-Thermus	0.799547893364931	0.00407349857424897	0.99570916424048
Dictyoglomi	0.271103959585591	0.0151825069662987	0.99570916424048
Elusimicrobia	0.773515051580179	0.00396843792301138	0.99570916424048
Euryarchaeota	0.761410563741932	-0.00829086859054191	0.99570916424048
Fibrobacteres	0.228341653900871	0.0224777786957867	0.99570916424048
Firmicutes	0.476564238792919	0.00497908444317788	0.99570916424048
Fusobacteria	0.460821345453341	0.0102587569915837	0.99570916424048
Gemmatimonadetes	0.582481279237071	0.00900213593479711	0.99570916424048
Ignavibacteriae	0.456725389536747	0.0110160099458684	0.99570916424048
Kiritimatiellaeota	0.8344457998116	-0.00301806573030485	0.99570916424048
Lentisphaerae	0.123727748808562	0.0283963457186521	0.99570916424048
Microsporidia	0.596972208799936	0.00805022093558166	0.99570916424048
Negarnaviricota	0.839499400848864	0.00332482703196939	0.99570916424048
Nitrospirae	0.897109122255474	-0.00152240080749688	0.99570916424048
Planctomycetes	0.709857729651444	0.00508300958689317	0.99570916424048
Proteobacteria	0.99570916424048	8.40424897843728e-05	0.99570916424048
Spirochaetes	0.719556178458345	0.004281519824279	0.99570916424048
Synergistetes	0.803575340495692	0.00558547056747352	0.99570916424048
Tenericutes	0.549853976363987	0.00887282674777	0.99570916424048
Thaumarchaeota	0.246052183252517	0.0132637334407475	0.99570916424048
Thermodesulfobacteria	0.989150341087121	-0.00016865281672582	0.99570916424048
Thermotogae	0.331794099756773	0.0123416754521741	0.99570916424048
Verrucomicrobia	0.872106517598562	-0.00696183077266372	0.99570916424048
candidate division Zixibacteria	0.944741607472927	-0.00128175700712727	0.99570916424048
