p-variable	slope	adjusted.p-variable
Acidobacteria	0.872992068710328	0.00258892718274661	0.954255127701352
Actinobacteria	0.077812212492277	-0.0299227618846328	0.954255127701352
Aquificae	0.672619741655841	-0.00613172488186531	0.954255127701352
Armatimonadetes	0.267230916639114	-0.0139216279217794	0.954255127701352
Ascomycota	0.847065770652311	0.00235831650711424	0.954255127701352
Bacteroidetes	0.464896838897746	0.0192733105482133	0.954255127701352
Balneolaeota	0.493603272293581	-0.0109294920230969	0.954255127701352
Basidiomycota	0.824564524384082	0.00264441121341706	0.954255127701352
Calditrichaeota	0.560420344753144	-0.00861556394747599	0.954255127701352
Candidatus Bipolaricaulota	0.661283046143706	-0.008016688630118	0.954255127701352
Candidatus Cloacimonetes	0.34449934849154	0.0174319669770127	0.954255127701352
Candidatus Gracilibacteria	0.477052603060029	0.0167192799362916	0.954255127701352
Candidatus Saccharibacteria	0.692280492746953	-0.00682515214585486	0.954255127701352
Chlamydiae	0.461101703265925	-0.00828405310929256	0.954255127701352
Chlorobi	0.874430479481544	-0.00209335450246217	0.954255127701352
Chloroflexi	0.68058979938074	-0.00602654981660784	0.954255127701352
Chrysiogenetes	0.919566792647459	-0.00165150930266692	0.954255127701352
Coprothermobacterota	0.409483658925232	0.0183101702095473	0.954255127701352
Crenarchaeota	0.746106926648378	-0.00412448464765316	0.954255127701352
Cyanobacteria	0.984971519274767	-0.00023423358117874	0.984971519274767
Deferribacteres	0.871223411245802	-0.00210831062911527	0.954255127701352
Deinococcus-Thermus	0.835832893338104	-0.00339757038327091	0.954255127701352
Dictyoglomi	0.598374685311641	0.00748872209222011	0.954255127701352
Elusimicrobia	0.747331822214147	-0.0045387351632179	0.954255127701352
Euryarchaeota	0.493011147691008	-0.0190623542907713	0.954255127701352
Fibrobacteres	0.595053593232184	0.0102426274005617	0.954255127701352
Firmicutes	0.623121139347401	0.003521002476076	0.954255127701352
Fusobacteria	0.933049458196877	0.00119996962588655	0.954255127701352
Gemmatimonadetes	0.907534195422787	0.00194857077345154	0.954255127701352
Ignavibacteriae	0.835770571743237	0.00315010938472179	0.954255127701352
Kiritimatiellaeota	0.537333813737726	-0.00907426503156566	0.954255127701352
Lentisphaerae	0.292300086050287	0.0200782554096247	0.954255127701352
Microsporidia	0.69214670323895	0.0061667504969718	0.954255127701352
Negarnaviricota	0.622642728988501	-0.0082399479245156	0.954255127701352
Nitrospirae	0.582249648753909	-0.00660059781188689	0.954255127701352
Planctomycetes	0.900808030904546	-0.00174203558433325	0.954255127701352
Proteobacteria	0.900517165013037	-0.00199599420153541	0.954255127701352
Spirochaetes	0.762641737673613	-0.00368132548052014	0.954255127701352
Synergistetes	0.805051339599153	-0.00566379992466461	0.954255127701352
Tenericutes	0.919018834074733	-0.00154642579311991	0.954255127701352
Thaumarchaeota	0.63730575206069	0.00556516901311114	0.954255127701352
Thermodesulfobacteria	0.541493401270762	-0.00771159664076528	0.954255127701352
Thermotogae	0.786677123396333	0.00354458252927734	0.954255127701352
Verrucomicrobia	0.911910942373253	0.00488935660688425	0.954255127701352
candidate division Zixibacteria	0.747423277957692	-0.00608001524252032	0.954255127701352
