p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.272359381629849	0.870074372216675	0.998833075987061	-0.0180222274742382	0.671483589941064	0.989040526333918	0.998833075987061
Actinobacteria	0.0792264619737713	0.737999703809005	0.754689543299878	0.042284337792084	0.57131215949631	0.989040526333918	0.991211552569861
Aquificae	0.341542212830892	0.382733082795105	0.37668369212204	-0.0139745056834006	0.671483589941064	0.989040526333918	0.991211552569861
Armatimonadetes	0.496605580388671	0.340003573039516	0.425847685256405	-0.0116584219747673	0.72938944619586	0.989040526333918	0.991211552569861
Ascomycota	0.243363934487446	0.2688466845247	0.207665569583782	-0.0152965151671614	0.635450273383887	0.989040526333918	0.991211552569861
Bacteroidetes	0.461149425058602	0.121686113741468	0.163735644348997	-0.0185556986148476	0.722467432591809	0.989040526333918	0.991211552569861
Balneolaeota	0.852443694764028	0.666966490468831	0.702527715816018	0.00354476216472071	0.886669316057202	0.989040526333918	0.991211552569861
Basidiomycota	0.684622915599242	0.561915647852827	0.576374155244049	-0.00615440906464261	0.825058385465754	0.989040526333918	0.991211552569861
Calditrichaeota	0.996624340916212	0.318759422191812	0.338190319547848	-6.8353089925988e-05	0.996624340916212	0.989040526333918	0.991211552569861
Candidatus Bipolaricaulota	0.458845128955279	0.934250266703173	0.99182446174617	-0.0178046620280874	0.722467432591809	0.989040526333918	0.998833075987061
Candidatus Cloacimonetes	0.120804456113306	0.716882673782535	0.682441273425602	-0.0323843874528686	0.57131215949631	0.989040526333918	0.991211552569861
Candidatus Gracilibacteria	0.183722750909529	0.429945309366982	0.463798844946494	-0.0328643332765626	0.595851229559735	0.989040526333918	0.991211552569861
Candidatus Korarchaeota	0.426093517861563	0.492750933284937	0.497370970960703	-0.0149761431058312	0.722467432591809	0.989040526333918	0.991211552569861
Candidatus Micrarchaeota	0.0934421783167699	0.704164500155432	0.760574823953457	-0.0328184201896471	0.57131215949631	0.989040526333918	0.991211552569861
Candidatus Saccharibacteria	0.781782788506897	0.9572204595314	0.964146445973212	-0.00520214260983811	0.886669316057202	0.989040526333918	0.998833075987061
Chlamydiae	0.6756953449669	0.782468738346916	0.818817488946457	-0.00589306681737275	0.825058385465754	0.989040526333918	0.991211552569861
Chlorobi	0.496173856783134	0.975565007925509	0.872628341036174	-0.0101669634943695	0.72938944619586	0.989040526333918	0.991211552569861
Chloroflexi	0.375417982867264	0.793796386996041	0.896418511387063	-0.0148554414193183	0.678640199798515	0.989040526333918	0.991211552569861
Chrysiogenetes	0.600151584607744	0.667432235062182	0.708865616583422	-0.00951238659898006	0.805395296893358	0.989040526333918	0.991211552569861
Coprothermobacterota	0.190165286029703	0.889789400304412	0.77780418593677	-0.0332067026917362	0.595851229559735	0.989040526333918	0.991211552569861
Crenarchaeota	0.0616209498057063	0.088929812379732	0.069074925288361	-0.0248386058698378	0.57131215949631	0.989040526333918	0.991211552569861
Cyanobacteria	0.170955542979414	0.494866949478137	0.416527873250871	-0.0176658228152572	0.595851229559735	0.989040526333918	0.991211552569861
Deferribacteres	0.233135300667414	0.610780761458624	0.572006360591737	-0.0170572379395768	0.635450273383887	0.989040526333918	0.991211552569861
Deinococcus-Thermus	0.342885237416713	0.989040526333918	0.90050113062696	-0.0172378376998897	0.671483589941064	0.989040526333918	0.991211552569861
Dictyoglomi	0.115122748750068	0.217120675033055	0.242791131070146	-0.0289344198570979	0.57131215949631	0.989040526333918	0.991211552569861
Elusimicrobia	0.826031341683297	0.882120626071012	0.859904995419408	0.00321003585600486	0.886669316057202	0.989040526333918	0.991211552569861
Euryarchaeota	0.768248995033305	0.622872014586654	0.712743392871183	-0.00752841967147131	0.886669316057202	0.989040526333918	0.991211552569861
Fibrobacteres	0.0541525345776735	0.927934372667603	0.887686050677739	-0.035180558923909	0.57131215949631	0.989040526333918	0.991211552569861
Firmicutes	0.854095940521359	0.972712109173789	0.786483390903472	0.00148899815633176	0.886669316057202	0.989040526333918	0.991211552569861
Fusobacteria	0.330190769444635	0.13230069881518	0.184603179369238	-0.0172397602644063	0.671483589941064	0.989040526333918	0.991211552569861
Gemmatimonadetes	0.227685888735239	0.8306603197644	0.992166360769216	-0.0232545707752174	0.635450273383887	0.989040526333918	0.998833075987061
Ignavibacteriae	0.152222511443104	0.510270158728805	0.448336955837515	-0.0233028953966714	0.595851229559735	0.989040526333918	0.991211552569861
Kiritimatiellaeota	0.064243078923745	0.341994687635928	0.499709096331281	-0.0339832948080814	0.57131215949631	0.989040526333918	0.991211552569861
