p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.100684432243225	0.342882375717758	0.595811548925672	1.41058773388271	0.405156095487865	0.760560176568102	0.994724898542696
Actinobacteria	0.466063051286942	0.405863637892951	0.856673381526634	-0.950691467632613	0.71528001803562	0.760560176568102	0.994724898542696
Aquificae	0.733643824012345	0.944017131455215	0.994724898542696	-0.271736123153953	0.862031493214506	0.959943392516137	0.994724898542696
Armatimonadetes	0.133034757893717	0.664190706489996	0.934508455292897	1.31285869118064	0.405156095487865	0.81792874208973	0.994724898542696
Ascomycota	0.553872618805928	0.161767572530614	0.278573228925444	-0.438089931523883	0.778061091440712	0.760307590893888	0.994724898542696
Bacteroidetes	0.106634840113776	0.223097479370826	0.760401773461582	2.40235723373214	0.405156095487865	0.760560176568102	0.994724898542696
Balneolaeota	0.0638932841542073	0.417185374120711	0.631341002187522	1.94846168517534	0.333664928360861	0.760560176568102	0.994724898542696
Basidiomycota	0.27598024704308	0.869438863655467	0.858654885158911	0.917600444302506	0.51900015219865	0.954726528188928	0.994724898542696
Calditrichaeota	0.408194354924773	0.662562919962795	0.633627882796932	0.759647360771914	0.675628833290311	0.81792874208973	0.994724898542696
Candidatus Bipolaricaulota	0.00660486796929119	0.185956128804644	0.294915706615025	3.34503102722169	0.124879716427124	0.760560176568102	0.994724898542696
Candidatus Cloacimonetes	0.817227298047521	0.726365359192162	0.99427846254211	-0.252587872661773	0.905200649843069	0.832662728830039	0.994724898542696
Candidatus Gracilibacteria	0.332717062122551	0.402295855026127	0.622809135476833	-1.36907190895559	0.601450073836919	0.760560176568102	0.994724898542696
Candidatus Korarchaeota	0.984522667991083	0.238672354451411	0.0912991558678215	0.0183511928299088	0.984522667991083	0.760560176568102	0.68367934309604
Candidatus Micrarchaeota	0.187786309080849	0.453492151806464	0.125937798459681	1.25947841789269	0.450652339345288	0.760560176568102	0.739884565950625
Candidatus Saccharibacteria	0.235653327396391	0.143129288449425	0.0687068984789069	-1.16415904213938	0.503441199437745	0.747452950791439	0.671633838598345
Chlamydiae	0.272101209089373	0.0806533856440488	0.0420037734323688	-0.797917159275754	0.51900015219865	0.631341203851807	0.671633838598345
Chlorobi	0.210186568709567	0.678706828542542	0.896933471838143	0.972881935987403	0.47041755854046	0.81792874208973	0.994724898542696
Chloroflexi	0.0478406966928693	0.433572684914011	0.70052551599026	1.70129128996461	0.281064093070607	0.760560176568102	0.994724898542696
Chrysiogenetes	0.0401589615244829	0.225333077953418	0.213099753622478	1.96837437930982	0.269638741664385	0.760560176568102	0.949165522325707
Coprothermobacterota	0.160066790048011	0.582411557502974	0.731881589417646	1.90584786039744	0.442537596015089	0.81792874208973	0.994724898542696
Crenarchaeota	0.901925447961623	0.331184201343405	0.385016572517784	-0.0897006623714836	0.946116635093508	0.760560176568102	0.994724898542696
Cyanobacteria	0.583947714670599	0.711010238946122	0.954659710765122	0.371418267877824	0.778061091440712	0.832662728830039	0.994724898542696
Deferribacteres	0.911056064686984	0.959943392516137	0.931740990815822	-0.0860809616156717	0.946116635093508	0.959943392516137	0.994724898542696
Deinococcus-Thermus	0.0106280609725212	0.0954977193864748	0.166345725343599	2.471030711732	0.124879716427124	0.631341203851807	0.868694343461015
Dictyoglomi	0.925986493921306	0.469281811073936	0.867203749396035	-0.0955716960460216	0.946116635093508	0.760560176568102	0.994724898542696
Elusimicrobia	0.380360664289658	0.640782675825733	0.473357481541397	-0.696861155992236	0.66210930450422	0.81792874208973	0.994724898542696
Euryarchaeota	0.276063910743963	0.42849704261485	0.756224523740792	1.58204061111795	0.51900015219865	0.760560176568102	0.994724898542696
Fibrobacteres	0.416877365221681	0.294792907607371	0.499647005861906	0.824354490004107	0.675628833290311	0.760560176568102	0.994724898542696
Firmicutes	0.621645215838424	0.366762467646295	0.628115602849578	-0.220578440698274	0.778061091440712	0.760560176568102	0.994724898542696
Fusobacteria	0.126294561703287	0.10746233257052	0.460166379274566	-1.47596180003541	0.405156095487865	0.631341203851807	0.994724898542696
Gemmatimonadetes	0.0155825769597841	0.0888522681025431	0.222145122246442	2.46282743100602	0.146476223421971	0.631341203851807	0.949165522325707
Ignavibacteriae	0.75234539567946	0.944374132407317	0.872394313316456	0.290904640369221	0.862444721876454	0.959943392516137	0.994724898542696
Kiritimatiellaeota	0.00329309161070087	0.0154439680787877	0.0452181211862879	2.75908500917177	0.124879716427124	0.397149210652399	0.671633838598345
Lentisphaerae	0.00993463238664641	0.027629808139086	0.0527358490957495	3.57071631261658	0.124879716427124	0.432866994179014	0.671633838598345
Microsporidia	0.191766952912888	0.0487691383789205	0.445092893907491	-1.32923949879461	0.450652339345288	0.573037375952316	0.994724898542696
Negarnaviricota	0.609677784839031	0.0168999664107404	0.0714504083615261	-0.598706544081996	0.778061091440712	0.397149210652399	0.671633838598345
Nitrospirae	0.629070669675469	0.592807005175321	0.939025955578602	0.354495299616723	0.778061091440712	0.81792874208973	0.994724898542696
Planctomycetes	0.118092735441817	0.410829558968779	0.636772671273442	1.27262822726876	0.405156095487865	0.760560176568102	0.994724898542696
Proteobacteria	0.0375262137850762	0.459249151860328	0.101824583014304	1.650740184282	0.269638741664385	0.760560176568102	0.68367934309604
Spirochaetes	0.691186567265186	0.898674525963947	0.958908422705895	0.27825319216368	0.832968427217019	0.959943392516137	0.994724898542696
Synergistetes	0.071023826687882	0.873473206640934	0.706677345006426	1.81029083142773	0.333811985433045	0.954726528188928	0.994724898542696
Tenericutes	0.598554742023728	0.424191523562899	0.708160734579477	-0.473604638883859	0.778061091440712	0.760560176568102	0.994724898542696
Thaumarchaeota	0.471780437427749	0.399640527579871	0.659480898433006	-0.558019983007537	0.71528001803562	0.760560176568102	0.994724898542696
Thermodesulfobacteria	0.828162296664935	0.570986434551702	0.688727535779729	0.169585200896842	0.905200649843069	0.81792874208973	0.994724898542696
Thermotogae	0.628836360168718	0.670444104466049	0.741441653471593	-0.356625437043046	0.778061091440712	0.81792874208973	0.994724898542696
Verrucomicrobia	0.177529367274442	0.530004977008544	0.899379166826264	3.01839522557218	0.450652339345288	0.803555932883922	0.994724898542696
candidate division Zixibacteria	0.137925479315018	0.528957102097817	0.679761040077676	1.62726096551875	0.405156095487865	0.803555932883922	0.994724898542696
