p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.0338020850046185	0.3397070310566	0.554980625585997	2.08866649625763	0.176521999468563	0.790859451387862	0.941864840925035
Actinobacteria	0.4862837157699	0.82967538959617	0.570266975767897	-1.18975690760892	0.706132769316102	0.906854495605116	0.941864840925035
Aquificae	0.919155022392692	0.617141573109531	0.669436339690417	-0.0987024458867203	0.919155022392692	0.862214955531362	0.952052878418539
Armatimonadetes	0.0573571037571236	0.372093871770908	0.786370640082449	2.09386360885171	0.205542511186332	0.790859451387862	0.952052878418539
Ascomycota	0.526920579484586	0.171853695113645	0.203282296131887	-0.575096671897101	0.707579063879301	0.790859451387862	0.883847648895506
Bacteroidetes	0.00510464593125235	0.474612418107932	0.329992978431844	5.31182706360986	0.0399863931281434	0.862214955531362	0.941864840925035
Balneolaeota	0.0576915009869355	0.333104692788328	0.479731621328037	2.56088592966543	0.205542511186332	0.790859451387862	0.941864840925035
Basidiomycota	0.330545432130513	0.850624673338088	0.810636986881292	1.0377654848223	0.575393900375337	0.908621810156594	0.952052878418539
Calditrichaeota	0.19403180868736	0.515725458485795	0.348802602019385	1.55995746879487	0.43888212627861	0.862214955531362	0.941864840925035
Candidatus Bipolaricaulota	0.00392101560467423	0.0595546959014939	0.189822902711088	4.54754572505448	0.0399863931281434	0.677697591521466	0.883847648895506
Candidatus Cloacimonetes	0.624554327135064	0.656244560055008	0.37786042547056	0.638231995254285	0.772475088824948	0.862214955531362	0.941864840925035
Candidatus Gracilibacteria	0.289263642763848	0.749063403737314	0.861527828528012	-1.77352464386587	0.53123842461655	0.862214955531362	0.964090665257538
Candidatus Korarchaeota	0.90847934096639	0.368836356171561	0.225663229505236	-0.118350344436349	0.919155022392692	0.790859451387862	0.883847648895506
Candidatus Micrarchaeota	0.0602228506163406	0.607053605067363	0.0998847045873059	2.15939438129516	0.205542511186332	0.862214955531362	0.883847648895506
Candidatus Saccharibacteria	0.346444385383148	0.237525741755149	0.120101329857758	-1.12507841934853	0.581531646893142	0.790859451387862	0.883847648895506
Chlamydiae	0.495795348668753	0.564767777882026	0.325501212769254	-0.611894321394237	0.706132769316102	0.862214955531362	0.941864840925035
Chlorobi	0.114684165181995	0.598878887490736	0.937540711066532	1.48203275658546	0.29945309797521	0.862214955531362	0.982495442511068
Chloroflexi	0.0206496403300764	0.219969280850203	0.455699304962565	2.43622143755993	0.121316636939199	0.790859451387862	0.941864840925035
Chrysiogenetes	0.0541394391738954	0.100933683843623	0.19748515388392	2.2217012206164	0.205542511186332	0.677697591521466	0.883847648895506
Coprothermobacterota	0.209235386083882	0.716274209505145	0.921839157027649	1.94656688884509	0.43888212627861	0.862214955531362	0.982495442511068
Crenarchaeota	0.792708824236806	0.364953999047282	0.354694169179548	-0.238549379840731	0.852675848805373	0.790859451387862	0.941864840925035
Cyanobacteria	0.44084128537217	0.682375543988684	0.830514213088513	0.626474787256627	0.690651347083066	0.862214955531362	0.952052878418539
Deferribacteres	0.707259795229143	0.734713472518775	0.817335560253893	0.3677556811926	0.831030259394243	0.862214955531362	0.952052878418539
Deinococcus-Thermus	0.00425692469231755	0.0885072446720635	0.180377328852008	3.29499154463851	0.0399863931281434	0.677697591521466	0.883847648895506
Dictyoglomi	0.79824973079652	0.750171373895161	0.799403418679723	-0.318887800320595	0.852675848805373	0.862214955531362	0.952052878418539
Elusimicrobia	0.850730006693469	0.737803841284143	0.986304154830112	-0.182684891973955	0.888540229213179	0.862214955531362	0.993802899663285
Euryarchaeota	0.214608241368978	0.94491417362613	0.811802945347318	2.31086581023537	0.43888212627861	0.974061658731399	0.952052878418539
Fibrobacteres	0.214772104349107	0.201290880068376	0.414856398008926	1.42495362984099	0.43888212627861	0.790859451387862	0.941864840925035
Firmicutes	0.229325357924351	0.330349993035127	0.684605651284284	-0.667900820390271	0.449095492601854	0.790859451387862	0.952052878418539
Fusobacteria	0.0695614259699488	0.191068383052945	0.718606656688644	-2.16270319957288	0.21795913470584	0.790859451387862	0.952052878418539
Gemmatimonadetes	0.00272911283394456	0.0555616729722322	0.167498252744148	3.56974210316007	0.0399863931281434	0.677697591521466	0.883847648895506
Ignavibacteriae	0.70147737174901	0.497537163208412	0.373636019649631	0.429945519809528	0.831030259394243	0.862214955531362	0.941864840925035
Kiritimatiellaeota	0.000346711312067007	0.0014619349161022	0.0074509635005727	4.06482523098322	0.0162954316671493	0.0687109410568033	0.350195284526917
Lentisphaerae	0.00235449829253389	0.137919399610939	0.165606903946452	4.69495087313983	0.0399863931281434	0.790859451387862	0.883847648895506
Microsporidia	0.293876575319793	0.0926257836924244	0.397598874198739	-1.33288130194639	0.53123842461655	0.677697591521466	0.941864840925035
Negarnaviricota	0.471823660535431	0.0814696132481338	0.222553464898136	-1.09425587480338	0.706132769316102	0.677697591521466	0.883847648895506
Nitrospirae	0.437204461125153	0.481666410211559	0.758166985555817	0.685983584939274	0.690651347083066	0.862214955531362	0.952052878418539
Planctomycetes	0.0612254288640138	0.360756371280593	0.581150646528213	1.81131181264051	0.205542511186332	0.790859451387862	0.941864840925035
Proteobacteria	0.0852863712150292	0.250414661078268	0.149889863967846	1.60623182094266	0.235791732182728	0.790859451387862	0.883847648895506
Spirochaetes	0.571579036368071	0.620479248189792	0.78449450136168	0.490129059426594	0.746228186369426	0.862214955531362	0.952052878418539
Synergistetes	0.0112905721250552	0.387016327274911	0.502797190574413	2.86460691444958	0.0758081271253709	0.790859451387862	0.941864840925035
Tenericutes	0.735551747852082	0.993437903404668	0.704944390152099	-0.357733419205929	0.843193467049948	0.993437903404668	0.952052878418539
Thaumarchaeota	0.522009761771959	0.795673065354503	0.940687125808469	-0.598993592221752	0.707579063879301	0.890396049325277	0.982495442511068
Thermodesulfobacteria	0.762082350488206	0.340033147900052	0.575513002252825	0.303516553882817	0.852675848805373	0.790859451387862	0.941864840925035
Thermotogae	0.604533164092816	0.953336942588177	0.993802899663285	-0.455992302362712	0.767920505739523	0.974061658731399	0.993802899663285
Verrucomicrobia	0.0746971132084962	0.75214496120821	0.536325880418348	4.44150091165969	0.219422770049957	0.862214955531362	0.941864840925035
candidate division Zixibacteria	0.166363974998649	0.544272183801281	0.58003543743811	1.84165862572802	0.411531938154554	0.862214955531362	0.941864840925035
