p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Acidobacteria	0.174826531327516	0.814239002656394	0.84035095847541	0.00270111709018948	0.689292093100206	0.991465171209478	0.981588240943308
Actinobacteria	0.439384815921729	0.993791171092911	0.228392767533569	-0.00247562593484497	0.689292093100206	0.993791171092911	0.981588240943308
Aquificae	0.30203869940369	0.873042969103428	0.813679708320526	0.00187303392377705	0.689292093100206	0.991465171209478	0.981588240943308
Armatimonadetes	0.454311899227575	0.782271713940371	0.877737218557769	0.00151838016311027	0.689292093100206	0.991465171209478	0.981588240943308
Ascomycota	0.316950218002227	0.635320529159754	0.824942129018596	0.00167982757709444	0.689292093100206	0.991465171209478	0.981588240943308
Bacteroidetes	0.835461760191875	0.348772370300907	0.803802234210998	0.000721155654487772	0.91317913323298	0.991465171209478	0.981588240943308
Balneolaeota	0.67018218893437	0.906306228022223	0.610583553251284	-0.00102478815926071	0.787464071997884	0.991465171209478	0.981588240943308
Basidiomycota	0.546104186022473	0.4351275253092	0.407740663635929	0.0011617849716407	0.754908727736948	0.991465171209478	0.981588240943308
Calditrichaeota	0.387275265140672	0.540979887066164	0.470514660859682	0.00183799345381315	0.689292093100206	0.991465171209478	0.981588240943308
Candidatus Bipolaricaulota	0.162287325533927	0.521058202145693	0.641870594403302	0.00407943789760195	0.689292093100206	0.991465171209478	0.981588240943308
Candidatus Cloacimonetes	0.158048572899397	0.810423248969568	0.412595715252773	0.00344293296293034	0.689292093100206	0.991465171209478	0.981588240943308
Candidatus Gracilibacteria	0.221925161290958	0.45357622272625	0.780921426752887	0.00392245671579266	0.689292093100206	0.991465171209478	0.981588240943308
Candidatus Korarchaeota	0.581064347993766	0.638010295874034	0.16758549112673	0.0012625115775788	0.771827673521176	0.991465171209478	0.981588240943308
Candidatus Micrarchaeota	0.982970389564811	0.79872023584495	0.35750057957797	-4.72705193767297e-05	0.982970389564811	0.991465171209478	0.981588240943308
Candidatus Saccharibacteria	0.436634589359261	0.925909791889952	0.889151085327101	0.00179171526403231	0.689292093100206	0.991465171209478	0.981588240943308
Chlamydiae	0.591187154186433	0.916304066322778	0.817022570676243	0.000923701119626347	0.771827673521176	0.991465171209478	0.981588240943308
Chlorobi	0.234169068444566	0.732046314584376	0.851019984520058	0.00210698349498107	0.689292093100206	0.991465171209478	0.981588240943308
Chloroflexi	0.369618056450971	0.81272501391686	0.901644652839149	0.00179372514764747	0.689292093100206	0.991465171209478	0.981588240943308
Chrysiogenetes	0.328892715138596	0.746021725836432	0.756166473488552	0.00212612554772809	0.689292093100206	0.991465171209478	0.981588240943308
Coprothermobacterota	0.0243659514563124	0.421523557272669	0.474844602593349	0.00697169487491435	0.689292093100206	0.991465171209478	0.981588240943308
Crenarchaeota	0.664904753397642	0.916504821755246	0.819766845000988	0.000732785733233468	0.787464071997884	0.991465171209478	0.981588240943308
Cyanobacteria	0.248106403743351	0.785283678748663	0.90312775746214	0.00179513831141639	0.689292093100206	0.991465171209478	0.981588240943308
Deferribacteres	0.43575631529817	0.880007087931351	0.875770145944979	0.00137298775722492	0.689292093100206	0.991465171209478	0.981588240943308
Deinococcus-Thermus	0.292778193359155	0.878291191009619	0.831278593031734	0.00233953922650419	0.689292093100206	0.991465171209478	0.981588240943308
Dictyoglomi	0.494648193432705	0.614460016175832	0.948030868250805	0.00160848911390384	0.716718747777051	0.991465171209478	0.981588240943308
Elusimicrobia	0.454639465661838	0.738574737716718	0.771840979490368	0.00137926978562964	0.689292093100206	0.991465171209478	0.981588240943308
