p-variable	slope	adjusted.p-variable
Absiella argi	0.151934402445251	-1.33145868950043	0.32695315851784
Absiella sp. 9CBEGH2	0.265375804854826	-1.36102140499398	0.462886614649875
Acaryochloris marina	0.0751648278146151	1.56322826783643	0.211186012314267
Acetoanaerobium sticklandii	0.720513235311946	-0.35076370255228	0.837084565606981
Acetobacter aceti	0.561583817655918	-0.67153118296544	0.723337670464351
Acetobacter ascendens	0.30997336992769	1.19933732123077	0.50671529119356
Acetobacter ghanensis	0.0250171945128114	2.79608056693421	0.112861661608933
Acetobacter orientalis	0.038015912902455	2.19601880948174	0.140908352021976
Acetobacter pasteurianus	0.2426947857578	1.35181391300645	0.438523283238573
Acetobacter persici	0.919901720288588	-0.120136023128132	0.955844786196293
Acetobacter senegalensis	0.688875812277769	0.528063110978677	0.813633874882354
Acetobacter sp. KACC 21233	0.00851376030910799	3.40626241071795	0.0680564688916002
Acetobacter tropicalis	0.0325440081073183	2.76448609381693	0.129942239267583
Acetobacteraceae bacterium	0.846256379692133	0.260615216427374	0.914720528652057
Acetobacterium sp. KB-1	0.0689691116712827	1.34352024098037	0.19933974137753
Acetobacterium woodii	0.691526233400072	-0.304752834811611	0.815964839343447
Acetohalobium arabaticum	0.66057019219367	-0.351196866623389	0.794685958487536
Acetomicrobium mobile	0.494324981858851	0.813250807301716	0.670111768090608
Acholeplasma axanthum	0.135609322100637	-1.68409517735508	0.304040585814982
Acholeplasma brassicae	0.611087126279987	0.627298426358325	0.761768114200538
Acholeplasma hippikon	0.228636932771456	-1.23322087847199	0.423870604517596
Acholeplasma laidlawii	0.481986887053087	0.793757498323577	0.660637020528005
Acholeplasma oculi	0.853010525340243	0.193873996258031	0.918270869618646
Acholeplasma palmae	0.981676066455376	0.0246819171336913	0.988088181702239
Achromobacter denitrificans	0.0848615493773037	1.69901915681766	0.22535140536983
Achromobacter insolitus	0.126614166364336	1.58672284946375	0.292000637615345
Achromobacter ruhlandii	0.522033389993963	0.988768775500877	0.694295664414081
Achromobacter sp. AONIH1	0.0250066430267484	2.39885842463073	0.112861661608933
Achromobacter sp. B7	0.0213942951041397	3.04306944396757	0.104279697842343
Achromobacter sp. MFA1 R4	0.0175337492531204	2.53910420254585	0.095116070047776
Achromobacter spanius	0.00211238095469053	3.09815268970575	0.0418915926573696
Achromobacter xylosoxidans	0.0622552434102298	2.24861972427051	0.187034942094085
Acidaminococcus fermentans	0.0197279745339253	2.27331422002591	0.10004387085726
Acidaminococcus intestini	0.103280860653082	2.73142585260159	0.255606584356083
Acidianus brierleyi	0.372075275669139	1.11846750149817	0.565025787477889
Acidianus manzaensis	0.345480472746539	-1.02389383870171	0.540895906345144
Acidianus sulfidivorans	0.397252290481644	-1.1829914556669	0.589409565001862
Acidibrevibacterium fodinaquatile	0.400343216921903	1.03909905341236	0.592414163911591
Acidiferrobacter sp. SPIII_3	0.180626923283856	1.53276176825607	0.365462118533553
Acidihalobacter ferrooxidans	0.162013689533211	1.56143981512926	0.339800787330409
Acidihalobacter prosperus	0.042875481488911	2.10408846527686	0.151015162303782
Acidilobus saccharovorans	0.443808503626309	1.18089573242128	0.632100067989254
Acidilobus sp. 7A	0.427481270023352	-1.06365311723375	0.618251599997343
Acidimicrobium ferrooxidans	0.559162503397216	0.847231164045465	0.722744054592311
Acidiphilium cryptum	0.00525089610495878	4.04452111335162	0.0562015553293112
Acidiphilium multivorum	0.645705564458597	-0.707423748344913	0.784462862166433
Acidipropionibacterium acidipropionici	0.0302777089071075	2.58291758297414	0.124938007407682
Acidipropionibacterium jensenii	0.00476221247049923	3.18989762511153	0.0540170957368056
Acidipropionibacterium virtanenii	0.0527413575489653	2.24046638914753	0.168785108279745
Acidisarcina polymorpha	0.512044510274872	0.651042061564258	0.686265586715152
Acidithiobacillus caldus	0.236489329482922	1.5864132084839	0.432550425116987
Acidithiobacillus ferrivorans	0.133248687335872	1.73516350285477	0.300447525715921
Acidithiobacillus ferrooxidans	0.14499348031336	1.95940259726475	0.316774278137442
Acidithiobacillus thiooxidans	0.628163196623703	-0.464852056351335	0.771732763898353
Acidobacterium capsulatum	0.000395957226691534	3.90330792028095	0.0337091795090393
Acidothermus cellulolyticus	0.299799337645092	1.17101664800308	0.496805223205552
Acidovorax avenae	0.000243278173418691	4.86975050421855	0.031447186605687
Acidovorax carolinensis	0.0624323419156384	2.21543591188103	0.187465670646741
Acidovorax cattleyae	0.916445455796328	-0.115521297478931	0.954810468798851
Acidovorax citrulli	0.126175404505486	2.06593812953466	0.291836412085515
Acidovorax ebreus	0.108201579581989	2.2401592979374	0.263533908552452
Acidovorax sp. 1608163	5.62928744228049e-05	4.10225019452758	0.0297056669613635
Acidovorax sp. HDW3	0.336755684743704	1.39876833204215	0.532581571950567
Acidovorax sp. JS42	0.623989110308084	0.719317471924155	0.769441097473376
Acidovorax sp. KKS102	0.000710638292002496	4.23211287324406	0.0337091795090393
Acidovorax sp. RAC01	0.00670932356141361	3.45793895299125	0.0614339709297147
Acidovorax sp. T1	0.00220960227510594	4.08399275710247	0.0423898106555408
Aciduliprofundum boonei	0.168096669052724	1.58734787726214	0.348092878761192
Acinetobacter baumannii	0.639176295620319	-0.417286118452162	0.779986415709485
Acinetobacter baylyi	0.579573353123687	0.613843600147908	0.738734747213929
Acinetobacter bereziniae	0.420500143969736	0.845001117680084	0.611816701618794
Acinetobacter calcoaceticus	0.940837180534852	-0.0828718397100848	0.966218227903309
Acinetobacter chinensis	0.463108301355167	1.09784979713381	0.648025160859017
Acinetobacter cumulans	0.359288932757014	-1.19821532290251	0.554702191184301
Acinetobacter defluvii	0.905823842956104	-0.137952426546439	0.950097927750523
Acinetobacter dispersus	0.64153295795818	-0.508585117929562	0.781253326102447
Acinetobacter equi	0.223041269901676	-1.55991237758801	0.417083039643278
Acinetobacter guillouiae	0.411432826058482	-0.847342548782973	0.603521680452109
Acinetobacter gyllenbergii	0.242448831335599	1.21949413788552	0.438363892180631
Acinetobacter haemolyticus	0.589722993195712	-0.548303863749235	0.746284243210785
Acinetobacter indicus	0.649933513612011	0.438200557847422	0.787059282684579
Acinetobacter johnsonii	0.338357946502551	0.952088736998081	0.533048034767908
Acinetobacter junii	0.0536448052560076	-2.24039686373581	0.170570839595475
Acinetobacter larvae	0.918247967377052	0.108406049772864	0.95503746905557
Acinetobacter lwoffii	0.28453343963941	0.964978538333397	0.482292423762074
Acinetobacter nosocomialis	0.678111302672808	-0.420089437288536	0.807368640997591
Acinetobacter oleivorans	0.708753546912427	-0.425872049836931	0.82844420898828
Acinetobacter pittii	0.711124020203868	0.368601227269906	0.830576111907015
Acinetobacter radioresistens	0.479699954510022	0.727379205293803	0.659332315108479
Acinetobacter schindleri	0.94701663409632	0.0673414674131746	0.969924412303935
Acinetobacter soli	0.289070914538242	1.20516074734357	0.486735879585405
Acinetobacter sp. 185	0.55998268782505	0.725027014022822	0.722744054592311
Acinetobacter sp. 323-1	0.26736573561216	-1.05716990227432	0.46521163293493
Acinetobacter sp. ACNIH1	0.867473672271361	-0.203514236697274	0.927909674842999
Acinetobacter sp. ACNIH2	0.607001188319524	-0.589233196923559	0.758715232256356
Acinetobacter sp. LoGeW2-3	0.379242076832587	-0.882609342466819	0.57119346914472
Acinetobacter sp. NCu2D-2	0.525530036040023	-0.657069877330858	0.696944867647447
