p-variable	slope	adjusted.p-variable
Absiella argi	0.275824213720555	-1.20060892729364	0.437384017078131
Absiella sp. 9CBEGH2	0.0525730428547033	-2.30609301661164	0.131800167878413
Acaryochloris marina	0.0194221741123169	2.23563737657173	0.067467777322661
Acetoanaerobium sticklandii	0.932643335729785	-0.100122480747983	0.9600676594427
Acetobacter aceti	0.962708147269492	0.0575662894203606	0.977067847875501
Acetobacter ascendens	0.18447667952026	1.7965915439688	0.328096354005655
Acetobacter ghanensis	0.0143560874316845	3.5435132343498	0.0557200656042616
Acetobacter orientalis	0.00297054014615837	3.56750928297253	0.0221912125434788
Acetobacter pasteurianus	0.0932521024928464	2.23076540858692	0.199728395242867
Acetobacter persici	0.781351345147432	0.434427581338213	0.866297781035194
Acetobacter senegalensis	0.241201755187094	1.82078072118106	0.398276694988078
Acetobacter sp. KACC 21233	0.000441676677253826	5.3198013136528	0.00953938207690854
Acetobacter tropicalis	0.0152938562161808	3.59894682940203	0.0579673457550437
Acetobacteraceae bacterium	0.545129003890042	0.953529814426821	0.695233364759259
Acetobacterium sp. KB-1	0.0217529061419807	1.89078222561887	0.0720830435477501
Acetobacterium woodii	0.617112047022791	-0.476395597771776	0.75134912537846
Acetohalobium arabaticum	0.584039487261454	-0.542215059412737	0.72700816801773
Acetomicrobium mobile	0.271182488294503	1.63304513662384	0.432546529243236
Acholeplasma axanthum	0.210145518317626	-1.68822527478867	0.361494518975352
Acholeplasma brassicae	0.791673600359688	0.357236938051755	0.872693746687653
Acholeplasma hippikon	0.597111286387214	-0.68495301364944	0.736026730924847
Acholeplasma laidlawii	0.65518260150463	0.534548461853955	0.778099337427935
Acholeplasma oculi	0.782618586974965	0.336105263388829	0.867111069199228
Acholeplasma palmae	0.863366990036736	0.229681561494239	0.915936959462526
Achromobacter denitrificans	0.044729405553112	2.40928366129705	0.117046156339075
Achromobacter insolitus	0.0333498990019849	2.66153814102265	0.0953491453976503
Achromobacter ruhlandii	0.407003877211954	1.16004164125887	0.572400695734828
Achromobacter sp. AONIH1	0.00612481018611193	3.61153790527107	0.0326649937341194
Achromobacter sp. B7	0.0191982641776833	4.0527057552809	0.0668571129696515
Achromobacter sp. MFA1 R4	0.00988281643537657	3.30189042314853	0.0440002021991804
Achromobacter spanius	0.000952214324569264	4.08120355199125	0.0122351331027251
Achromobacter xylosoxidans	0.0691051491190357	2.76578117947787	0.16083431496867
Acidaminococcus fermentans	0.0108152257918221	3.01430204158576	0.0469617382429273
Acidaminococcus intestini	0.0867493153211262	3.54401831583009	0.189749191088083
Acidianus brierleyi	0.459190619151913	1.10894917119365	0.620515794127481
Acidianus manzaensis	0.167016725796808	-1.84106732235977	0.304254002615097
Acidianus sulfidivorans	0.56853408945967	-0.998472193814974	0.713894643661358
Acidibrevibacterium fodinaquatile	0.372284642907169	1.36215306266188	0.540342718966344
Acidiferrobacter sp. SPIII_3	0.0534435298024364	2.77836286248855	0.133440763091618
Acidihalobacter ferrooxidans	0.054401578401392	2.44767970165539	0.134923682621569
Acidihalobacter prosperus	0.0117162470107288	2.97953240724124	0.049109276685996
Acidilobus saccharovorans	0.165888637490338	2.3039477788202	0.302940701049063
Acidilobus sp. 7A	0.323754373703903	-1.63266662137814	0.489429244019017
Acidimicrobium ferrooxidans	0.658564064663431	0.753495245415095	0.779948662134957
Acidiphilium cryptum	0.00177444804606991	5.04015930992347	0.0172263218522877
Acidiphilium multivorum	0.67901957622976	0.793936023223279	0.795361602673341
Acidipropionibacterium acidipropionici	0.0393060947707347	2.91898560923811	0.107037371257101
Acidipropionibacterium jensenii	0.00661557316285262	3.7463350221405	0.0342040517573348
Acidipropionibacterium virtanenii	0.0289942562366623	3.15158279059657	0.0871536117010589
Acidisarcina polymorpha	0.18975018295555	1.68104585018296	0.334379047833527
Acidithiobacillus caldus	0.274958287810117	1.89611354792507	0.436509712896104
Acidithiobacillus ferrivorans	0.0597270802873005	2.65239540203782	0.144269062249812
