p-variable	slope	adjusted.p-variable
Absiella argi	0.11210017512092	0.0505392331556633	0.999501205171847
Absiella sp. 9CBEGH2	0.65591640892198	0.0230596578252588	0.999501205171847
Acaryochloris marina	0.907119665518199	-0.00391159544403358	0.999501205171847
Acetoanaerobium sticklandii	0.983112177861821	0.000750053107796516	0.999501205171847
Acetobacter aceti	0.50166948099615	-0.0323409755816352	0.999501205171847
Acetobacter ascendens	0.0280249940421908	0.0821049089532436	0.999501205171847
Acetobacter ghanensis	0.766237167848747	0.0133074148342881	0.999501205171847
Acetobacter orientalis	0.747466513193161	0.011462288831298	0.999501205171847
Acetobacter pasteurianus	0.62974162028973	0.0199181447272888	0.999501205171847
Acetobacter persici	0.682215176852711	0.0131566071336298	0.999501205171847
Acetobacter senegalensis	0.424820697118655	-0.0360339395587197	0.999501205171847
Acetobacter sp. KACC 21233	0.538263243459012	0.0234100148083292	0.999501205171847
Acetobacter tropicalis	0.641542155461857	0.0217233932038597	0.999501205171847
Acetobacteraceae bacterium	0.698742754978025	0.0182521129776658	0.999501205171847
Acetobacterium sp. KB-1	0.628936265577314	0.0124083025417627	0.999501205171847
Acetobacterium woodii	0.2451956718852	0.0280798852094521	0.999501205171847
Acetohalobium arabaticum	0.790979886815515	0.00666532499948159	0.999501205171847
Acetomicrobium mobile	0.696291500293218	0.014067796904951	0.999501205171847
Acholeplasma axanthum	0.26876174778489	0.0406294565264468	0.999501205171847
Acholeplasma brassicae	0.0999671406551394	0.0762464707604001	0.999501205171847
Acholeplasma hippikon	0.626814354280895	-0.0152409119598023	0.999501205171847
Acholeplasma laidlawii	0.289921108147382	0.0474839844348021	0.999501205171847
Acholeplasma oculi	0.446754337851632	0.0285978189954506	0.999501205171847
Acholeplasma palmae	0.716565068260447	-0.0123284968505127	0.999501205171847
Achromobacter denitrificans	0.913435338887246	-0.00349107561981892	0.999501205171847
Achromobacter insolitus	0.898231686904049	-0.00425588743476317	0.999501205171847
Achromobacter ruhlandii	0.00957338872814009	0.146640988873672	0.999501205171847
Achromobacter sp. AONIH1	0.787221704180049	0.00853071431757822	0.999501205171847
Achromobacter sp. B7	0.974419450432226	0.0010964474716647	0.999501205171847
Achromobacter sp. MFA1 R4	0.322587045052793	0.034715086349972	0.999501205171847
Achromobacter spanius	0.23929551861699	0.0359123621022933	0.999501205171847
Achromobacter xylosoxidans	0.518592701349224	0.0225986749181002	0.999501205171847
Acidaminococcus fermentans	0.771958389647932	0.00861892533256995	0.999501205171847
Acidaminococcus intestini	0.266010262714024	0.0584127075261674	0.999501205171847
Acidianus brierleyi	0.421780401808196	0.0338350683800361	0.999501205171847
Acidianus manzaensis	0.694450586569667	0.0135918680813812	0.999501205171847
Acidianus sulfidivorans	0.115651872981198	0.0677598044306913	0.999501205171847
Acidibrevibacterium fodinaquatile	0.593655686903549	0.0215930758981714	0.999501205171847
Acidiferrobacter sp. SPIII_3	0.730329176098157	0.0112620759942117	0.999501205171847
Acidihalobacter ferrooxidans	0.260097241641835	0.0439235312576197	0.999501205171847
Acidihalobacter prosperus	0.260414669179123	0.0400587143390284	0.999501205171847
Acidilobus saccharovorans	0.108634434050524	0.0967318373360609	0.999501205171847
Acidilobus sp. 7A	0.0347000154265875	0.0875123332499707	0.999501205171847
Acidimicrobium ferrooxidans	0.971777426739021	0.00185591341615131	0.999501205171847
Acidiphilium cryptum	0.142012559764459	-0.0854632000720335	0.999501205171847
Acidiphilium multivorum	0.865935091540705	-0.00833816226389926	0.999501205171847
Acidipropionibacterium acidipropionici	0.527461032651604	0.0268392279429801	0.999501205171847
