p-variable	p-treatment	p-interaction	slope	adjusted.p-variable	adjusted.p-treatment	adjusted.p-interaction
Absiella argi	0.639324882967906	0.810076335721787	0.813470547269398	-0.0713522696080864	0.999193282875698	0.999781195855665	0.999793233162394
Absiella sp. 9CBEGH2	0.296004294738687	0.304801117998207	0.301972366271992	-0.275991371988174	0.999193282875698	0.999781195855665	0.999793233162394
Acaryochloris marina	0.932957453351417	0.188482318252117	0.181301518415154	-0.0157089929460308	0.999193282875698	0.999781195855665	0.999793233162394
Acetoanaerobium sticklandii	0.519354701357831	0.31500604424376	0.322901020022769	-0.104752668592757	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter aceti	0.418925868476486	0.882375056515718	0.880393048216532	-0.175490072311408	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter ascendens	0.444512559337379	0.648387222932206	0.650194618569103	-0.140557954516068	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter ghanensis	0.2393145451992	0.398255980854999	0.396580782173099	-0.254628975946794	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter orientalis	0.230933827339613	0.886095027982166	0.902181029397815	-0.202566543023279	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter pasteurianus	0.546458353451409	0.53842855762212	0.543645414899643	-0.109865044131367	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter persici	0.105880867332371	0.0773589807276359	0.0801843025360239	0.249075832868363	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter senegalensis	0.950805148506572	0.371838291371893	0.38067739033315	0.0133171414155685	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter sp. KACC 21233	0.319621570695611	0.755141032116017	0.742782076803433	-0.184734104662103	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacter tropicalis	0.5334374586969	0.656511009992617	0.662456401854027	-0.146966352290931	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacteraceae bacterium	0.693437965973651	0.873828139491739	0.879113047656586	-0.0848099394667451	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacterium sp. KB-1	0.321107230508735	0.54395051285897	0.54294276544747	-0.122668495331031	0.999193282875698	0.999781195855665	0.999793233162394
Acetobacterium woodii	0.304950639318806	0.540283686668467	0.535735123709584	-0.138730585262281	0.999193282875698	0.999781195855665	0.999793233162394
Acetohalobium arabaticum	0.604115366310428	0.861015511782092	0.86935401036368	-0.0853209543791759	0.999193282875698	0.999781195855665	0.999793233162394
Acetomicrobium mobile	0.60588478585881	0.114383102440464	0.116243011310617	-0.0898096171355113	0.999193282875698	0.999781195855665	0.999793233162394
Acholeplasma axanthum	0.990630309882333	0.577871374361755	0.582819288048757	-0.00211972535378427	0.999193282875698	0.999781195855665	0.999793233162394
Acholeplasma brassicae	0.305179695793798	0.879517814610429	0.866952916875111	-0.220700931451869	0.999193282875698	0.999781195855665	0.999793233162394
Acholeplasma hippikon	0.648990708531339	0.294979717803622	0.30048654117661	0.0761306851012514	0.999193282875698	0.999781195855665	0.999793233162394
Acholeplasma laidlawii	0.291793244031388	0.392954058307166	0.392056415884751	-0.237669631403733	0.999193282875698	0.999781195855665	0.999793233162394
Acholeplasma oculi	0.8831335174617	0.651988459934619	0.655103316218024	-0.0266553588855512	0.999193282875698	0.999781195855665	0.999793233162394
Acholeplasma palmae	0.889667872301716	0.686452096945069	0.692469904811879	-0.0295240419705476	0.999193282875698	0.999781195855665	0.999793233162394
Achromobacter denitrificans	0.50110498496711	0.571931353545577	0.579160535566881	-0.120289494118552	0.999193282875698	0.999781195855665	0.999793233162394
Achromobacter insolitus	0.820397908012789	0.841218141574814	0.832733277138578	-0.0389239199924559	0.999193282875698	0.999781195855665	0.999793233162394
Achromobacter ruhlandii	0.337063597459024	0.379866003539176	0.375103374896497	-0.279100283457497	0.999193282875698	0.999781195855665	0.999793233162394
Achromobacter sp. AONIH1	0.877410185429491	0.26786599842165	0.273012195435636	0.0252666179286297	0.999193282875698	0.999781195855665	0.999793233162394
Achromobacter sp. B7	0.6377136721592	0.258330214411725	0.259025502931215	-0.0819699955409647	0.999193282875698	0.999781195855665	0.999793233162394
Achromobacter sp. MFA1 R4	0.256258595411676	0.660054480364735	0.66426464015068	-0.214856011130877	0.999193282875698	0.999781195855665	0.999793233162394
Achromobacter spanius	0.998923246986667	0.54825460288553	0.552754075333517	0.000232735587220546	0.999943561924255	0.999781195855665	0.999793233162394
Achromobacter xylosoxidans	0.784076547707288	0.756231882433021	0.75917155614188	-0.0506152307666985	0.999193282875698	0.999781195855665	0.999793233162394
Acidaminococcus fermentans	0.293078258425564	0.724357343954866	0.712589377891724	-0.149374056282273	0.999193282875698	0.999781195855665	0.999793233162394
Acidaminococcus intestini	0.00980120536012085	0.210040372195242	0.220528571222984	-0.86889856596976	0.999193282875698	0.999781195855665	0.999793233162394
Acidianus brierleyi	0.409084522957553	0.299739625047361	0.298035916606412	0.182479118333848	0.999193282875698	0.999781195855665	0.999793233162394
Acidianus manzaensis	0.519477950790696	0.685197934528405	0.693516497594082	0.124463776790007	0.999193282875698	0.999781195855665	0.999793233162394
Acidianus sulfidivorans	0.13186366952548	0.159133784630741	0.159780156534756	0.312231363003352	0.999193282875698	0.999781195855665	0.999793233162394
Acidibrevibacterium fodinaquatile	0.50470090907415	0.078312707564672	0.0800321168813724	0.148053554597934	0.999193282875698	0.999781195855665	0.999793233162394
Acidiferrobacter sp. SPIII_3	0.899416924279185	0.699603894906047	0.691460864002322	-0.0240762532745664	0.999193282875698	0.999781195855665	0.999793233162394
Acidihalobacter ferrooxidans	0.913309432652689	0.551890001888795	0.557418811354075	-0.02282763522239	0.999193282875698	0.999781195855665	0.999793233162394
Acidihalobacter prosperus	0.582451787440467	0.622248647595631	0.623855718198071	-0.109447390425223	0.999193282875698	0.999781195855665	0.999793233162394
Acidilobus saccharovorans	0.0626368443190295	0.39369818841077	0.38443298501391	-0.538278562895768	0.999193282875698	0.999781195855665	0.999793233162394
Acidilobus sp. 7A	0.514197061275031	0.898412644892452	0.927880814939327	-0.128325953969753	0.999193282875698	0.999781195855665	0.999793233162394
Acidimicrobium ferrooxidans	0.444061902261693	0.434422931385795	0.433083764440395	-0.175666845257303	0.999193282875698	0.999781195855665	0.999793233162394
Acidiphilium cryptum	0.998389525310391	0.145266481153749	0.147496544259623	-0.000591823659303608	0.999943561924255	0.999781195855665	0.999793233162394
Acidiphilium multivorum	0.495882200730801	0.323956416491059	0.341941624796637	0.158687495497091	0.999193282875698	0.999781195855665	0.999793233162394
Acidipropionibacterium acidipropionici	0.579935652471905	0.482932895426774	0.477947041600542	-0.101481104396137	0.999193282875698	0.999781195855665	0.999793233162394
Acidipropionibacterium jensenii	0.807253518506509	0.762320308236875	0.761784249865376	-0.0426549180490028	0.999193282875698	0.999781195855665	0.999793233162394
Acidipropionibacterium virtanenii	0.876728223871809	0.267882804957725	0.271422398641334	-0.0286609712523243	0.999193282875698	0.999781195855665	0.999793233162394
Acidisarcina polymorpha	0.764581984539832	0.754600025067804	0.741564046349302	-0.046216087790553	0.999193282875698	0.999781195855665	0.999793233162394
Acidithiobacillus caldus	0.102220449039812	0.844217371128708	0.848869628221815	-0.339763107049473	0.999193282875698	0.999781195855665	0.999793233162394
Acidithiobacillus ferrivorans	0.126954301717674	0.504112391700599	0.504446030878339	-0.281525249202604	0.999193282875698	0.999781195855665	0.999793233162394
Acidithiobacillus ferrooxidans	0.417687748406008	0.0812299432592594	0.0794953270281743	-0.19563443741124	0.999193282875698	0.999781195855665	0.999793233162394
Acidithiobacillus thiooxidans	0.968790167664372	0.396139270252187	0.395761369729201	0.00696167833597597	0.999193282875698	0.999781195855665	0.999793233162394
Acidobacterium capsulatum	0.604234923511868	0.26804639106017	0.265954385349485	-0.0978377213727787	0.999193282875698	0.999781195855665	0.999793233162394
Acidothermus cellulolyticus	0.533217322777228	0.844611418176061	0.864672668564441	-0.0898026535456205	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax avenae	0.67328246172642	0.966530601853845	0.956052122530517	0.0757431958140014	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax carolinensis	0.624682706758124	0.805050855231219	0.80207042114984	-0.0966799922485893	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax cattleyae	0.688468688686428	0.887476232871317	0.898408976932344	0.0777851365334916	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax citrulli	0.639754614131866	0.920389223766306	0.915842834106096	-0.101730089426436	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax ebreus	0.941254056104602	0.194429147042096	0.196186199056074	-0.0191854744143594	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax sp. 1608163	0.75492571721154	0.176518436682928	0.181169994775768	0.0484790225572195	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax sp. HDW3	0.370905836840185	0.534193419991522	0.547777431294647	-0.20409320245332	0.999193282875698	0.999781195855665	0.999793233162394
Acidovorax sp. JS42	0.755783221276159	0.399872138704891	0.393447141160126	-0.0716694185481233	0.999193282875698	0.999781195855665	0.999793233162394
